,Steps,Calories,Active Minutes,Date
57,12985,1866,86,2023-06-16
58,11457,1826,98,2023-06-17
59,13975,2150,73,2023-06-18
60,11520,2183,89,2023-06-19
61,6423,1772,107,2023-06-20
62,12876,1601,67,2023-06-21
63,9551,2384,115,2023-06-22
64,6795,1557,117,2023-06-23
65,7897,1569,71,2023-06-24
66,9502,1758,70,2023-06-25
67,12722,2256,107,2023-06-26
68,14766,1713,41,2023-06-27
69,11821,1852,119,2023-06-28
70,13660,2397,96,2023-06-29
71,7192,2403,75,2023-06-30
72,12003,2163,42,2023-07-01
73,6686,2350,71,2023-07-02
74,8345,1741,74,2023-07-03
75,12177,2430,100,2023-07-04
76,8881,1850,75,2023-07-05
77,9683,1523,54,2023-07-06
78,8116,2474,71,2023-07-07
79,8924,2433,108,2023-07-08
80,10108,2244,110,2023-07-09
81,9665,1851,64,2023-07-10
82,8610,1501,84,2023-07-11
83,6605,1550,71,2023-07-12
84,7347,1824,116,2023-07-13
85,10565,2059,62,2023-07-14
86,5890,2149,41,2023-07-15
87,8771,2057,38,2023-07-16
88,11514,2236,57,2023-07-17
89,8469,2071,43,2023-07-18
90,13127,2255,61,2023-07-19
91,13641,2032,65,2023-07-20
92,9878,2385,53,2023-07-21
93,11692,1805,96,2023-07-22
94,14071,2049,59,2023-07-23
95,12511,2249,85,2023-07-24
96,12786,1751,72,2023-07-25
97,5314,1812,30,2023-07-26
98,8563,2274,99,2023-07-27
99,7336,1899,99,2023-07-28
100,10170,2124,73,2023-07-29
101,13526,1725,54,2023-07-30
102,13726,1972,83,2023-07-31
103,11282,2123,76,2023-08-01
104,5400,1643,94,2023-08-02
105,6346,1642,78,2023-08-03
106,12526,1511,32,2023-08-04
107,6188,1653,30,2023-08-05
108,13731,1803,77,2023-08-06
109,8732,2147,39,2023-08-07
110,11752,2103,56,2023-08-08
111,8845,1670,40,2023-08-09
112,9762,2120,48,2023-08-10
113,12589,1619,34,2023-08-11
114,13656,1924,116,2023-08-12
115,9019,2327,112,2023-08-13
116,13092,1912,78,2023-08-14
117,14519,2251,35,2023-08-15
118,5599,2091,85,2023-08-16
119,6837,1783,90,2023-08-17
120,6425,2165,105,2023-08-18
121,5317,2059,112,2023-08-19
122,13701,1882,67,2023-08-20
123,13201,1825,111,2023-08-21
124,9430,1985,76,2023-08-22
125,6326,2477,112,2023-08-23
126,7803,1937,100,2023-08-24
127,14326,1902,113,2023-08-25
128,5863,2280,66,2023-08-26
129,6598,2335,67,2023-08-27
130,10384,2204,95,2023-08-28
131,9850,2329,38,2023-08-29
132,10191,1763,38,2023-08-30
133,10030,2494,59,2023-08-31
134,12210,2280,56,2023-09-01
135,5731,1811,103,2023-09-02
136,10085,1783,60,2023-09-03
137,8182,1682,96,2023-09-04
138,13798,2122,81,2023-09-05
139,9327,1592,107,2023-09-06
140,9328,1653,36,2023-09-07
141,7641,1847,63,2023-09-08
142,6262,2337,62,2023-09-09
143,13595,1901,103,2023-09-10
144,13492,2123,102,2023-09-11
145,9086,1972,96,2023-09-12
146,11664,1853,82,2023-09-13
147,14093,1752,109,2023-09-14
148,7892,2068,66,2023-09-15
149,13217,1875,110,2023-09-16
150,8990,2183,49,2023-09-17
151,6803,2309,45,2023-09-18
152,9537,1987,52,2023-09-19
153,7769,2239,41,2023-09-20
154,13883,1571,70,2023-09-21
155,8963,2381,106,2023-09-22
156,5905,1563,68,2023-09-23
157,5268,2089,98,2023-09-24
158,6229,1566,97,2023-09-25
159,12553,1642,107,2023-09-26
160,10647,1592,72,2023-09-27
161,9098,1895,77,2023-09-28
162,9346,1620,53,2023-09-29
163,11020,2425,35,2023-09-30
164,8148,1796,61,2023-10-01
165,8306,2189,96,2023-10-02
166,5765,2277,39,2023-10-03
167,6648,2226,118,2023-10-04
168,10563,2381,46,2023-10-05
169,5922,2339,97,2023-10-06
170,5584,2114,113,2023-10-07
171,12391,1758,104,2023-10-08
172,7050,1776,38,2023-10-09
173,9941,2147,119,2023-10-10
174,8220,1739,78,2023-10-11
175,7515,2186,82,2023-10-12
176,5208,2473,88,2023-10-13
177,5531,2106,108,2023-10-14
178,5619,1656,46,2023-10-15
179,12994,1940,81,2023-10-16
180,5935,1983,92,2023-10-17
181,14293,1951,45,2023-10-18
182,14196,2288,111,2023-10-19
183,11804,2135,73,2023-10-20
184,7079,2039,108,2023-10-21
185,10002,2179,112,2023-10-22
186,14374,2439,58,2023-10-23
187,14342,2099,73,2023-10-24
188,6146,1851,43,2023-10-25
189,14125,2479,109,2023-10-26
190,9853,2301,53,2023-10-27
191,7815,1821,117,2023-10-28
192,7545,1592,50,2023-10-29
193,8893,2288,33,2023-10-30
194,9081,1568,95,2023-10-31
195,11174,1627,31,2023-11-01
196,12667,1908,111,2023-11-02
197,12073,1578,85,2023-11-03
198,7650,2018,43,2023-11-04
199,11287,2298,74,2023-11-05
200,11200,2024,44,2023-11-06
201,7513,1597,57,2023-11-07
202,5487,1889,98,2023-11-08
203,8187,2095,99,2023-11-09
204,13368,2258,110,2023-11-10
205,10747,2382,35,2023-11-11
206,7370,2131,70,2023-11-12
207,7545,1502,110,2023-11-13
208,9613,1541,109,2023-11-14
209,9083,1729,110,2023-11-15
210,5000,2306,42,2023-11-16
211,9094,2035,43,2023-11-17
212,9113,1661,52,2023-11-18
213,14323,2370,79,2023-11-19
214,8605,1981,89,2023-11-20
215,9340,2245,32,2023-11-21
216,12301,2488,65,2023-11-22
217,14481,1987,105,2023-11-23
218,9860,1694,64,2023-11-24
219,5162,2443,38,2023-11-25
220,11040,2350,78,2023-11-26
221,14023,1639,92,2023-11-27
222,11932,2449,44,2023-11-28
223,7250,2238,90,2023-11-29
224,12589,1651,69,2023-11-30
225,8161,2172,88,2023-12-01
226,6215,2106,98,2023-12-02
227,11969,1963,72,2023-12-03
228,8891,1864,100,2023-12-04
229,7041,2455,113,2023-12-05
230,14860,1780,57,2023-12-06
231,9061,2489,64,2023-12-07
232,12001,1504,35,2023-12-08
233,12355,2381,62,2023-12-09
234,13833,1602,105,2023-12-10
235,14842,1826,31,2023-12-11
236,10817,1569,37,2023-12-12
237,9015,2025,92,2023-12-13
238,5150,2264,97,2023-12-14
239,12389,1618,33,2023-12-15
240,12026,1606,84,2023-12-16
241,13281,2379,74,2023-12-17
242,14185,2083,58,2023-12-18
243,5531,1605,58,2023-12-19
244,9186,1867,57,2023-12-20
245,12706,2276,58,2023-12-21
246,13212,1527,117,2023-12-22
247,12794,2045,95,2023-12-23
248,10134,1847,71,2023-12-24
249,7574,2416,36,2023-12-25
250,5725,2423,36,2023-12-26
251,13836,2366,43,2023-12-27
252,5552,2159,114,2023-12-28
253,6325,2413,52,2023-12-29
254,12274,1854,118,2023-12-30
255,12866,1737,86,2023-12-31
256,8177,1736,82,2024-01-01
257,12464,1844,56,2024-01-02
258,11214,2401,71,2024-01-03
259,13320,1776,40,2024-01-04
260,14656,2168,111,2024-01-05
261,10894,1564,89,2024-01-06
262,10880,1567,36,2024-01-07
263,6337,2130,44,2024-01-08
264,14001,1513,84,2024-01-09
265,12010,1959,45,2024-01-10
266,11324,2276,33,2024-01-11
267,14038,1780,86,2024-01-12
268,6626,2468,60,2024-01-13
269,10647,1811,75,2024-01-14
270,7017,2235,118,2024-01-15
271,7967,1513,56,2024-01-16
272,14741,2013,37,2024-01-17
273,13240,1983,48,2024-01-18
274,6375,2115,68,2024-01-19
275,13255,2157,36,2024-01-20
276,12583,2079,40,2024-01-21
277,11265,1683,90,2024-01-22
278,14425,1892,64,2024-01-23
279,12910,2145,37,2024-01-24
280,12259,1918,67,2024-01-25
281,11137,2117,73,2024-01-26
282,11048,2138,75,2024-01-27
283,5655,2495,118,2024-01-28
284,13340,2407,65,2024-01-29
285,6554,1998,77,2024-01-30
286,6325,1875,100,2024-01-31
287,6121,2338,109,2024-02-01
288,5990,2329,108,2024-02-02
289,6998,2236,31,2024-02-03
290,9938,2003,81,2024-02-04
291,9170,1909,101,2024-02-05
292,11507,1553,102,2024-02-06
293,13404,1788,119,2024-02-07
294,5181,1687,98,2024-02-08
295,8651,1774,82,2024-02-09
296,10868,1813,48,2024-02-10
297,11284,2013,33,2024-02-11
298,7430,2160,57,2024-02-12
299,6724,1867,36,2024-02-13
300,13092,1821,77,2024-02-14
301,9778,2279,59,2024-02-15
302,7171,1562,57,2024-02-16
303,5723,2475,57,2024-02-17
304,9853,1659,111,2024-02-18
305,10121,1996,89,2024-02-19
306,8973,1712,103,2024-02-20
307,14751,1563,101,2024-02-21
308,6361,2319,86,2024-02-22
309,7660,1979,56,2024-02-23
310,10437,2421,93,2024-02-24
311,5224,2007,75,2024-02-25
312,9384,2452,37,2024-02-26
313,12929,2169,93,2024-02-27
314,12003,2429,87,2024-02-28
315,7547,2290,54,2024-02-29
316,7690,1717,34,2024-03-01
317,6437,1663,52,2024-03-02
318,10594,2313,36,2024-03-03
319,6049,2105,55,2024-03-04
320,6145,2305,104,2024-03-05
321,6762,2375,110,2024-03-06
322,8011,2444,68,2024-03-07
323,10339,2180,71,2024-03-08
324,10751,1993,45,2024-03-09
325,6934,1561,107,2024-03-10
326,9860,1707,54,2024-03-11
327,7666,2306,90,2024-03-12
328,11018,1765,65,2024-03-13
329,10753,2297,89,2024-03-14
330,8498,1524,70,2024-03-15
331,5539,1754,97,2024-03-16
332,7214,1518,72,2024-03-17
333,5878,1588,47,2024-03-18
334,9619,2494,53,2024-03-19
335,11942,1529,94,2024-03-20
336,14537,1647,94,2024-03-21
337,13867,2407,109,2024-03-22
338,7512,1612,105,2024-03-23
339,6687,2338,58,2024-03-24
340,14485,1843,113,2024-03-25
341,14514,1533,72,2024-03-26
342,5083,1964,112,2024-03-27
343,9751,1920,104,2024-03-28
344,10662,1790,70,2024-03-29
345,12659,2359,73,2024-03-30
346,9133,1835,69,2024-03-31
347,13012,1697,118,2024-04-01
348,11069,1533,109,2024-04-02
349,10353,1611,30,2024-04-03
350,6538,1758,90,2024-04-04
351,12927,1573,119,2024-04-05
352,11933,1842,75,2024-04-06
353,13680,2226,87,2024-04-07
354,12617,1808,80,2024-04-08
355,12561,2251,77,2024-04-09
356,6316,1940,95,2024-04-10
357,14634,2031,106,2024-04-11
358,11453,2137,42,2024-04-12
359,6018,2368,52,2024-04-13
360,11437,1864,57,2024-04-14
361,7389,2239,92,2024-04-15
362,11613,1934,66,2024-04-16
363,11196,2498,99,2024-04-17
364,7037,2074,75,2024-04-18
365,11346,2253,85,2024-04-19
366,7530,2488,70,2024-04-20
367,8488,1977,102,2024-04-21
368,10775,2225,115,2024-04-22
369,13430,1700,84,2024-04-23
370,8029,2405,50,2024-04-24
371,10840,1568,84,2024-04-25
372,5742,1602,97,2024-04-26
373,7768,1886,66,2024-04-27
374,9270,2352,95,2024-04-28
375,5493,2317,79,2024-04-29
376,6686,1969,68,2024-04-30
377,6772,1657,72,2024-05-01
378,8943,2312,90,2024-05-02
379,9084,1819,106,2024-05-03
380,7080,2384,50,2024-05-04
381,9246,2215,47,2024-05-05
382,7537,1762,72,2024-05-06
383,14331,1691,112,2024-05-07
384,10787,1933,112,2024-05-08
385,14069,2267,65,2024-05-09
386,9015,1949,74,2024-05-10
387,10290,1847,48,2024-05-11
388,5051,1785,37,2024-05-12
389,14975,1557,33,2024-05-13
390,13787,1787,110,2024-05-14
391,11521,1510,32,2024-05-15
392,5743,1504,72,2024-05-16
393,14247,1657,72,2024-05-17
394,5676,2272,64,2024-05-18
395,9104,2155,78,2024-05-19
396,6693,2394,105,2024-05-20
397,7025,1691,82,2024-05-21
398,9037,1724,105,2024-05-22
399,11921,2044,108,2024-05-23
400,5850,2235,58,2024-05-24
401,7915,1697,55,2024-05-25
402,13970,1917,42,2024-05-26
403,11632,1742,55,2024-05-27
404,12473,2359,82,2024-05-28
405,13498,2231,109,2024-05-29
406,6950,1773,112,2024-05-30
407,10798,2389,116,2024-05-31
408,10160,1700,111,2024-06-01
409,11164,1751,76,2024-06-02
410,5189,1792,52,2024-06-03
411,10684,2295,48,2024-06-04
412,13054,2454,39,2024-06-05
413,9313,1924,110,2024-06-06
414,11369,2053,112,2024-06-07
415,10484,1597,119,2024-06-08
416,12272,1994,105,2024-06-09
417,9624,1613,37,2024-06-10
418,9844,2055,86,2024-06-11
419,9907,2247,94,2024-06-12
420,13187,1815,88,2024-06-13
421,14327,1891,94,2024-06-14
422,7182,2130,67,2024-06-15
423,9648,1966,71,2024-06-16
424,9158,2125,81,2024-06-17
425,5787,1878,119,2024-06-18
426,12021,1948,98,2024-06-19
427,10465,1704,32,2024-06-20
428,12985,2398,85,2024-06-21
429,6974,1815,96,2024-06-22
430,13525,2489,79,2024-06-23
431,9943,1673,31,2024-06-24
432,12635,1544,67,2024-06-25
433,9948,2141,89,2024-06-26
434,9900,2289,93,2024-06-27
435,11072,2102,49,2024-06-28
436,11004,2084,86,2024-06-29
437,13007,1965,48,2024-06-30
438,14380,1591,74,2024-07-01
439,9620,2289,53,2024-07-02
440,13783,2356,91,2024-07-03
441,10968,2390,76,2024-07-04
442,7957,1570,94,2024-07-05
443,7699,2126,92,2024-07-06
444,12026,2270,55,2024-07-07
445,14873,1519,102,2024-07-08
446,7564,2026,36,2024-07-09
447,8867,1985,52,2024-07-10
448,11487,2410,108,2024-07-11
449,5981,1726,108,2024-07-12
450,8804,2201,78,2024-07-13
451,11696,2015,101,2024-07-14
452,8841,1631,71,2024-07-15
453,13800,1712,111,2024-07-16
454,13327,2201,116,2024-07-17
455,7393,2239,107,2024-07-18
456,8969,2164,113,2024-07-19
457,12689,1878,70,2024-07-20
458,13447,1756,48,2024-07-21
459,10204,1851,62,2024-07-22
460,10165,2212,53,2024-07-23
461,12650,1698,37,2024-07-24
462,11147,1537,38,2024-07-25
463,12434,1884,61,2024-07-26
464,10710,2148,80,2024-07-27
465,8127,2265,100,2024-07-28
466,10894,2482,112,2024-07-29
467,6700,1613,86,2024-07-30
468,14797,2352,104,2024-07-31
469,6681,2451,93,2024-08-01
470,14493,1673,46,2024-08-02
471,12217,2357,113,2024-08-03
472,11377,2334,99,2024-08-04
473,5839,2309,52,2024-08-05
474,9310,2280,99,2024-08-06
475,10296,2436,103,2024-08-07
476,12489,1940,99,2024-08-08
477,5786,2351,47,2024-08-09
478,6893,2370,79,2024-08-10
479,5146,1933,80,2024-08-11
480,5230,1924,115,2024-08-12
481,10132,1605,82,2024-08-13
482,7959,1664,69,2024-08-14
483,5957,2271,32,2024-08-15
484,13278,1962,67,2024-08-16
485,5364,2128,111,2024-08-17
486,11261,2079,40,2024-08-18
487,5711,1689,78,2024-08-19
488,11803,2119,60,2024-08-20
489,5123,1841,98,2024-08-21
490,8537,1838,95,2024-08-22
491,11907,2481,77,2024-08-23
492,5149,1564,75,2024-08-24
493,8804,2181,92,2024-08-25
494,14380,1542,39,2024-08-26
495,8022,1575,80,2024-08-27
496,5478,2009,45,2024-08-28
497,12579,2494,31,2024-08-29
498,10963,1692,66,2024-08-30
499,13906,1575,93,2024-08-31
500,11742,2216,48,2024-09-01
501,13043,1559,71,2024-09-02
502,6181,2251,79,2024-09-03
503,13009,2398,38,2024-09-04
504,9337,2018,52,2024-09-05
505,13676,2452,59,2024-09-06
506,10979,2214,114,2024-09-07
507,11429,1740,95,2024-09-08
508,13878,2082,97,2024-09-09
509,14838,2116,98,2024-09-10
510,12789,2472,44,2024-09-11
511,13112,1861,90,2024-09-12
512,9431,1986,73,2024-09-13
513,8967,2092,39,2024-09-14
514,12271,1824,84,2024-09-15
515,14034,1688,76,2024-09-16
516,5282,1507,59,2024-09-17
517,13629,2309,89,2024-09-18
518,7408,2026,61,2024-09-19
519,10213,2355,104,2024-09-20
520,9820,1898,78,2024-09-21
521,9144,1565,57,2024-09-22
522,8739,2105,90,2024-09-23
523,5077,2463,51,2024-09-24
524,10427,2385,106,2024-09-25
525,12888,2274,61,2024-09-26
526,12667,1977,56,2024-09-27
527,8895,2231,117,2024-09-28
528,14489,1809,87,2024-09-29
529,14603,1965,30,2024-09-30
530,14262,2289,50,2024-10-01
531,8424,1748,54,2024-10-02
532,14198,2287,38,2024-10-03
533,9024,2472,50,2024-10-04
534,8954,1526,75,2024-10-05
535,7576,2077,93,2024-10-06
536,11222,1828,67,2024-10-07
537,8420,1586,88,2024-10-08
538,5059,1537,35,2024-10-09
539,10680,1961,98,2024-10-10
540,5956,1745,111,2024-10-11
541,9688,2467,56,2024-10-12
542,14741,2273,44,2024-10-13
543,12385,1513,82,2024-10-14
544,6525,2495,115,2024-10-15
545,11010,2274,33,2024-10-16
546,6547,1785,69,2024-10-17
547,5039,2207,117,2024-10-18
548,5366,2030,87,2024-10-19
549,8736,1607,70,2024-10-20
550,12732,2086,44,2024-10-21
551,14764,1834,49,2024-10-22
552,13404,1713,96,2024-10-23
553,11597,2074,78,2024-10-24
554,9553,1725,94,2024-10-25
555,7030,1933,86,2024-10-26
556,9183,2158,108,2024-10-27
557,14782,2495,115,2024-10-28
558,8001,1992,99,2024-10-29
559,12778,1610,103,2024-10-30
560,13510,1543,72,2024-10-31
561,11417,2449,108,2024-11-01
562,14707,1866,88,2024-11-02
563,5668,2431,78,2024-11-03
564,13445,2071,55,2024-11-04
565,9273,2018,118,2024-11-05
566,11172,2252,77,2024-11-06
567,12922,1920,109,2024-11-07
568,9250,1913,52,2024-11-08
569,12113,2123,48,2024-11-09
570,8892,1609,32,2024-11-10
571,12462,2042,38,2024-11-11
572,5193,1887,53,2024-11-12
573,5767,2213,93,2024-11-13
574,14925,1654,40,2024-11-14
575,12950,2103,81,2024-11-15
576,9394,1840,84,2024-11-16
577,9372,1867,92,2024-11-17
578,14216,2213,69,2024-11-18
579,5953,2330,68,2024-11-19
580,11953,2091,59,2024-11-20
581,11212,1858,86,2024-11-21
582,13126,2068,119,2024-11-22
583,7851,2436,105,2024-11-23
584,11935,2068,99,2024-11-24
585,9198,2108,67,2024-11-25
586,8406,2233,81,2024-11-26
587,8217,1602,113,2024-11-27
588,5193,2189,51,2024-11-28
589,11561,2066,81,2024-11-29
590,9569,1937,66,2024-11-30
591,11000,1762,88,2024-12-01
592,9455,2464,107,2024-12-02
593,6603,2482,68,2024-12-03
594,14884,2105,30,2024-12-04
595,10452,2244,107,2024-12-05
596,8238,2383,74,2024-12-06
597,12986,1871,110,2024-12-07
598,14070,2161,97,2024-12-08
599,10177,1631,77,2024-12-09
600,7639,1857,33,2024-12-10
601,13998,2382,93,2024-12-11
602,12578,2471,70,2024-12-12
603,8684,1546,110,2024-12-13
604,14962,1917,64,2024-12-14
605,14712,1653,96,2024-12-15
606,10017,2315,85,2024-12-16
607,11934,2144,31,2024-12-17
608,7851,2459,75,2024-12-18
609,5605,2024,46,2024-12-19
610,8247,1669,68,2024-12-20
611,7465,2364,89,2024-12-21
612,5763,1620,43,2024-12-22
613,7748,1671,36,2024-12-23
614,7642,2329,71,2024-12-24
615,6620,1770,63,2024-12-25
616,7077,1660,71,2024-12-26
617,6162,1930,42,2024-12-27
618,14829,1984,69,2024-12-28
619,12869,1629,71,2024-12-29
620,6571,2051,55,2024-12-30
621,12544,2183,89,2024-12-31
622,5255,1727,89,2025-01-01
623,9311,2152,64,2025-01-02
624,8928,2432,75,2025-01-03
625,13226,2355,95,2025-01-04
626,10440,1769,80,2025-01-05
627,7435,1520,38,2025-01-06
628,7145,2159,103,2025-01-07
629,6790,2081,117,2025-01-08
630,9380,1858,45,2025-01-09
631,8885,2221,51,2025-01-10
632,11681,2003,90,2025-01-11
633,12174,1674,57,2025-01-12
634,10326,1753,74,2025-01-13
635,9869,2449,85,2025-01-14
636,9710,2204,55,2025-01-15
637,14929,1987,106,2025-01-16
638,12382,2483,68,2025-01-17
639,9014,1766,112,2025-01-18
640,13865,2473,79,2025-01-19
641,13873,2408,65,2025-01-20
642,8957,1889,75,2025-01-21
643,8311,2234,94,2025-01-22
644,8311,1974,86,2025-01-23
645,9068,2295,101,2025-01-24
646,14218,2112,43,2025-01-25
647,6891,1689,105,2025-01-26
648,10376,1871,113,2025-01-27
649,5140,2050,33,2025-01-28
650,13354,2193,51,2025-01-29
651,12101,1763,87,2025-01-30
652,14177,2433,34,2025-01-31
653,12522,1998,102,2025-02-01
654,9231,2178,46,2025-02-02
655,11573,1852,38,2025-02-03
656,11395,1838,90,2025-02-04
657,10125,1734,61,2025-02-05
658,9408,1843,60,2025-02-06
659,13000,2214,83,2025-02-07
660,5469,2355,50,2025-02-08
661,10307,1647,94,2025-02-09
662,13859,2303,64,2025-02-10
663,9278,1857,117,2025-02-11
664,14049,1979,93,2025-02-12
665,8193,2141,101,2025-02-13
666,6827,2332,113,2025-02-14
667,11356,2080,57,2025-02-15
668,12881,1890,95,2025-02-16
669,9405,1514,101,2025-02-17
670,12993,1634,72,2025-02-18
671,9490,2097,113,2025-02-19
672,9155,2136,119,2025-02-20
673,13618,2482,49,2025-02-21
674,7453,2304,41,2025-02-22
675,13144,2338,52,2025-02-23
676,9156,2009,109,2025-02-24
677,9044,2082,59,2025-02-25
678,9439,1989,76,2025-02-26
679,13735,2136,69,2025-02-27
680,11649,2009,93,2025-02-28
681,9941,1988,79,2025-03-01
682,13351,2079,102,2025-03-02
683,11345,2341,108,2025-03-03
684,9524,2182,32,2025-03-04
685,10810,2397,118,2025-03-05
686,9574,2179,102,2025-03-06
687,6875,1995,102,2025-03-07
688,5287,1930,84,2025-03-08
689,7621,1596,38,2025-03-09
690,12054,2149,37,2025-03-10
691,14404,2430,46,2025-03-11
692,6751,2249,42,2025-03-12
693,14806,1762,38,2025-03-13
694,14757,1615,76,2025-03-14
695,7553,1813,45,2025-03-15
696,13247,1783,43,2025-03-16
697,7366,2136,74,2025-03-17
698,11333,1881,98,2025-03-18
699,10841,2278,82,2025-03-19
700,13379,2206,117,2025-03-20
701,6764,2446,73,2025-03-21
702,11746,2233,111,2025-03-22
703,9094,2155,83,2025-03-23
704,13445,2225,40,2025-03-24
705,13943,1777,91,2025-03-25
706,10551,1511,76,2025-03-26
707,13262,2065,59,2025-03-27
708,5022,1885,70,2025-03-28
709,12835,1744,34,2025-03-29
710,13579,1804,75,2025-03-30
711,11096,1769,35,2025-03-31
712,6611,2183,82,2025-04-01
713,6543,2276,30,2025-04-02
714,7339,2283,63,2025-04-03
715,7444,2183,33,2025-04-04
716,12351,2184,95,2025-04-05
717,14231,2287,90,2025-04-06
718,8175,1867,86,2025-04-07
719,12914,2431,108,2025-04-08
720,12896,2447,56,2025-04-09
721,11811,1551,115,2025-04-10
722,5380,2081,67,2025-04-11
723,5409,1668,82,2025-04-12
724,7986,1798,94,2025-04-13
725,6279,2290,95,2025-04-14
726,5732,2328,104,2025-04-15
727,5360,2027,100,2025-04-16
728,8141,1768,32,2025-04-17
729,9475,2469,54,2025-04-18
730,8459,2413,40,2025-04-19
731,8238,1511,107,2025-04-20
732,13444,1853,93,2025-04-21
733,12164,2421,81,2025-04-22
734,10533,1881,104,2025-04-23
735,6868,2375,58,2025-04-24
736,7630,1940,72,2025-04-25
737,10017,1510,79,2025-04-26
738,14154,1603,65,2025-04-27
739,8796,1994,68,2025-04-28
740,12151,1752,87,2025-04-29
741,8805,2363,85,2025-04-30
742,7783,1752,76,2025-05-01
743,12214,2221,77,2025-05-02
744,5576,1790,35,2025-05-03
745,12079,1983,89,2025-05-04
746,5677,1848,47,2025-05-05
747,12240,1575,61,2025-05-06
748,9102,1595,41,2025-05-07
749,10195,1670,98,2025-05-08
750,11031,1522,49,2025-05-09
751,6949,1644,98,2025-05-10
752,13108,1610,105,2025-05-11
753,9996,2019,104,2025-05-12
754,10082,2109,70,2025-05-13
755,10885,2464,67,2025-05-14
756,8935,2366,110,2025-05-15
757,7456,1941,94,2025-05-16
758,14025,1853,100,2025-05-17
759,9556,1724,100,2025-05-18
760,7570,1696,113,2025-05-19
761,6846,2145,105,2025-05-20
762,12485,1807,92,2025-05-21
763,10849,1763,34,2025-05-22
764,6743,1540,119,2025-05-23
765,9377,2171,51,2025-05-24
766,6962,1510,47,2025-05-25
767,10930,2258,83,2025-05-26
768,13848,2177,99,2025-05-27
769,8418,2197,80,2025-05-28
770,13863,2241,80,2025-05-29
771,13230,2227,54,2025-05-30
772,6331,2179,56,2025-05-31
773,12308,2341,75,2025-06-01
774,7474,2474,103,2025-06-02
775,12143,2292,72,2025-06-03
776,8679,1719,115,2025-06-04
777,8087,1654,63,2025-06-05
778,7025,1926,115,2025-06-06
779,9704,1773,68,2025-06-07
780,11958,2376,78,2025-06-08
781,9361,2225,119,2025-06-09
782,9963,2263,72,2025-06-10
783,12446,1818,94,2025-06-11
784,10362,1924,114,2025-06-12
785,6032,2162,108,2025-06-13
786,14433,1713,31,2025-06-14
787,7764,1937,33,2025-06-15
788,14126,2492,102,2025-06-16
789,7957,2374,37,2025-06-17
790,7594,2391,86,2025-06-18
791,7022,2360,70,2025-06-19
792,6884,1974,90,2025-06-20
793,7096,2391,118,2025-06-21
794,6881,1816,46,2025-06-22
795,9018,1601,102,2025-06-23
796,8485,1580,50,2025-06-24
797,7239,1804,117,2025-06-25
798,10655,1917,53,2025-06-26
799,10874,2141,64,2025-06-27
800,14789,1709,34,2025-06-28
801,8094,1779,109,2025-06-29
802,10718,1597,90,2025-06-30
803,13759,2335,82,2025-07-01
804,11389,2141,32,2025-07-02
805,7299,2160,30,2025-07-03
806,11763,2130,64,2025-07-04
807,7277,2084,39,2025-07-05
808,5278,2421,85,2025-07-06
809,11955,1774,80,2025-07-07
810,6481,2451,92,2025-07-08
811,13422,1934,69,2025-07-09
812,8188,1960,39,2025-07-10
813,7547,1787,117,2025-07-11
814,11627,1711,100,2025-07-12
815,5646,1802,79,2025-07-13
816,13318,1849,76,2025-07-14
817,10715,1936,51,2025-07-15
818,6209,2105,39,2025-07-16
819,12113,2450,113,2025-07-17
820,12254,2070,39,2025-07-18
