Date,State,Goods_Exports,Goods_Imports,Services_Exports,Services_Imports,Total_exports,Total_imports,Two_way_trade
2/17/2018,California,22.31,0.87,0.96,0.91,23.27,1.77,25.04
2/18/2018,California,0.00,0.00,0.00,0.04,0.00,0.04,0.04
2/19/2018,California,0.00,0.00,0.08,0.01,0.08,0.01,0.09
2/20/2018,California,0.18,4.20,0.00,0.05,0.18,4.25,4.43
2/21/2018,California,18.24,1.20,1.23,3.14,19.47,4.34,23.81
2/22/2018,California,7.49,66.47,12.08,2.46,19.57,68.94,88.51
2/23/2018,California,738.74,1992.04,409.21,529.78,1147.96,2521.82,3669.77
2/24/2018,California,4.66,0.01,0.00,0.00,4.66,0.01,4.67
2/25/2018,California,76.06,161.04,163.18,504.63,239.25,665.67,904.92
2/26/2018,California,0.15,0.04,0.17,0.00,0.32,0.04,0.36
2/27/2018,California,11.11,4.56,0.67,0.28,11.78,4.84,16.62
2/28/2018,California,424.48,0.02,0.17,0.08,424.65,0.10,424.74
3/1/2018,California,4.39,17.10,4.39,2.25,8.78,19.35,28.13
3/2/2018,California,4.50,1.52,1.51,0.28,6.01,1.80,7.81
3/3/2018,California,375.07,9.84,2.54,4.64,377.61,14.49,392.10
3/4/2018,California,0.10,0.02,0.00,0.22,0.10,0.24,0.33
3/5/2018,California,165.96,228.74,54.86,18.86,220.82,247.60,468.42
3/6/2018,California,0.47,5.98,0.23,2.92,0.70,8.90,9.60
3/7/2018,California,27.72,158.74,10.87,3.74,38.59,162.48,201.06
3/8/2018,California,357.96,55.92,129.60,246.34,487.56,302.26,789.82
3/9/2018,California,0.33,0.00,0.04,0.03,0.37,0.03,0.40
3/10/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/11/2018,California,4.44,0.00,0.08,0.00,4.52,0.00,4.53
3/12/2018,California,371.22,879.97,281.67,176.36,652.89,1056.33,1709.22
3/13/2018,California,2.19,0.28,0.43,0.09,2.62,0.37,2.98
3/14/2018,California,1395.01,1192.51,1098.41,850.24,2493.43,2042.75,4536.18
3/15/2018,California,2.95,0.00,0.18,0.06,3.14,0.06,3.20
3/16/2018,California,18.23,0.59,0.45,0.58,18.69,1.17,19.86
3/17/2018,California,0.31,0.29,0.00,0.00,0.31,0.29,0.59
3/18/2018,California,51.99,6.01,0.67,0.56,52.66,6.57,59.24
3/19/2018,California,0.87,0.00,0.49,0.00,1.36,0.00,1.36
3/20/2018,California,0.01,0.01,0.20,0.05,0.20,0.06,0.26
3/21/2018,California,0.23,0.00,0.00,0.04,0.23,0.04,0.27
3/22/2018,California,1.71,0.02,0.02,0.05,1.73,0.07,1.80
3/23/2018,California,4.83,0.25,0.04,0.08,4.88,0.33,5.21
3/24/2018,California,2.55,0.00,0.00,0.00,2.55,0.00,2.55
3/25/2018,California,44.01,28.67,3.44,12.84,47.45,41.51,88.95
3/26/2018,California,0.00,0.00,0.00,0.04,0.00,0.04,0.04
3/27/2018,California,20.13,4.36,0.32,0.58,20.45,4.94,25.40
3/28/2018,California,6.59,0.02,0.61,0.32,7.20,0.34,7.54
3/29/2018,California,0.00,0.00,0.01,0.01,0.01,0.01,0.02
3/30/2018,California,21.51,1.89,0.03,0.05,21.54,1.94,23.48
3/31/2018,California,869.46,145.36,304.22,245.59,1173.68,390.95,1564.63
4/1/2018,California,0.84,2.97,0.03,0.12,0.87,3.09,3.96
4/2/2018,California,7.81,3.16,0.88,4.60,8.69,7.76,16.45
4/3/2018,California,0.82,0.97,0.00,0.08,0.82,1.05,1.88
4/4/2018,California,4.91,55.94,3.46,1.54,8.38,57.48,65.86
4/5/2018,California,838.47,605.66,66.49,51.87,904.96,657.53,1562.49
4/6/2018,California,49.15,169.74,52.08,132.56,101.23,302.29,403.53
4/7/2018,California,14.34,176.05,14.46,52.26,28.80,228.31,257.11
4/8/2018,California,785.93,397.06,413.22,127.16,1199.14,524.21,1723.35
4/9/2018,California,0.00,0.01,0.03,0.01,0.03,0.02,0.05
4/10/2018,California,7.20,0.19,0.95,1.56,8.15,1.75,9.89
4/11/2018,California,262.96,4.20,4.97,4.00,267.93,8.20,276.13
4/12/2018,California,1.05,6.85,2.14,6.21,3.20,13.06,16.25
4/13/2018,California,361.30,740.93,46.55,49.28,407.85,790.21,1198.06
4/14/2018,California,35.22,5.71,0.63,0.31,35.85,6.01,41.87
4/15/2018,California,92.47,1.16,1.28,1.97,93.75,3.14,96.89
4/16/2018,California,3210.80,2835.19,746.56,167.51,3957.36,3002.70,6960.06
4/17/2018,California,10.92,2.37,1.51,2.03,12.44,4.40,16.84
4/18/2018,California,0.18,0.10,0.08,0.09,0.26,0.19,0.46
4/19/2018,California,5.21,6.80,8.97,8.57,14.18,15.37,29.55
4/20/2018,California,7.38,0.08,2.58,3.56,9.97,3.64,13.61
4/21/2018,California,0.03,0.00,0.00,0.00,0.03,0.00,0.03
4/22/2018,California,0.15,0.00,0.05,0.33,0.20,0.33,0.53
4/23/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/24/2018,California,73.49,223.00,8.31,1.50,81.80,224.49,306.30
4/25/2018,California,0.61,1.86,4.06,0.25,4.67,2.11,6.77
4/26/2018,California,1.89,0.38,1.85,0.56,3.74,0.94,4.68
4/27/2018,California,0.97,0.21,2.94,1.97,3.91,2.18,6.09
4/28/2018,California,9.81,0.53,0.44,0.34,10.25,0.87,11.13
4/29/2018,California,3.75,0.00,0.04,0.02,3.79,0.02,3.80
4/30/2018,California,0.00,0.17,0.30,0.61,0.30,0.78,1.08
5/1/2018,California,275.01,42.35,31.35,8.61,306.36,50.96,357.32
5/2/2018,California,0.55,0.00,0.08,0.00,0.63,0.00,0.64
5/3/2018,California,0.00,0.01,0.00,0.00,0.00,0.01,0.01
5/4/2018,California,14.06,19.25,0.94,0.13,15.00,19.38,34.38
5/5/2018,California,0.51,5.95,2.19,1.37,2.70,7.32,10.02
5/6/2018,California,7.09,2.47,0.72,0.09,7.81,2.56,10.37
5/7/2018,California,65.72,0.00,0.08,0.04,65.80,0.04,65.84
5/8/2018,California,56.67,87.32,0.97,0.92,57.64,88.24,145.88
5/9/2018,California,0.01,0.18,31.42,0.43,31.44,0.61,32.04
5/10/2018,California,0.15,0.10,0.16,0.09,0.31,0.19,0.51
5/11/2018,California,0.04,0.04,0.00,0.00,0.04,0.04,0.08
5/12/2018,California,0.38,0.13,0.22,0.05,0.59,0.18,0.78
5/13/2018,California,2.87,0.23,1.27,0.20,4.14,0.43,4.57
5/14/2018,California,0.14,0.23,0.28,0.42,0.42,0.64,1.06
5/15/2018,California,6.00,0.02,0.04,0.15,6.04,0.17,6.21
5/16/2018,California,20.27,1.22,0.53,1.64,20.79,2.87,23.66
5/17/2018,California,17.68,0.19,1.09,0.66,18.77,0.84,19.61
5/18/2018,California,7.88,1.41,1.89,0.84,9.77,2.24,12.01
5/19/2018,California,3.31,0.01,0.03,0.00,3.35,0.01,3.36
5/20/2018,California,4.27,0.04,0.00,0.00,4.27,0.04,4.31
5/21/2018,California,0.70,0.02,0.00,0.00,0.70,0.02,0.72
5/22/2018,California,0.01,0.03,0.00,0.00,0.01,0.03,0.04
5/23/2018,California,4.73,5.11,1.12,1.28,5.84,6.39,12.23
5/24/2018,California,78.25,1.28,0.69,1.23,78.94,2.51,81.45
5/25/2018,California,9.69,0.03,0.39,1.23,10.08,1.26,11.33
5/26/2018,California,0.24,0.86,0.76,0.25,1.00,1.11,2.11
5/27/2018,California,280.93,239.81,28.21,21.91,309.14,261.72,570.86
5/28/2018,California,887.58,1751.67,167.40,170.46,1054.98,1922.13,2977.11
5/29/2018,California,6.63,0.92,1.09,0.70,7.72,1.62,9.34
5/30/2018,California,2.39,0.12,0.53,0.53,2.92,0.65,3.57
5/31/2018,California,177.07,2.67,53.55,22.98,230.62,25.65,256.27
6/1/2018,California,0.37,0.07,0.01,0.00,0.38,0.07,0.45
6/2/2018,California,7.62,0.07,2.33,7.50,9.95,7.57,17.52
6/3/2018,California,275.57,165.00,0.79,0.94,276.36,165.94,442.29
6/4/2018,California,32.29,1.20,0.08,0.09,32.38,1.29,33.67
6/5/2018,California,570.41,385.47,106.27,203.31,676.68,588.79,1265.47
6/6/2018,California,37.79,37.01,21.73,5.21,59.52,42.22,101.74
6/7/2018,California,7.48,0.68,7.86,3.83,15.33,4.50,19.84
6/8/2018,California,1.39,14.62,0.35,0.10,1.74,14.72,16.46
6/9/2018,California,0.00,156.09,0.00,0.00,0.00,156.09,156.09
6/10/2018,California,87.66,1139.06,12.78,1.30,100.44,1140.36,1240.80
6/11/2018,California,38.11,0.10,0.75,3.50,38.85,3.60,42.45
6/12/2018,California,135.10,37.49,2.59,3.33,137.68,40.82,178.50
6/13/2018,California,176.49,2.90,60.93,23.15,237.42,26.05,263.48
6/14/2018,California,242.39,12.91,49.20,26.81,291.59,39.72,331.32
6/15/2018,California,677.54,127.17,79.78,67.35,757.32,194.53,951.84
6/16/2018,California,86.64,55.15,6.95,4.46,93.58,59.60,153.19
6/17/2018,California,17.92,70.51,9.07,4.15,26.99,74.65,101.65
6/18/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/19/2018,California,0.71,0.11,0.12,0.01,0.83,0.12,0.94
6/20/2018,California,1.70,18.86,0.16,0.14,1.86,19.00,20.86
6/21/2018,California,33.05,20.85,3.35,1.42,36.40,22.28,58.68
6/22/2018,California,0.25,0.00,0.12,0.08,0.37,0.08,0.46
6/23/2018,California,0.49,0.51,0.22,0.09,0.71,0.60,1.31
6/24/2018,California,21.74,503.31,4.62,1.73,26.35,505.04,531.39
6/25/2018,California,9.99,0.04,0.56,0.18,10.55,0.21,10.76
6/26/2018,California,7.22,10.23,10.66,7.01,17.88,17.24,35.12
6/27/2018,California,0.27,0.58,0.00,0.00,0.27,0.58,0.85
6/28/2018,California,230.44,276.60,43.44,20.78,273.87,297.38,571.25
6/29/2018,California,0.05,0.01,0.37,0.17,0.42,0.19,0.60
6/30/2018,California,686.85,978.34,159.33,10.68,846.18,989.01,1835.20
7/1/2018,California,31.30,5.54,10.39,7.87,41.68,13.42,55.10
7/2/2018,California,2.73,0.00,0.21,0.29,2.94,0.29,3.24
7/3/2018,California,81.12,0.00,0.37,0.23,81.49,0.23,81.72
7/4/2018,California,65.22,279.62,38.39,8.85,103.61,288.47,392.08
7/5/2018,California,845.19,2038.88,304.22,922.35,1149.41,2961.23,4110.64
7/6/2018,California,0.00,0.48,0.08,0.00,0.08,0.48,0.56
7/7/2018,California,8.12,8.92,2.60,0.74,10.72,9.66,20.38
7/8/2018,California,0.35,10.40,2.25,0.39,2.60,10.79,13.39
7/9/2018,California,3.49,0.49,0.09,0.00,3.58,0.49,4.07
7/10/2018,California,0.01,0.59,0.07,0.06,0.07,0.65,0.72
7/11/2018,California,26.76,1.57,0.19,-0.01,26.95,1.55,28.50
7/12/2018,California,0.03,0.07,0.21,0.04,0.25,0.11,0.36
7/13/2018,California,1.20,0.38,0.05,0.05,1.25,0.43,1.68
7/14/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/15/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/16/2018,California,6.07,1.96,0.00,0.09,6.07,2.05,8.12
7/17/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/18/2018,California,39.51,0.10,21.00,7.68,60.51,7.78,68.29
7/19/2018,California,0.00,0.07,2.08,0.15,2.08,0.22,2.30
7/20/2018,California,0.21,0.00,0.31,1.18,0.51,1.18,1.70
7/21/2018,California,0.00,0.00,0.00,0.05,0.00,0.05,0.05
7/22/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/23/2018,California,1.14,0.00,0.00,0.00,1.14,0.00,1.15
7/24/2018,California,626.21,1431.21,138.55,235.01,764.76,1666.22,2430.99
7/25/2018,California,0.27,0.00,0.12,0.00,0.39,0.00,0.39
7/26/2018,California,8.87,0.27,0.62,0.60,9.49,0.87,10.36
7/27/2018,California,0.47,0.24,0.52,3.29,0.99,3.53,4.51
7/28/2018,California,1.05,0.00,0.00,0.00,1.05,0.00,1.05
7/29/2018,California,6.95,4.43,0.11,0.23,7.06,4.66,11.71
7/30/2018,California,59.05,2.73,57.00,43.21,116.05,45.94,161.99
7/31/2018,California,74.89,115.04,4.87,9.87,79.76,124.90,204.67
8/1/2018,California,56.15,0.60,0.52,0.45,56.67,1.05,57.71
8/2/2018,California,2.20,0.01,1.89,0.55,4.10,0.56,4.66
8/3/2018,California,828.42,748.57,126.44,53.37,954.86,801.94,1756.80
8/4/2018,California,3.77,4.73,2.09,1.59,5.86,6.32,12.18
8/5/2018,California,36.68,8.25,5.27,0.89,41.95,9.14,51.09
8/6/2018,California,0.43,0.98,0.18,0.52,0.61,1.50,2.10
8/7/2018,California,0.00,0.05,0.29,0.19,0.29,0.24,0.53
8/8/2018,California,4231.33,4132.69,2145.83,1699.30,6377.15,5831.99,12209.14
8/9/2018,California,14.53,3.25,2.79,0.86,17.32,4.12,21.44
8/10/2018,California,9.05,0.00,0.16,0.13,9.21,0.13,9.34
8/11/2018,California,0.00,0.00,0.01,0.00,0.01,0.00,0.01
8/12/2018,California,2.40,0.00,0.04,0.00,2.44,0.00,2.44
8/13/2018,California,459.06,0.05,0.86,3.13,459.92,3.18,463.10
8/14/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8/15/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8/16/2018,California,451.46,310.25,68.91,34.50,520.37,344.76,865.12
8/17/2018,California,39.00,2.40,18.02,31.73,57.02,34.13,91.15
8/18/2018,California,5.81,0.00,0.68,0.33,6.49,0.33,6.82
8/19/2018,California,107.73,2.77,79.66,116.21,187.39,118.97,306.36
8/20/2018,California,40.10,93.72,0.11,0.06,40.21,93.78,134.00
8/21/2018,California,0.94,0.00,0.00,0.00,0.94,0.00,0.94
8/22/2018,California,248.22,128.09,49.43,38.20,297.65,166.30,463.94
8/23/2018,California,0.13,0.56,0.36,0.71,0.49,1.27,1.76
8/24/2018,California,1.82,1.13,0.88,1.78,2.69,2.91,5.60
8/25/2018,California,0.00,0.00,0.16,0.00,0.16,0.00,0.16
8/26/2018,California,656.41,992.71,101.78,188.15,758.19,1180.86,1939.04
8/27/2018,California,0.88,0.37,0.83,5.76,1.72,6.14,7.85
8/28/2018,California,1.08,0.02,0.17,0.08,1.25,0.10,1.34
8/29/2018,California,0.00,0.11,0.01,0.00,0.01,0.11,0.12
8/30/2018,California,0.39,0.09,0.02,0.04,0.41,0.13,0.54
8/31/2018,California,19.84,0.07,0.31,0.00,20.16,0.07,20.23
9/1/2018,California,0.40,0.00,0.00,0.00,0.40,0.00,0.40
9/2/2018,California,41.59,0.03,0.46,0.59,42.06,0.62,42.68
9/3/2018,California,0.48,0.39,0.92,0.28,1.40,0.67,2.08
9/4/2018,California,19.06,156.30,31.24,13.26,50.30,169.55,219.85
9/5/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/6/2018,California,18.83,179.36,19.04,29.94,37.87,209.31,247.17
9/7/2018,California,9124.67,6135.62,4274.90,5047.17,13399.57,11182.79,24582.36
9/8/2018,California,0.92,0.02,0.00,0.06,0.92,0.08,1.01
9/9/2018,California,64.79,0.21,0.23,0.19,65.02,0.40,65.43
9/10/2018,California,0.00,0.44,0.21,0.27,0.21,0.72,0.93
9/11/2018,California,27.61,0.34,0.54,3.07,28.16,3.41,31.56
9/12/2018,California,114.37,54.46,1.79,2.21,116.15,56.67,172.82
9/13/2018,California,392.53,298.90,28.52,34.25,421.05,333.15,754.20
9/14/2018,California,1.64,0.00,0.04,0.00,1.68,0.00,1.68
9/15/2018,California,6.26,8.17,1.26,0.87,7.51,9.04,16.56
9/16/2018,California,44.14,7.49,1.18,0.54,45.32,8.03,53.35
9/17/2018,California,0.01,0.07,0.00,0.13,0.01,0.20,0.21
9/18/2018,California,0.81,0.00,0.00,0.00,0.81,0.00,0.81
9/19/2018,California,4.51,0.03,6.97,40.58,11.48,40.62,52.10
9/20/2018,California,6.98,584.64,6.61,13.67,13.59,598.31,611.90
9/21/2018,California,1.82,2.46,0.28,0.61,2.10,3.07,5.17
9/22/2018,California,202.46,96.03,106.75,14.15,309.20,110.18,419.38
9/23/2018,California,2.61,0.02,0.63,0.28,3.23,0.30,3.53
9/24/2018,California,0.08,0.00,0.00,0.22,0.08,0.22,0.30
9/25/2018,California,0.24,0.01,0.29,0.99,0.54,1.00,1.54
9/26/2018,California,0.98,12.81,0.44,0.15,1.41,12.96,14.38
9/27/2018,California,0.50,0.24,0.72,0.22,1.22,0.45,1.68
9/28/2018,California,526.81,532.80,303.54,109.12,830.35,641.92,1472.27
9/29/2018,California,0.00,0.02,0.00,0.00,0.00,0.02,0.02
9/30/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/1/2018,California,0.18,0.01,0.22,0.00,0.40,0.01,0.41
10/2/2018,California,3.17,0.02,1.45,0.48,4.62,0.50,5.12
10/3/2018,California,86.93,304.36,181.02,225.46,267.95,529.82,797.77
10/4/2018,California,3.96,0.04,0.05,0.09,4.01,0.13,4.14
10/5/2018,California,96.77,0.40,32.51,163.42,129.28,163.81,293.09
10/6/2018,California,149.51,51.36,36.96,9.67,186.47,61.03,247.50
10/7/2018,California,24.78,1.53,0.05,0.00,24.83,1.53,26.36
10/8/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/9/2018,California,13.19,16.11,24.49,1.72,37.68,17.83,55.51
10/10/2018,California,5.06,14.32,1.39,0.69,6.45,15.01,21.46
10/11/2018,California,63.15,0.95,1.12,1.17,64.27,2.11,66.38
10/12/2018,California,0.00,0.04,0.07,0.00,0.08,0.04,0.12
10/13/2018,California,0.00,0.00,0.04,0.05,0.04,0.05,0.09
10/14/2018,California,0.00,0.02,0.00,0.04,0.00,0.06,0.06
10/15/2018,California,11.42,1.53,1.33,1.75,12.75,3.28,16.03
10/16/2018,California,11.07,75.03,10.96,2.90,22.03,77.94,99.97
10/17/2018,California,736.55,2113.19,431.71,350.45,1168.26,2463.64,3631.90
10/18/2018,California,3.24,0.02,0.00,0.00,3.24,0.02,3.26
10/19/2018,California,81.76,173.73,141.65,634.00,223.40,807.72,1031.12
10/20/2018,California,0.07,0.05,0.02,0.00,0.09,0.05,0.14
10/21/2018,California,11.18,6.65,1.17,0.57,12.36,7.22,19.58
10/22/2018,California,290.93,0.03,0.02,0.38,290.95,0.41,291.36
10/23/2018,California,4.36,22.50,3.55,1.12,7.91,23.62,31.53
10/24/2018,California,3.27,3.09,0.95,0.29,4.22,3.38,7.61
10/25/2018,California,357.17,5.96,2.23,4.38,359.40,10.33,369.73
10/26/2018,California,0.17,0.00,0.04,0.04,0.21,0.04,0.25
10/27/2018,California,164.79,319.11,50.18,20.30,214.97,339.41,554.38
10/28/2018,California,0.24,5.02,0.25,3.36,0.49,8.38,8.87
10/29/2018,California,21.88,136.45,12.03,3.78,33.91,140.23,174.15
10/30/2018,California,403.42,56.06,128.34,265.25,531.76,321.31,853.07
10/31/2018,California,0.24,0.06,0.14,0.14,0.38,0.20,0.57
11/1/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/2/2018,California,4.27,0.00,0.25,0.04,4.51,0.04,4.56
11/3/2018,California,334.66,1185.11,324.75,194.28,659.41,1379.39,2038.80
11/4/2018,California,2.61,1.83,0.46,0.09,3.07,1.91,4.98
11/5/2018,California,1397.16,1159.16,1038.89,870.69,2436.06,2029.86,4465.92
11/6/2018,California,2.89,0.06,0.04,0.21,2.93,0.27,3.20
11/7/2018,California,29.50,0.35,0.37,0.22,29.87,0.57,30.44
11/8/2018,California,0.33,0.19,0.00,0.00,0.33,0.19,0.52
11/9/2018,California,60.12,4.93,1.58,0.36,61.70,5.29,66.99
11/10/2018,California,1.44,0.00,1.19,0.59,2.63,0.59,3.22
11/11/2018,California,0.00,0.00,0.04,0.05,0.04,0.05,0.09
11/12/2018,California,0.14,0.00,0.02,0.13,0.16,0.13,0.29
11/13/2018,California,1.25,0.21,0.08,0.04,1.34,0.25,1.59
11/14/2018,California,6.10,0.37,0.11,0.00,6.20,0.37,6.58
11/15/2018,California,3.54,0.00,0.07,0.00,3.61,0.00,3.61
11/16/2018,California,46.42,27.30,3.12,11.28,49.54,38.58,88.12
11/17/2018,California,0.00,0.00,0.00,11.86,0.00,11.86,11.86
11/18/2018,California,22.10,17.77,0.44,0.34,22.54,18.12,40.66
11/19/2018,California,8.13,0.03,0.49,0.23,8.62,0.26,8.88
11/20/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/21/2018,California,19.46,1.61,0.03,0.05,19.48,1.66,21.15
11/22/2018,California,769.74,135.73,296.71,268.82,1066.45,404.55,1471.00
11/23/2018,California,0.88,3.54,0.04,0.05,0.92,3.59,4.51
11/24/2018,California,4.17,2.33,1.22,4.55,5.40,6.88,12.28
11/25/2018,California,0.20,0.83,0.13,0.00,0.33,0.83,1.16
11/26/2018,California,4.97,53.43,3.86,2.05,8.83,55.48,64.30
11/27/2018,California,885.59,805.20,79.57,65.76,965.16,870.97,1836.13
11/28/2018,California,57.42,180.66,40.95,129.73,98.37,310.39,408.76
11/29/2018,California,20.02,101.31,14.38,10.25,34.40,111.56,145.96
11/30/2018,California,668.61,400.39,404.94,142.05,1073.56,542.44,1616.00
12/1/2018,California,0.00,0.04,0.00,0.00,0.00,0.05,0.05
12/2/2018,California,4.47,0.08,1.03,1.60,5.50,1.68,7.18
12/3/2018,California,173.25,2.53,6.10,5.36,179.34,7.89,187.23
12/4/2018,California,1.31,11.98,2.38,0.52,3.69,12.50,16.19
12/5/2018,California,391.58,831.16,54.32,65.77,445.90,896.92,1342.82
12/6/2018,California,32.51,4.75,1.12,0.25,33.63,5.00,38.63
12/7/2018,California,56.52,1.18,1.34,1.29,57.87,2.47,60.34
12/8/2018,California,2829.15,2845.92,742.70,149.52,3571.85,2995.44,6567.29
12/9/2018,California,9.48,4.40,1.58,2.11,11.06,6.51,17.56
12/10/2018,California,0.03,0.01,0.19,0.14,0.22,0.16,0.38
12/11/2018,California,5.92,9.34,9.26,10.41,15.18,19.75,34.94
12/12/2018,California,7.44,0.06,3.88,3.87,11.31,3.93,15.24
12/13/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/14/2018,California,0.07,0.01,0.70,0.00,0.77,0.01,0.78
12/15/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/16/2018,California,73.36,423.00,9.55,1.36,82.91,424.36,507.27
12/17/2018,California,0.61,0.28,2.54,0.31,3.15,0.59,3.74
12/18/2018,California,1.45,0.93,0.65,0.50,2.10,1.43,3.53
12/19/2018,California,1.24,2.05,1.34,1.72,2.59,3.77,6.36
12/20/2018,California,11.77,0.89,0.41,0.39,12.17,1.28,13.46
12/21/2018,California,4.20,0.00,0.04,0.09,4.24,0.09,4.33
12/22/2018,California,0.00,0.08,0.37,0.71,0.37,0.79,1.15
12/23/2018,California,236.42,45.33,29.00,11.47,265.42,56.80,322.21
12/24/2018,California,0.16,0.00,0.10,0.05,0.26,0.05,0.31
12/25/2018,California,0.00,0.00,0.03,0.05,0.03,0.05,0.08
12/26/2018,California,15.76,4.51,1.14,0.23,16.89,4.74,21.63
12/27/2018,California,1.08,6.18,1.84,0.83,2.91,7.01,9.93
12/28/2018,California,8.00,3.39,0.90,0.14,8.90,3.53,12.43
12/29/2018,California,73.84,0.00,0.46,0.04,74.30,0.04,74.34
12/30/2018,California,64.96,84.97,1.57,1.54,66.53,86.50,153.03
12/31/2018,California,0.01,0.07,83.62,0.44,83.63,0.51,84.14
1/1/2019,California,0.57,0.14,0.06,0.09,0.63,0.23,0.86
1/2/2019,California,0.07,0.01,0.00,0.00,0.07,0.01,0.09
1/3/2019,California,0.55,0.57,0.02,0.15,0.57,0.72,1.29
1/4/2019,California,3.73,1.42,0.69,0.25,4.42,1.67,6.09
1/5/2019,California,0.02,0.78,0.12,0.61,0.14,1.38,1.52
1/6/2019,California,6.16,0.01,0.18,0.39,6.34,0.40,6.74
1/7/2019,California,20.00,1.22,0.97,1.89,20.96,3.11,24.07
