ID,Sex,Age,Major,Year,Transportation,Campus #1 Score,Campus #2 Score,Campus #3 Score,Campus #4 Score,Campus #5 Score,Campus #6 Score
e2020032,F,23,Data Science,I5,Motorbike,4,8,0,2,5,5
e2020033,F,23,Data Science,I5,Motorbike,0,1,5,0,8,1
e2020034,F,23,Data Science,I5,Motorbike,4,8,9,1,8,6
e2020035,F,23,Data Science,I5,Motorbike,4,9,0,1,5,6
e2020036,F,23,Data Science,I5,Motorbike,1,7,1,4,1,2
e2020037,F,23,Data Science,I5,Motorbike,3,3,4,3,9,3
e2020038,F,23,Data Science,I5,Motorbike,3,3,0,2,6,9
e2020039,M,23,Data Science,I5,Bike,0,7,8,8,5,5
e2020040,M,20,Data Science,I2,Bike,1,7,8,7,8,0
e2020041,M,20,Data Science,I2,Bike,2,4,5,1,5,1
e2020042,F,20,Data Science,I2,Bike,3,1,0,6,6,6
e2020043,F,20,Data Science,I2,Bike,4,0,8,2,8,1
e2020044,F,20,Data Science,I2,Bike,3,6,4,6,3,1
e2020045,F,20,Data Science,I2,Bike,3,8,8,3,8,6
e2020046,M,20,Telecommunication,I2,Bike,4,9,2,4,5,8
e2020047,M,20,Telecommunication,I2,Bike,3,2,1,4,1,4
e2020048,M,20,Telecommunication,I2,Bike,1,7,6,7,3,7
e2020049,M,20,Cybersecurity,I2,Bike,4,4,1,3,2,1
e2020050,M,20,Cybersecurity,I2,Bike,1,0,6,0,1,1
e2020051,M,20,Cybersecurity,I2,Bike,1,2,4,1,0,9
e2020052,M,20,Cybersecurity,I2,Bike,0,7,6,0,5,4
e2020053,M,23,Cybersecurity,I5,Bike,1,7,4,2,5,5
e2020054,M,23,Cybersecurity,I5,Bike,0,7,6,2,0,2
e2020055,M,23,Cybersecurity,I5,Walk,1,6,2,1,9,4
e2020056,M,23,Cybersecurity,I5,Walk,4,2,2,7,1,3
e2020057,M,23,Telecommunication,I5,Walk,4,1,4,2,6,1
e2020058,M,23,Telecommunication,I5,Walk,0,9,9,8,9,3
e2020059,M,23,Telecommunication,I5,Walk,2,9,6,5,9,3
e2020060,M,23,Telecommunication,I5,Walk,1,8,5,2,4,4
e2020061,M,23,Telecommunication,I5,Walk,1,5,6,4,0,1
e2020062,M,23,Telecommunication,I5,Walk,4,7,3,3,6,3
e2020063,M,23,Telecommunication,I5,Walk,3,1,5,4,8,8
e2020064,M,23,Telecommunication,I5,Walk,3,3,0,2,8,5
e2020065,M,21,Telecommunication,I3,Walk,2,3,5,1,0,9
e2020066,M,21,Telecommunication,I3,Walk,1,7,9,3,3,5
e2020067,M,21,Telecommunication,I3,Walk,0,3,5,0,0,4
e2020068,M,21,Telecommunication,I3,Walk,3,2,7,9,6,0
e2020069,M,21,Telecommunication,I3,Motorbike,1,4,4,9,4,9
e2020070,M,21,Data Science,I3,Motorbike,2,2,8,2,3,3
e2020071,M,21,Data Science,I3,Motorbike,4,7,1,1,2,3
e2020072,M,21,Data Science,I3,Motorbike,3,6,4,4,3,2
e2020073,M,21,Data Science,I3,Motorbike,4,0,3,2,0,6
e2020074,M,21,Data Science,I3,Motorbike,2,6,5,2,8,8
e2020075,M,21,Data Science,I3,Motorbike,3,9,2,8,0,8
e2020076,M,21,Data Science,I3,Motorbike,3,7,5,7,4,1
e2020077,M,21,Data Science,I3,Motorbike,1,8,3,0,0,1
e2020078,M,20,Data Science,I2,Motorbike,3,4,6,3,6,9
e2020079,M,20,Data Science,I2,Motorbike,1,6,8,0,9,6
e2020080,M,20,Data Science,I2,Motorbike,1,2,2,5,3,1
e2020081,M,20,Software Engineering,I2,Motorbike,4,6,4,1,2,4
e2020082,M,20,Software Engineering,I2,Motorbike,3,1,4,9,9,5
e2020083,M,20,Software Engineering,I2,Motorbike,3,2,7,9,7,7
e2020084,M,20,Software Engineering,I2,Bike,0,5,7,7,0,9
e2020085,M,20,Software Engineering,I2,Bike,2,1,1,1,8,5
e2020086,M,20,Software Engineering,I2,Bike,3,1,9,6,2,4
e2020087,M,20,Software Engineering,I2,Bike,0,0,1,6,3,3
e2020088,M,20,Software Engineering,I2,Bike,4,4,5,4,4,6
e2020089,M,20,Software Engineering,I2,Bike,4,4,4,8,6,0
e2020090,M,20,Computer Science,I2,Bike,3,1,9,2,9,7
e2020091,M,20,Computer Science,I2,Bike,0,0,8,3,3,2
e2020092,M,20,Computer Science,I2,Bike,4,8,8,9,8,8
e2020093,M,20,Computer Science,I2,Bike,4,3,1,2,4,5
e2020094,M,20,Computer Science,I2,Bike,0,3,7,9,6,7
e2020095,M,20,Computer Science,I2,Bike,3,0,9,8,5,8
e2020096,M,20,Computer Science,I2,Bike,3,1,0,1,1,8
e2020097,M,20,Computer Science,I2,Walk,4,5,5,0,0,8
e2020098,M,20,Computer Science,I2,Walk,4,4,4,0,4,8
e2020099,M,20,Computer Science,I2,Walk,1,5,8,0,8,2
e2020100,M,20,Computer Science,I2,Walk,2,3,8,3,9,5
e2020101,M,20,Computer Science,I2,Walk,4,0,5,7,5,8
e2020102,M,20,Software Engineering,I2,Walk,4,3,4,2,7,2
e2020103,M,20,Software Engineering,I2,Walk,1,9,6,0,9,3
e2020104,M,20,Software Engineering,I2,Walk,2,0,1,6,7,3
e2020105,M,20,Software Engineering,I2,Walk,4,9,4,9,2,1
e2020106,M,20,Software Engineering,I2,Walk,2,5,9,2,8,9
e2020107,M,20,Software Engineering,I2,Walk,1,2,0,2,6,4
e2020108,M,20,Software Engineering,I2,Walk,4,6,8,3,5,0
e2020109,M,20,Computer Science,I2,Walk,1,8,8,6,1,8
e2020110,M,20,Computer Science,I2,Walk,2,2,9,4,5,3
e2020111,M,20,Computer Science,I2,Walk,4,1,7,1,8,8
e2020112,M,20,Computer Science,I2,Walk,3,3,1,4,1,4
e2020113,M,20,Computer Science,I2,Walk,3,8,3,4,2,1
e2020114,M,20,Web Developper,I2,Walk,1,9,5,1,8,5
e2020115,M,20,Web Developper,I2,Walk,2,1,0,6,3,8
e2020116,M,20,Web Developper,I2,Walk,4,8,2,6,3,1
e2020117,M,20,Web Developper,I2,Walk,4,3,0,1,0,3
e2020118,M,20,Web Developper,I2,Walk,2,8,5,4,5,6
e2020119,M,20,Web Developper,I2,Motorbike,2,7,3,3,7,5
e2020120,M,23,Web Developper,I5,Motorbike,0,2,2,8,1,6
e2020121,M,23,Web Developper,I5,Motorbike,3,0,8,8,7,0
e2020122,M,23,Computer Science,I5,Motorbike,3,7,2,1,3,5
e2020123,M,23,Computer Science,I5,Motorbike,2,2,3,0,9,4
e2020124,M,23,Computer Science,I5,Motorbike,1,7,8,3,2,0
e2020125,M,23,Computer Science,I5,Motorbike,3,2,6,8,7,7
e2020126,M,23,Computer Science,I5,Motorbike,4,8,8,2,9,3
e2020127,M,23,Computer Science,I5,Motorbike,0,3,2,7,8,6
e2020128,M,23,Computer Science,I5,Motorbike,4,3,1,4,6,7
e2020129,M,23,Computer Science,I5,Motorbike,4,1,7,4,0,2
e2020130,M,23,Computer Science,I5,Motorbike,4,6,7,5,5,9
e2020131,M,23,Computer Science,I5,Motorbike,1,8,5,7,3,0
e2020132,M,23,Computer Science,I5,Motorbike,0,2,4,7,2,1
e2020133,M,23,Computer Science,I5,Motorbike,4,6,6,7,2,6
e2020134,M,23,Computer Science,I5,Motorbike,4,2,2,2,7,5
e2020135,M,23,Cybersecurity,I5,Motorbike,0,4,4,9,7,9
e2020136,M,22,Cybersecurity,I4,Bike,0,7,4,7,7,0
e2020137,M,22,Cybersecurity,I4,Bike,4,1,8,8,3,9
e2020138,M,22,Cybersecurity,I4,Bike,2,9,0,8,4,4
e2020139,M,22,Cybersecurity,I4,Bike,0,7,8,2,2,0
e2020140,M,22,Cybersecurity,I4,Bike,4,7,6,3,3,5
e2020141,M,22,Cybersecurity,I4,Bike,3,7,8,3,0,4
e2020142,M,22,Cybersecurity,I4,Bike,2,9,2,8,1,1
e2020143,M,22,Cybersecurity,I4,Bike,1,0,1,3,6,4
e2020144,M,22,Cybersecurity,I4,Bike,2,8,1,4,9,2
e2020145,M,22,Data Science,I4,Bike,4,8,0,9,1,6
e2020146,M,22,Data Science,I4,Bike,3,2,5,0,9,1
e2020147,M,22,Data Science,I4,Walk,0,2,4,1,6,4
e2020148,M,22,Data Science,I4,Walk,4,1,4,6,6,8
e2020149,M,22,Data Science,I4,Walk,2,3,6,2,6,5
e2020150,M,22,Data Science,I4,Walk,3,3,0,9,7,9
e2020151,M,22,Data Science,I4,Walk,4,9,7,4,5,7
e2020152,M,22,Data Science,I4,Walk,2,3,1,2,4,5
e2020153,M,22,Data Science,I4,Walk,1,0,1,7,1,6
e2020154,M,22,Data Science,I4,Walk,0,0,4,0,3,0
e2020155,M,22,Data Science,I4,Walk,0,0,3,8,9,4
e2020156,M,22,Data Science,I4,Walk,4,1,2,8,9,1
e2020157,M,22,Data Science,I4,Walk,0,6,8,9,3,7
e2020158,M,22,Data Science,I4,Walk,4,5,7,0,2,7
e2020159,M,22,Data Science,I4,Walk,2,3,8,1,1,3
e2020160,M,22,Data Science,I4,Walk,2,7,3,2,2,6
e2020161,M,22,Data Science,I4,Walk,3,5,4,7,3,9
e2020162,M,22,Data Science,I4,Bike,3,6,1,6,4,6
e2020163,M,22,Data Science,I4,Bike,2,4,2,2,7,1
e2020164,M,22,Data Science,I4,Bike,4,0,9,4,3,6
e2020165,M,22,Data Science,I4,Bike,3,7,1,6,9,4
e2020166,M,22,Data Science,I4,Bike,1,3,9,3,5,8
e2020167,M,22,Data Science,I4,Bike,4,3,3,4,0,8
e2020168,M,22,Data Science,I4,Bike,4,7,0,3,8,6
e2020169,M,22,Data Science,I4,Bike,2,2,0,0,5,5
e2020170,M,22,Data Science,I4,Bike,2,5,0,3,4,0
e2020171,M,22,Data Science,I4,Bike,0,4,7,5,9,3
e2020172,M,22,Data Science,I4,Bike,0,3,4,9,2,6
e2020173,M,22,Data Science,I4,Bike,2,5,3,5,7,5
e2020174,M,22,Data Science,I4,Bike,3,8,4,7,2,1
e2020175,M,22,Data Science,I4,Bike,4,0,8,3,5,9
e2020176,M,22,Data Science,I4,Bike,4,0,3,9,1,7
e2020177,M,22,Data Science,I4,Bike,4,6,8,4,4,8
e2020178,M,22,Data Science,I4,Motorbike,3,3,1,3,7,8
e2020179,F,22,Data Science,I4,Motorbike,4,7,2,9,3,4
e2020180,F,22,Data Science,I4,Motorbike,2,7,5,3,8,8
e2020181,F,19,Data Science,I1,Motorbike,3,0,1,9,1,0
e2020182,F,19,Data Science,I1,Motorbike,2,4,4,6,5,5
e2020183,F,19,Data Science,I1,Motorbike,2,2,0,4,0,2
e2020184,F,19,Data Science,I1,Motorbike,2,1,8,5,8,0
e2020185,F,19,Data Science,I1,Motorbike,2,2,9,0,4,1
e2020186,F,19,Data Science,I1,Motorbike,3,2,9,8,4,1
e2020187,F,19,Data Science,I1,Motorbike,1,3,8,1,6,0
e2020188,M,19,Data Science,I1,Motorbike,4,3,8,8,0,8
e2020189,M,19,Data Science,I1,Motorbike,3,5,9,1,7,0
e2020190,M,19,Data Science,I1,Motorbike,1,5,1,2,3,3
e2020191,M,19,Data Science,I1,Motorbike,2,6,2,3,9,1
e2020192,M,19,Data Science,I1,Motorbike,3,0,9,9,8,7
e2020193,M,19,Data Science,I1,Motorbike,3,6,0,3,8,4
e2020194,M,19,Data Science,I1,Motorbike,1,5,2,6,5,1
e2020195,M,19,Data Science,I1,Bike,2,5,8,4,9,2
e2020196,M,19,Data Science,I1,Bike,2,9,2,5,3,6
e2020197,M,19,Data Science,I1,Bike,3,5,1,1,1,2
e2020198,M,19,Data Science,I1,Bike,4,7,6,8,9,0
e2020199,M,19,Data Science,I1,Bike,0,6,5,7,1,3
e2020200,M,19,Data Science,I1,Bike,1,3,8,6,6,4
e2020201,M,19,Data Science,I1,Bike,2,7,0,7,9,6
e2020202,M,19,Data Science,I1,Bike,4,8,7,6,0,2
e2020203,M,19,Data Science,I1,Bike,4,7,6,6,6,5
e2020204,M,19,Data Science,I1,Bike,4,0,5,9,8,1
e2020205,M,19,Data Science,I1,Bike,2,6,5,8,9,0
e2020206,M,19,Data Science,I1,Bike,3,4,6,4,7,7
e2020207,M,19,Data Science,I1,Bike,2,1,3,5,3,0
e2020208,M,19,Data Science,I1,Bike,0,2,4,7,6,0
e2020209,M,19,Data Science,I1,Bike,2,0,2,4,5,1
e2020210,M,19,Data Science,I1,Bike,1,5,6,9,2,6
e2020211,M,19,Telecommunication,I1,Walk,0,0,0,8,7,2
e2020212,M,19,Telecommunication,I1,Walk,3,5,5,6,2,9
e2020213,M,19,Telecommunication,I1,Walk,2,8,6,9,9,6
e2020214,M,19,Telecommunication,I1,Walk,1,6,8,5,4,1
e2020215,M,19,Telecommunication,I1,Walk,2,1,7,0,3,4
e2020216,M,19,Telecommunication,I1,Walk,4,6,6,7,3,8
e2020217,M,19,Telecommunication,I1,Walk,4,0,4,0,6,7
e2020218,M,19,Telecommunication,I1,Walk,4,8,5,2,9,8
e2020219,M,19,Telecommunication,I1,Walk,1,4,2,8,7,5
e2020220,M,19,Telecommunication,I1,Walk,2,5,4,6,2,8
e2020221,M,20,Telecommunication,I2,Walk,0,5,2,2,3,1
e2020222,M,20,Telecommunication,I2,Walk,3,2,1,7,0,4
e2020223,M,20,Telecommunication,I2,Walk,4,2,2,1,2,2
e2020224,M,20,Telecommunication,I2,Walk,3,3,0,2,0,3
e2020225,M,20,Telecommunication,I2,Walk,2,5,5,3,8,6
e2020226,M,20,Telecommunication,I2,Walk,4,5,9,6,4,1
e2020227,M,20,Telecommunication,I2,Walk,0,7,4,7,0,2
e2020228,M,20,Telecommunication,I2,Walk,0,6,3,0,9,2
e2020229,M,20,Telecommunication,I2,Walk,2,3,4,3,0,4
e2020230,M,20,Telecommunication,I2,Walk,0,6,9,4,6,5
e2020231,M,21,Telecommunication,I3,Walk,2,9,7,9,3,2
e2020232,M,21,Telecommunication,I3,Walk,0,3,4,3,2,9
e2020233,M,21,Telecommunication,I3,Bike,3,2,7,5,8,5
e2020234,M,21,Telecommunication,I3,Bike,4,7,1,8,1,0
e2020235,M,21,Telecommunication,I3,Bike,2,8,4,3,0,4
e2020236,M,21,Telecommunication,I3,Bike,2,2,2,5,4,5
e2020237,M,21,Telecommunication,I3,Bike,3,2,0,7,6,4
e2020238,M,21,Telecommunication,I3,Bike,1,1,5,2,6,1
e2020239,M,21,Telecommunication,I3,Bike,2,5,2,4,9,5
e2020240,M,21,Telecommunication,I3,Bike,4,2,4,9,3,6
e2020241,M,21,Telecommunication,I3,Bike,4,7,1,7,4,0
e2020242,M,21,Telecommunication,I3,Bike,4,4,8,9,4,0
e2020243,M,21,Web Developper,I3,Bike,0,1,2,2,3,7
e2020244,M,21,Web Developper,I3,Bike,1,4,4,1,4,7
e2020245,M,21,Web Developper,I3,Bike,2,4,8,3,3,8
e2020246,M,21,Web Developper,I3,Bike,3,8,9,9,2,8
e2020247,M,22,Web Developper,I4,Bike,2,7,8,9,7,4
e2020248,M,22,Web Developper,I4,Bike,2,4,4,8,2,3
e2020249,M,22,Web Developper,I4,Bike,0,1,1,1,4,9
e2020250,M,22,Web Developper,I4,Bike,2,1,3,6,0,8
e2020251,M,22,Web Developper,I4,Motorbike,1,8,9,9,4,5
e2020252,M,22,Web Developper,I4,Motorbike,0,4,6,9,8,8
e2020253,M,22,Web Developper,I4,Motorbike,3,0,5,7,3,8
e2020254,M,22,Web Developper,I4,Motorbike,4,2,0,8,7,4
e2020255,M,22,Web Developper,I4,Motorbike,3,7,5,4,0,8
e2020256,M,22,Web Developper,I4,Motorbike,2,4,5,6,1,7
e2020257,M,22,Web Developper,I4,Motorbike,0,1,3,4,0,1
e2020258,M,22,Web Developper,I4,Motorbike,4,6,3,2,2,6
e2020259,M,22,Web Developper,I4,Motorbike,2,9,8,7,2,2
e2020260,M,22,Web Developper,I4,Motorbike,2,0,3,4,3,6
e2020261,M,22,Web Developper,I4,Motorbike,3,5,5,1,1,2
e2020262,M,22,Web Developper,I4,Motorbike,3,6,8,7,8,2
e2020263,M,22,Computer Science,I4,Motorbike,4,6,8,5,1,4
e2020264,M,23,Computer Science,I5,Motorbike,0,4,8,0,2,1
e2020265,M,23,Computer Science,I5,Motorbike,2,6,8,2,9,4
e2020266,M,23,Computer Science,I5,Motorbike,2,7,5,3,3,0
e2020267,M,23,Computer Science,I5,Motorbike,0,0,5,9,4,5
e2020268,M,23,Computer Science,I5,Motorbike,0,6,5,1,4,4
e2020269,M,23,Computer Science,I5,Motorbike,1,1,6,9,4,9
e2020270,M,23,Computer Science,I5,Motorbike,0,5,3,0,4,1
e2020271,M,23,Computer Science,I5,Motorbike,2,3,4,0,4,6
e2020272,M,23,Computer Science,I5,Motorbike,1,2,0,8,4,8
e2020273,M,23,Computer Science,I5,Motorbike,2,7,1,5,6,4
e2020274,M,23,Computer Science,I5,Motorbike,4,7,8,3,9,9
e2020275,M,23,Computer Science,I5,Motorbike,1,8,5,7,6,9
e2020276,M,23,Computer Science,I5,Motorbike,3,5,3,7,3,0
e2020277,F,23,Computer Science,I5,Motorbike,4,3,7,4,0,0
e2020278,F,23,Computer Science,I5,Bike,3,9,4,6,6,9
e2020279,F,23,Computer Science,I5,Bike,1,3,8,2,1,4
e2020280,F,23,Computer Science,I5,Bike,2,2,2,0,5,2
e2020281,F,23,Software Engineering,I5,Bike,1,2,5,3,5,3
e2020282,F,23,Software Engineering,I5,Bike,3,5,8,5,8,0
e2020283,M,23,Software Engineering,I5,Bike,3,7,7,1,1,6
e2020284,M,19,Software Engineering,I1,Bike,3,2,9,3,6,0
e2020285,M,19,Software Engineering,I1,Bike,2,9,5,8,6,9
e2020286,M,19,Software Engineering,I1,Bike,4,5,0,2,1,4
e2020287,M,19,Software Engineering,I1,Bike,0,1,6,3,9,8
e2020288,M,19,Software Engineering,I1,Walk,0,9,2,1,3,0
e2020289,M,19,Software Engineering,I1,Walk,2,2,7,5,0,3
e2020290,M,19,Software Engineering,I1,Walk,2,5,6,8,6,9
e2020291,M,19,Software Engineering,I1,Walk,3,7,8,1,9,4
e2020292,M,20,Software Engineering,I2,Walk,2,4,7,3,1,0
e2020293,M,20,Software Engineering,I2,Walk,1,3,9,4,6,5
e2020294,M,20,Software Engineering,I2,Walk,4,2,7,6,0,1
e2020295,M,20,Software Engineering,I2,Walk,1,8,4,9,2,6
e2020296,M,20,Software Engineering,I2,Walk,2,4,5,8,9,9
e2020297,F,20,Software Engineering,I2,Walk,0,1,1,5,9,7
e2020298,F,20,Software Engineering,I2,Walk,1,9,4,2,8,0
e2020299,F,20,Software Engineering,I2,Walk,0,2,8,8,7,3
e2020300,F,20,Software Engineering,I2,Walk,3,8,1,5,7,3
