Customer id	Product id	rating(out of 5)	sales	comment
130	PC130	5	16309	I appreciate the attention to detail in the design of this product
131	PC131	5	103646	The product arrived in perfect condition and was easy to set up
132	PC132	3	56138	The packaging was excessive and seemed wasteful
133	PC133	4	117028	I found the product to be very versatile and useful in a variety of settings
134	PC134	2	19859	The product is very lightweight and easy to transport
135	PC135	3	46949	I wish there were more customization options available for this product
136	PC136	2	61069	The product is very easy to assemble and disassemble for storage
137	PC137	3	121517	The quality of the product is top-notch
138	PC138	4	119075	The product is a bit bulky
139	PC139	5	30772	I was disappointed with the customer service I received when I had an issue with the product
140	PC140	1	112422	The product is very affordable and a great value for the price
141	PC141	2	1974	The product exceeded my expectations in terms of functionality
142	PC142	4	18546	I love the design of the product
143	PC143	4	96301	The product was a bit difficult to set up
144	PC144	2	103092	I wish the product had more color options available
145	PC145	5	8611	The product is very durable and has held up well over time
146	PC146	4	63699	The price is a bit high
