#Company,Price,Volume,YTD Change,Volume*Price,Total employee,Date
A127,61220.77804,13.1453416,36.9941%,804768.0404,89,5/8/2023
A128,99188.95553,29.08559082,58.0621%,2884969.375,27,5/9/2023
A129,11991.48206,37.28419341,74.3707%,447092.7362,12,5/10/2023
A130,42523.56479,42.242183,25.7861%,1796288.206,80,5/11/2023
A131,12823.11643,31.26006656,54.9317%,400851.473,97,5/12/2023
A132,49644.9281,30.69363179,5.8421%,1523783.143,29,5/13/2023
A133,40181.23416,60.22059214,18.2330%,2419737.714,36,5/14/2023
A134,63494.23752,67.81872832,44.1921%,4306098.445,3,5/15/2023
A135,26087.19228,57.17172368,32.0809%,1491449.748,87,5/16/2023
A136,69968.3483,93.77850699,81.2267%,6561527.24,24,5/17/2023
A137,85994.19527,31.62378603,4.5246%,2719462.031,99,5/18/2023
A138,62426.70775,86.68982531,8.7717%,5411760.39,80,5/19/2023
A139,45974.84679,23.51954756,27.7667%,1081307.595,74,5/20/2023
A140,24067.04959,43.02906618,60.4449%,1035582.67,92,5/21/2023
A141,41052.75632,88.39328169,40.7798%,3628787.854,16,5/22/2023
A142,94284.06621,0.514271746,88.9135%,48487.63133,37,5/23/2023
A143,89963.35031,27.27768259,81.5340%,2453991.714,25,5/24/2023
A144,115696.3558,17.0432475,41.6793%,1971841.626,5,5/25/2023
A145,115612.927,11.79879231,18.1118%,1364092.913,46,5/26/2023
A146,100244.2888,83.49552899,80.0913%,8369949.924,20,5/27/2023
A147,14139.52607,59.22174014,31.0976%,837367.3384,49,5/28/2023
A148,114924.4354,47.35422426,81.0356%,5442157.488,10,5/29/2023
A149,37164.77294,99.87947784,55.7741%,3711998.115,78,5/30/2023
A150,81688.14963,99.65619341,27.3025%,8140730.039,58,5/31/2023
A151,115524.529,28.96933721,85.7021%,3346669.037,19,6/1/2023
A152,116143.5439,20.57100099,94.2811%,2389188.956,91,6/2/2023
A153,45019.83316,32.4249293,71.2965%,1459764.907,63,6/3/2023
A154,52493.16191,26.97533211,25.1362%,1416020.476,1,6/4/2023
A155,86193.84747,80.44066404,12.4032%,6933490.327,14,6/5/2023
A156,17109.93166,84.52119227,27.3810%,1446151.824,30,6/6/2023
A157,89292.75038,73.30979213,45.4924%,6546032.969,86,6/7/2023
A158,66471.9865,87.23099239,15.3584%,5798417.349,91,6/8/2023
A159,28408.99319,38.06546516,46.3563%,1081401.541,89,6/9/2023
A160,7412.873414,53.22412248,91.0869%,394543.6826,52,6/10/2023
A161,12397.38254,26.03342309,54.1720%,322746.305,23,6/11/2023
A162,64349.49383,67.74519415,82.9450%,4359368.953,64,6/12/2023
A163,46698.55162,95.42177284,66.6048%,4456058.584,45,6/13/2023
A164,117891.2975,8.16404202,2.2081%,962469.5067,14,6/14/2023
A165,27925.91625,75.45388026,14.3166%,2107118.741,58,6/15/2023
A166,22877.98603,99.510213,23.3387%,2276593.263,65,6/16/2023
A167,96084.87877,42.61579282,74.5551%,4094733.286,7,6/17/2023
A168,14148.30731,44.99802159,58.5951%,636645.838,86,6/18/2023
A169,7490.887222,9.611194941,50.0841%,71996.37737,86,6/19/2023
A170,10294.85467,7.057469434,73.6850%,72655.62213,92,6/20/2023
A171,76421.52901,54.86777021,99.0777%,4193078.893,4,6/21/2023
A172,116347.7399,91.27742144,89.8030%,10619921.69,34,6/22/2023
A173,20129.35081,7.512347514,76.9171%,151218.6785,97,6/23/2023
A174,78479.54535,81.33264235,11.8903%,6382948.793,58,6/24/2023
A175,82522.4383,17.18191996,42.2378%,1417893.93,5,6/25/2023
A176,11307.49874,17.75395693,3.2180%,200752.8457,21,6/26/2023
A177,61780.0497,91.50736449,77.0148%,5653329.526,49,6/27/2023
A178,62501.40735,43.88453779,65.3631%,2742845.373,69,6/28/2023
A179,80097.41917,13.43120888,51.0254%,1075805.168,77,6/29/2023
A180,96534.30337,58.19934093,90.1639%,5618232.833,51,6/30/2023
A181,111069.7985,53.20228803,67.2994%,5909167.409,89,7/1/2023
A182,115254.274,51.21603399,76.2858%,5902866.814,84,7/2/2023
A183,20424.73824,43.67658341,26.8031%,892082.7835,62,7/3/2023
A184,9351.46051,63.34669439,77.9792%,592384.111,28,7/4/2023
A185,9827.757629,55.73937666,8.9443%,547793.0842,94,7/5/2023
A186,70860.21241,90.71398613,8.1116%,6428012.326,18,7/6/2023
A187,88393.89079,34.59616815,59.9609%,3058089.909,30,7/7/2023
A188,40913.98642,17.63862897,23.5374%,721666.6259,25,7/8/2023
A189,91558.61341,75.99820072,41.6513%,6958289.879,30,7/9/2023
A190,4341.301912,27.80487417,57.2312%,120709.3534,17,7/10/2023
A191,90848.70624,18.28269885,45.0879%,1660959.537,67,7/11/2023
A192,113843.1721,32.92250327,78.4386%,3748002.208,36,7/12/2023
A193,74516.38031,69.70573536,46.2488%,5194219.086,54,7/13/2023
A194,27319.14074,14.8813256,80.7037%,406545.0285,26,7/14/2023
A195,72055.05627,76.44059106,51.4127%,5507931.09,67,7/15/2023
A196,92209.89532,93.91774397,56.6389%,8660145.34,37,7/16/2023
A197,58584.51874,90.09155992,70.2057%,5277970.68,36,7/17/2023
A198,47564.8278,18.10484169,26.9140%,861153.6774,26,7/18/2023
A199,39371.71434,76.64865872,10.9173%,3017789.096,29,7/19/2023
A200,4113.256576,4.412149181,82.6298%,18148.30163,3,7/20/2023
A201,85297.5274,90.22316601,43.7387%,7695812.975,26,7/21/2023
A202,113062.5363,88.86727916,96.2200%,10047559.97,23,7/22/2023
A203,49820.02032,93.08846493,38.7419%,4637669.214,62,7/23/2023
A204,57185.21352,52.02896459,71.4754%,2975287.449,25,7/24/2023
A205,84228.82006,27.95641957,87.1174%,2354736.233,20,7/25/2023
A206,88791.91254,30.78768834,20.4027%,2733697.731,58,7/26/2023
A207,8270.139084,0.40255773,3.8024%,3329.20842,27,7/27/2023
A208,50357.62141,0.212407788,17.5739%,10696.35096,55,7/28/2023
A209,68866.02119,81.46943205,60.8652%,5610475.634,85,7/29/2023
A210,4023.64421,90.82054799,67.6245%,365429.5721,76,7/30/2023
A211,115730.5189,45.19039777,25.8333%,5229908.182,99,7/31/2023
A212,63977.01347,30.31261194,96.9600%,1939310.382,85,8/1/2023
A213,22301.26656,67.07775934,43.1139%,1495918.992,20,8/2/2023
A214,10996.79718,86.3099082,31.2582%,949132.5551,86,8/3/2023
A215,59527.84259,23.93356975,63.9436%,1424713.773,35,8/4/2023
A216,52072.99271,92.73451557,28.1019%,4828963.753,87,8/5/2023
A217,95829.51738,66.36414873,19.1711%,6359644.344,48,8/6/2023
A218,56164.58567,26.58844678,25.6687%,1493329.097,84,8/7/2023
A219,39346.14264,94.85441019,39.2175%,3732155.153,16,8/8/2023
A220,76200.81949,24.42827609,74.0376%,1861454.657,9,8/9/2023
A221,115238.5817,3.113501078,41.6385%,358795.4482,51,8/10/2023
A222,15213.615,42.7114199,47.4325%,649795.0986,54,8/11/2023
A223,15168.14705,83.85990051,0.9739%,1271999.302,80,8/12/2023
A224,78803.35009,60.13827074,63.0450%,4739097.203,53,8/13/2023
A225,33168.5385,39.26987336,3.0842%,1302524.306,30,8/14/2023
A226,42343.92811,42.84119865,16.1236%,1814064.636,41,8/15/2023
A227,43379.22656,27.65165624,15.8356%,1199507.461,7,8/16/2023
A228,62966.07698,46.89281557,21.9067%,2952656.635,61,8/17/2023
A229,72299.02177,43.80145434,47.2730%,3166802.301,11,8/18/2023
A230,88092.68502,90.95738103,30.7689%,8012679.917,32,8/19/2023
A231,28218.16726,22.423664,35.8683%,632754.7013,85,8/20/2023
A232,115089.3295,97.61587356,36.0605%,11234545.43,60,8/21/2023
A233,48422.42083,50.43504675,45.2403%,2442187.058,41,8/22/2023
A234,111003.5871,16.56043756,58.3647%,1838267.973,65,8/23/2023
A235,64073.41588,47.31795252,97.5742%,3031822.85,57,8/24/2023
A236,81456.70125,79.28207048,54.2588%,6458055.929,55,8/25/2023
A237,30140.50691,99.63361364,16.7288%,3003007.621,28,8/26/2023
A238,88201.34104,28.31536286,62.0855%,2497452.976,66,8/27/2023
A239,4802.136072,58.87363624,91.2274%,282719.2123,33,8/28/2023
A240,41280.92563,35.15514813,49.7458%,1451237.056,18,8/29/2023
A241,43426.32335,9.686963134,77.5946%,420669.1934,51,8/30/2023
A242,107854.0395,84.23450966,94.9027%,9085032.128,98,8/31/2023
A243,89513.19329,14.66517849,16.6890%,1312726.957,32,9/1/2023
A244,122289.8623,41.83794418,91.5891%,5116356.434,90,9/2/2023
A245,40504.36031,60.46241382,58.2371%,2448991.395,73,9/3/2023
A246,69112.50747,31.49076598,8.4303%,2176405.799,97,9/4/2023
A247,90718.25595,71.52032861,63.1984%,6488199.476,47,9/5/2023
A248,28375.09157,50.77706138,22.7287%,1440803.766,54,9/6/2023
A249,46804.07272,40.81794109,51.4797%,1910445.883,4,9/7/2023
A250,28583.73629,63.14261343,46.9329%,1804851.811,89,9/8/2023
A251,104102.4339,55.78672169,41.0385%,5807533.508,59,9/9/2023
A252,119282.261,29.62049571,13.4410%,3533199.699,30,9/10/2023
A253,96935.46872,84.30294353,22.2342%,8171945.346,82,9/11/2023
A254,88226.89956,21.75944955,2.1100%,1919768.77,24,9/12/2023
A255,29083.28383,80.72051626,47.0764%,2347617.685,17,9/13/2023
A256,115055.3584,61.92125135,27.8857%,7124371.767,6,9/14/2023
A257,12432.65784,24.39392103,16.2769%,303281.2734,75,9/15/2023
A258,52521.28224,87.07515511,28.6941%,4573298.798,9,9/16/2023
A259,26403.48574,43.21754262,89.0019%,1141093.77,43,9/17/2023
A260,65980.46,5.817504837,2.9676%,383841.6452,23,9/18/2023
A261,26432.60612,82.27824889,87.0093%,2174828.545,37,9/19/2023
A262,85253.34358,84.49177138,40.9710%,7203206.015,86,9/20/2023
A263,64789.38163,95.50277475,97.6196%,6187565.72,54,9/21/2023
A264,21938.90604,53.98167044,86.9836%,1184298.796,50,9/22/2023
A265,111100.8726,20.3561564,3.9024%,2261586.738,80,9/23/2023
A266,110855.7384,80.19218807,42.5429%,8889764.22,93,9/24/2023
A267,47154.30454,98.96773772,88.9959%,4666754.845,84,9/25/2023
A268,760.105564,99.87865764,85.7949%,75918.3234,77,9/26/2023
A269,42021.54835,19.33681855,92.3014%,812563.0559,72,9/27/2023
A270,34040.43337,24.14151497,4.2861%,821787.6319,38,9/28/2023
A271,106920.8085,97.26600349,73.0181%,10399759.73,48,9/29/2023
A272,53473.09992,38.65890415,35.4299%,2067211.445,61,9/30/2023
A273,19213.38511,76.28136379,38.5553%,1465623.219,32,10/1/2023
A274,72268.53473,75.63815305,10.3885%,5466258.491,38,10/2/2023
A275,121561.8621,83.17631491,22.0030%,10111067.73,71,10/3/2023
A276,104969.6795,76.96346416,42.0356%,8078830.165,13,10/4/2023
A277,54040.45032,3.630737337,93.4771%,196206.6807,52,10/5/2023
A278,101788.1583,83.15287829,47.5876%,8463978.34,50,10/6/2023
A279,83176.93042,40.12223275,24.8856%,3337244.162,95,10/7/2023
A280,29997.87265,21.85439199,25.1272%,655585.2678,42,10/8/2023
A281,72885.25173,88.08841056,30.6681%,6420345.978,39,10/9/2023
A282,120690.7322,98.17879269,84.3234%,11849270.38,22,10/10/2023
A283,43504.44987,85.56168532,80.9481%,3722314.05,90,10/11/2023
A284,109544.9757,54.61455759,26.7792%,5982750.385,82,10/12/2023
A285,72771.84028,1.444514596,1.5852%,105119.9854,13,10/13/2023
A286,74745.38417,71.18183062,66.6332%,5320513.276,34,10/14/2023
A287,9837.670321,51.8618219,46.7483%,510199.5061,5,10/15/2023
A288,60054.56755,10.02249025,46.0026%,601896.3177,65,10/16/2023
A289,4592.891369,45.72591112,59.9149%,210014.1425,5,10/17/2023
A290,17993.81723,72.00509101,15.8439%,1295646.448,92,10/18/2023
A291,116817.1777,65.27833154,3.2950%,7625630.457,90,10/19/2023
A292,56876.05287,58.9064598,10.2831%,3350366.922,67,10/20/2023
A293,50554.71515,68.04863274,79.7184%,3440179.244,67,10/21/2023
A294,64563.21273,33.56529979,40.6457%,2167083.591,99,10/22/2023
A295,90302.6434,63.86827529,10.5860%,5767474.088,53,10/23/2023
A296,25612.39952,91.12983585,92.4654%,2334053.764,5,10/24/2023
A297,14719.74881,71.49518115,21.6841%,1052391.108,29,10/25/2023
A298,2571.367979,48.73841188,29.2774%,125324.3917,22,10/26/2023
A299,110985.9077,98.50018849,77.5759%,10932132.83,46,10/27/2023
A300,35070.26393,83.84137312,67.2849%,2940339.083,64,10/28/2023
A301,21176.94897,51.72470625,74.2327%,1095371.465,73,10/29/2023
A302,72619.4638,4.760520456,97.8333%,345706.4429,88,10/30/2023
A303,100602.9514,35.31604671,99.1523%,3552898.532,18,10/31/2023
A304,119250.2528,25.78620739,48.5630%,3075011.75,20,11/1/2023
A305,106586.7401,89.90670015,73.1609%,9582862.085,67,11/2/2023
A306,12109.4673,48.17546894,19.5426%,583379.2658,22,11/3/2023
A307,6500.48413,0.762537648,12.3521%,4956.863878,82,11/4/2023
A308,2654.245289,41.5523798,21.0726%,110290.2083,67,11/5/2023
A309,44525.54013,25.04624755,45.9793%,1115197.7,19,11/6/2023
A310,62228.16548,69.15852188,67.9170%,4303607.943,81,11/7/2023
A311,40172.89654,94.64059974,9.6658%,3801987.022,60,11/8/2023
A312,25258.78466,65.20598725,55.7463%,1647023.99,39,11/9/2023
A313,50262.59377,10.4361162,11.5839%,524546.2692,15,11/10/2023
A314,49535.62004,97.86780077,37.8447%,4847942.193,33,11/11/2023
A315,85040.25824,87.25285701,75.4813%,7420005.493,18,11/12/2023
A316,79553.92452,92.51363943,16.2279%,7359823.088,94,11/13/2023
A317,20563.44482,91.29131917,87.2891%,1877264.005,38,11/14/2023
A318,117156.943,11.52292238,46.7810%,1349990.36,68,11/15/2023
A319,32961.3921,95.27746219,92.1089%,3140477.789,39,11/16/2023
A320,8332.971858,17.98272118,99.4161%,149849.5095,52,11/17/2023
A321,103606.2901,62.18152665,57.6037%,6442397.288,5,11/18/2023
A322,114311.8008,21.61843687,52.2723%,2471242.45,77,11/19/2023
A323,60709.23772,10.06004224,1.2870%,610737.4959,18,11/20/2023
A324,41355.65727,34.15310946,53.9566%,1412424.29,86,11/21/2023
A325,77908.88115,14.85280632,88.9754%,1157165.523,79,11/22/2023
A326,48773.3426,82.34681244,73.6439%,4016329.295,31,11/23/2023
A327,37221.91561,30.09789056,98.4950%,1120301.142,43,11/24/2023
A328,83629.14046,2.014657707,9.6228%,168484.0923,53,11/25/2023
A329,56135.76736,10.62702434,45.3322%,596556.1661,39,11/26/2023
A330,71072.40239,54.92865676,96.4047%,3903911.596,4,11/27/2023
A331,55595.20485,30.78697359,10.5276%,1711608.103,92,11/28/2023
A332,60054.96192,22.84779294,1.1234%,1372123.335,78,11/29/2023
A333,47244.64986,59.25227692,40.0427%,2799353.076,26,11/30/2023
A334,14631.70359,97.86317761,6.0061%,1431905.007,62,12/1/2023
A335,92740.50779,82.58277442,92.6213%,7658768.435,67,12/2/2023
A336,117579.9984,28.51628258,93.2911%,3352944.461,79,12/3/2023
A337,50904.51759,80.57263993,23.4307%,4101511.367,11,12/4/2023
A338,105465.1682,45.07536637,32.8200%,4753881.096,22,12/5/2023
A339,8176.02907,95.9843114,38.6268%,784770.5203,28,12/6/2023
A340,41532.65186,98.78886989,14.0735%,4102963.741,96,12/7/2023
A341,120973.7012,31.39441582,25.3000%,3797898.678,40,12/8/2023
A342,72504.55065,48.54899427,94.8425%,3520023.014,93,12/9/2023
A343,85254.48671,84.13845784,24.8404%,7173181.036,41,12/10/2023
A344,111778.4236,95.96297131,82.8675%,10726589.66,98,12/11/2023
A345,32782.50989,13.78820667,64.7641%,452012.0215,50,12/12/2023
A346,32154.76087,61.08434218,31.2473%,1964152.415,14,12/13/2023
A347,25445.73218,54.59352887,49.3556%,1389172.314,68,12/14/2023
A348,35824.87475,22.97163132,64.5570%,822955.8146,35,12/15/2023
A349,117689.5684,40.64157227,52.8912%,4783089.099,72,12/16/2023
A350,53379.95756,55.09792372,42.2980%,2941124.83,65,12/17/2023
A351,99553.21432,83.76908681,50.1064%,8339481.852,47,12/18/2023
A352,72753.72542,30.9937713,88.9511%,2254912.327,85,12/19/2023
A353,113510.2671,99.52604628,52.6981%,11297228.1,94,12/20/2023
A354,59444.52055,20.06894188,95.2502%,1192988.628,29,12/21/2023
A355,42070.1141,0.512196783,11.3412%,21548.17708,21,12/22/2023
A356,71373.24562,80.95738016,67.5238%,5778190.979,50,12/23/2023
A357,120063.5939,36.36974756,85.2696%,4366682.602,14,12/24/2023
A358,32958.5666,92.23239644,93.6381%,3039847.58,7,12/25/2023
A359,113120.2183,89.53980279,77.3255%,10128762.04,23,12/26/2023
A360,41253.3048,27.7982386,99.7110%,1146769.21,69,12/27/2023
A361,113107.9668,25.21887059,27.9139%,2852455.178,76,12/28/2023
A362,119156.3237,53.58025462,55.7443%,6384426.166,25,12/29/2023
A363,87300.46701,33.91592174,86.0073%,2960875.807,85,12/30/2023
A364,19643.64904,67.09371429,12.9927%,1317965.376,26,12/31/2023
A365,35970.99397,18.36330151,65.2038%,660546.2078,72,1/1/2024
A366,37532.50031,15.96462781,69.8360%,599192.3983,23,1/2/2024
A367,6478.739915,40.05374866,29.3435%,259497.8202,74,1/3/2024
A368,31893.8843,63.52178527,44.7827%,2025956.47,92,1/4/2024
A369,21639.56023,7.138227367,6.4343%,154468.1011,62,1/5/2024
A370,84627.76574,63.47540048,34.1948%,5371781.322,21,1/6/2024
A371,48260.12496,69.9646924,6.7025%,3376504.798,10,1/7/2024
A372,42780.07656,19.93013261,17.2546%,852612.599,16,1/8/2024
A373,106300.6694,39.53451651,16.7573%,4202545.569,11,1/9/2024
A374,82376.69772,84.62568556,26.3088%,6971184.519,23,1/10/2024
A375,5709.318903,53.53759009,78.9518%,305663.1751,44,1/11/2024
A376,50277.58561,4.622548422,47.1395%,232410.574,52,1/12/2024
A377,52191.6968,94.5182226,32.7995%,4933066.416,38,1/13/2024
A378,90318.72921,78.11427952,60.3957%,7055182.46,93,1/14/2024
A379,44808.77948,91.02305769,44.1231%,4078632.12,86,1/15/2024
A380,107624.4249,91.041926,97.7620%,9798334.931,39,1/16/2024
A381,84579.42988,27.46626044,64.5190%,2323080.649,4,1/17/2024
A382,33545.79659,44.57334953,42.0315%,1495248.517,50,1/18/2024
A383,16610.2428,59.30428518,29.0568%,985058.5756,0,1/19/2024
A384,7254.948873,75.54987653,55.8056%,548110.4916,92,1/20/2024
A385,56214.0568,16.3540434,69.7992%,919327.1247,82,1/21/2024
A386,80937.95114,95.580732,46.1351%,7736108.616,35,1/22/2024
A387,12014.86686,20.67422161,88.3047%,248398.02,33,1/23/2024
