id,course,score,gpa
128,Math,60,3.0180
129,History,89,2.8633
130,History,99,2.4889
131,Math,92,3.1201
132,History,73,2.0969
133,History,64,3.1364
134,History,87,3.9220
135,History,61,3.6228
136,Math,82,3.2127
137,Science,62,2.6463
138,English,87,3.8613
139,English,84,3.7720
140,Science,83,3.8024
141,History,69,3.0636
142,Math,70,3.3436
143,History,84,3.2166
144,Math,95,3.6583
145,History,71,2.8885
146,Science,61,3.2732
147,Science,79,3.4261
148,History,95,2.0459
149,English,82,3.8191
150,Science,64,3.7033
151,Science,75,3.7209
152,Science,84,2.4951
153,Math,85,2.7894
154,Science,84,3.9289
155,Math,61,2.8529
156,Science,85,3.5383
157,English,85,3.1594
158,English,78,3.7409
159,Math,78,3.8757
160,Math,63,2.9822
161,Science,99,3.3557
162,English,85,2.8773
163,History,99,3.6608
164,Science,94,3.3882
165,Math,95,2.9966
166,Science,76,3.2501
167,History,88,3.6001
168,Math,84,3.3024
169,History,89,2.5027
170,English,79,3.5808
171,English,71,2.4020
172,Math,70,3.2468
173,History,81,2.4326
174,Math,71,3.7631
175,English,78,2.1891
176,English,87,2.7358
177,History,87,3.2742
178,Math,73,3.6596
179,English,95,3.9777
180,History,70,3.6162
181,Math,88,2.3070
182,Science,85,3.8558
183,English,63,2.4598
184,Science,89,2.1856
185,History,92,2.6322
186,History,78,2.3769
187,History,74,2.8153
188,English,69,3.3443
189,Math,90,3.8007
190,Science,90,3.1931
191,Science,82,3.3641
192,English,91,2.5884
193,Math,90,2.8312
194,Science,88,2.8613
195,Science,89,2.9771
196,History,99,2.4981
197,History,86,2.1555
198,English,93,2.2801
199,History,60,2.5483
200,English,80,2.3639
201,Science,67,3.7727
202,Math,81,3.5799
203,Science,78,2.4454
204,Math,97,2.6772
205,Science,87,3.4379
206,History,64,2.5581
207,English,89,2.2081
208,History,92,3.9543
209,History,82,2.5848
210,English,84,2.4732
211,Math,83,3.6669
212,Math,99,3.4347
213,Science,95,3.9836
214,History,61,2.7458
215,History,98,2.6340
216,English,100,2.6830
217,Science,84,2.3793
218,Math,92,3.5133
219,English,72,2.7620
220,English,100,2.2883
221,History,85,3.6175
222,History,92,3.0714
223,English,64,3.4538
224,Science,71,2.6521
225,English,95,2.6133
226,English,88,2.3091
227,English,70,3.3412
228,Science,94,3.5593
229,History,64,3.9204
230,English,93,2.8530
231,History,72,3.7601
232,English,92,2.5611
233,History,61,2.8930
234,Math,71,3.4620
235,Math,69,3.4028
236,Science,74,2.9184
237,Math,100,2.2183
238,Science,98,3.7649
239,Science,75,2.9119
240,English,85,2.5467
241,Science,72,3.5573
242,English,66,2.0746
243,Math,96,3.2046
244,Math,86,3.0324
245,History,88,2.8136
246,Math,99,2.6650
247,English,85,2.0235
248,Science,74,2.8445
249,History,97,3.6856
250,English,81,2.4368
251,English,72,3.0620
252,History,76,2.6323
253,Science,74,2.9546
254,Science,91,2.7999
255,Math,61,3.0270
256,English,95,3.3779
257,History,92,2.1767
258,History,82,2.9761
259,History,97,3.8467
260,English,92,3.9927
261,History,83,2.3824
262,History,79,2.3558
263,History,88,2.0403
264,Math,82,3.9910
265,English,65,3.8493
266,History,82,3.7015
267,History,80,3.7498
268,History,74,2.6317
269,English,69,3.0440
270,English,86,3.6252
271,English,83,2.5146
272,Science,60,3.0278
273,Science,90,2.2007
274,History,87,3.0163
275,English,73,3.3747
276,Science,99,2.5603
277,Science,92,2.3329
278,English,78,3.7702
279,English,74,3.1294
280,Science,98,3.3986
281,Math,81,2.9703
282,History,82,2.2309
283,Math,80,2.1103
284,Math,92,3.7173
285,Science,71,3.0687
286,History,89,3.7353
287,Science,78,3.7826
288,History,84,3.4367
289,English,82,3.1705
290,Science,76,2.1374
291,English,72,3.3068
292,Math,79,2.4740
293,Science,98,2.8433
294,History,74,2.4759
295,History,69,2.0062
296,Math,68,2.5295
297,Math,86,2.3077
298,Math,74,2.5177
299,History,96,2.5684
300,Science,77,3.2340
301,Science,74,3.1566
302,History,75,2.2330
303,English,60,3.0006
304,English,65,2.0681
305,Science,86,2.5671
306,English,64,3.5508
307,Math,69,2.4785
308,English,95,2.4898
309,Math,62,2.9588
310,English,79,3.3626
311,English,96,2.7697
312,Math,86,3.4549
313,Science,87,3.2570
314,History,87,3.6754
315,English,95,3.6478
316,English,96,2.3339
317,Science,71,2.8203
318,English,62,3.8009
319,Science,65,3.8318
320,Math,99,2.4731
321,English,75,3.4300
322,History,88,2.7308
323,Math,86,2.9524
324,History,85,2.1216
325,Math,70,3.1779
326,History,74,3.3158
327,Math,75,3.2612
328,Science,100,3.6079
329,Science,66,3.2321
330,English,77,3.5413
331,History,95,2.4138
332,History,64,2.3300
333,Math,91,3.6980
334,English,100,3.5893
335,History,78,2.0520
336,History,71,2.5156
337,Science,65,2.3877
338,Math,99,3.4866
339,History,64,2.1114
340,Math,96,2.3682
341,Science,91,3.9533
342,English,61,2.1066
343,History,74,2.1690
344,Math,62,3.6550
345,English,82,2.8483
346,History,71,3.4064
347,English,75,2.1375
348,History,96,3.7778
349,English,62,3.2102
350,Math,75,3.1701
351,History,63,3.9348
352,Science,60,2.0407
353,Math,82,3.8257
354,Science,73,3.4836
355,English,62,2.9408
356,Science,97,2.1146
357,English,99,3.4123
358,History,72,2.6113
359,English,95,2.0268
360,Math,67,2.6603
361,Science,93,2.3836
362,Science,76,2.3850
363,History,90,2.9179
364,Science,64,2.3681
365,Science,76,2.7753
366,Science,80,3.5402
367,English,66,3.4668
368,History,67,2.1576
369,Math,76,2.3593
370,English,80,3.7995
371,History,100,3.7134
372,English,92,2.4022
373,English,77,3.4069
374,English,67,2.4963
375,English,76,3.9631
376,Math,62,3.0926
377,English,66,2.4425
378,English,86,3.0108
379,History,71,3.5610
380,Science,91,2.5110
381,Math,60,3.1475
382,Math,88,3.5788
383,Math,99,2.1629
384,Science,70,3.0198
385,English,85,2.7885
386,Math,69,2.3529
387,Math,66,3.0567
388,Math,80,2.4726
389,History,69,3.5577
390,Math,63,3.7992
391,Science,80,2.5480
392,Math,95,2.4477
393,English,85,2.3761
394,Science,75,3.5094
395,Math,77,2.2138
396,Science,84,3.8495
397,History,83,2.0398
398,Math,87,2.7787
399,Math,66,3.7679
400,History,86,2.9626
401,Math,74,2.4832
402,Math,62,3.1262
403,Math,91,2.8984
404,Math,94,2.4898
405,Math,69,3.3092
406,Math,95,3.4614
407,Science,72,2.4665
408,History,95,3.6281
409,English,84,3.5203
410,History,92,2.4647
411,Math,75,2.5375
412,History,100,3.8805
413,History,67,3.4531
414,Science,99,3.5924
415,Math,64,2.7609
416,History,78,2.3138
417,English,93,3.3569
418,History,76,3.2189
419,Math,70,3.3504
420,English,93,2.0813
421,Science,85,2.2982
422,Science,97,3.1197
423,History,63,2.5284
424,Math,99,3.0160
425,English,80,3.7451
426,History,74,2.7115
427,Math,62,2.8354
428,History,60,2.1708
429,English,76,3.5115
430,English,72,3.9284
431,History,97,2.6998
432,Math,60,2.0712
433,English,90,2.0130
434,History,98,2.5722
435,History,85,3.3016
436,Science,73,3.8947
437,History,87,2.3551
438,History,77,2.6466
439,Math,91,2.3754
440,Math,83,3.4922
441,History,62,3.8454
442,History,71,2.9030
443,Math,74,3.6532
444,History,71,3.1800
445,English,97,2.6077
446,Science,65,2.8974
447,English,61,3.7018
448,English,99,2.1860
449,Science,77,2.8204
450,Math,98,2.5334
451,Math,62,2.2297
452,Math,95,2.9971
453,Math,70,3.1592
454,History,77,3.2162
455,Science,92,2.1413
456,Math,96,2.6651
457,History,78,3.9122
458,History,91,2.0321
459,Math,84,3.3014
460,Math,92,3.3695
461,Science,90,2.5232
462,Math,66,2.6218
463,Math,74,3.6463
464,History,81,2.2048
465,History,99,3.6717
466,Math,94,2.2867
467,Math,83,3.7180
468,History,96,2.3815
469,Science,95,2.7231
470,History,99,3.8448
471,English,73,3.3862
472,Math,86,3.9884
473,English,62,3.9794
474,Science,94,3.3214
475,English,99,3.1688
476,Math,60,3.9301
477,Science,84,2.5616
478,History,70,3.1369
479,English,61,3.7619
480,Science,83,3.2227
481,History,89,2.4446
482,English,63,3.1588
483,Math,92,2.0664
484,History,77,3.5150
485,Science,68,3.5518
486,History,95,2.7223
487,Math,60,3.8869
488,English,85,2.3983
489,History,77,3.0253
490,Science,92,2.1149
491,Math,65,3.9797
492,Science,64,3.4312
493,Science,67,3.0998
494,Science,95,2.3928
495,English,67,3.6971
496,Science,71,3.1657
497,Math,83,3.7324
498,English,60,3.5219
499,History,76,3.6105
500,Math,60,2.2895
501,Math,60,3.5902
502,History,85,2.4964
503,Science,60,2.6174
504,Math,64,3.5957
505,Math,89,3.7176
506,Science,64,3.4113
507,Science,90,2.2454
508,Math,85,2.6247
509,English,63,3.2154
510,English,71,2.5916
511,Science,94,2.6811
512,Science,87,3.9883
513,History,76,3.7873
514,English,77,3.4285
515,History,69,2.6229
516,English,82,3.1998
517,Math,94,2.3380
518,Math,66,3.5804
519,English,84,2.0301
520,Science,81,3.0900
521,History,85,3.9319
522,History,66,3.0022
523,English,73,2.6063
524,History,95,3.1322
525,Science,87,3.3580
526,Math,64,2.6217
527,Science,80,2.0448
528,Science,95,3.7085
529,English,98,3.1731
530,History,88,2.7206
531,English,84,3.2738
532,Math,75,3.6843
533,English,96,2.4180
534,Science,89,2.9632
535,English,76,3.3250
536,Science,66,2.9459
537,Science,69,2.9903
538,Science,68,2.4046
539,Math,70,2.7640
540,History,85,2.1113
541,Math,99,2.5292
542,History,70,2.7303
543,History,82,3.9200
544,Science,60,3.8318
545,Math,60,3.6024
546,Math,89,2.0090
547,Science,99,3.2772
548,Math,95,3.8143
549,Math,71,3.3514
550,Math,72,3.3623
551,History,68,2.5759
552,History,67,2.5414
553,Math,96,3.7832
554,English,82,2.2775
555,Science,65,2.2355
556,Math,86,3.1746
557,History,69,3.3249
558,English,90,3.3923
559,English,91,3.3815
560,English,89,2.8230
561,Science,86,2.4202
562,Science,74,2.1718
563,English,99,2.0822
564,History,78,3.8027
565,Math,79,3.4797
566,English,92,3.7506
567,Math,64,3.0793
568,History,95,2.8076
569,English,88,2.3611
570,Science,82,3.2967
571,History,89,2.1335
572,History,100,2.5701
573,History,81,3.5170
574,English,99,3.6703
575,English,90,3.0748
576,Science,78,2.6349
577,History,94,2.7098
578,Math,62,3.3496
579,Math,91,2.6924
580,English,78,3.2118
581,Math,90,2.6692
582,Science,77,2.1029
583,English,69,3.4764
584,English,98,2.3898
585,English,91,3.9185
586,Math,67,2.3176
587,Science,85,3.2558
588,Science,81,2.1899
589,English,87,3.4969
590,English,85,3.3395
591,English,69,3.3201
592,History,67,2.7828
593,English,68,2.0563
594,Math,65,2.4661
595,Math,60,3.1072
596,Math,86,3.6423
597,English,78,3.5692
598,English,87,3.1517
599,Math,62,3.3536
600,Science,66,3.0717
601,History,100,3.3748
602,Math,79,2.5639
603,History,90,2.4089
604,Science,81,2.8830
605,Math,61,2.6280
606,History,76,2.4301
607,Math,69,3.9671
608,Science,67,3.6582
609,English,92,3.6511
610,Science,76,3.4507
611,Math,78,2.5596
612,Math,91,2.6376
613,History,99,3.3048
614,Math,99,3.3037
615,History,72,2.1222
616,Science,65,3.5740
617,History,96,3.9566
618,Science,72,2.3373
619,History,89,2.2199
620,History,71,2.3549
621,English,81,2.0423
622,History,62,3.6834
623,English,72,2.0141
624,History,89,2.8863
625,Math,72,3.8576
626,History,75,2.2451
627,History,71,2.6682
628,Science,100,3.0394
629,English,80,2.3377
630,English,73,3.8957
631,Math,79,3.2365
632,Science,65,3.6305
633,Science,79,3.9735
634,History,70,3.7171
635,Science,92,2.7231
636,Science,71,3.3919
637,History,97,3.0492
638,Math,94,3.7866
639,English,100,2.3095
640,History,67,3.0480
641,Math,64,3.6861
642,English,85,3.1773
643,Science,82,3.5430
644,Math,69,3.9683
645,Math,85,3.2309
646,History,85,3.8518
647,English,85,3.8675
648,Science,68,3.6057
649,History,72,2.8452
650,English,100,2.2401
651,English,63,2.0994
652,History,60,2.8372
653,Math,92,3.9936
654,Math,87,2.7587
655,Science,100,2.2817
656,English,75,2.1523
657,History,72,2.4079
658,Math,82,2.9206
659,English,80,2.5414
660,English,72,2.8980
661,History,94,3.0558
662,History,62,2.3334
663,Science,82,2.9700
664,Math,73,2.9885
665,English,76,3.5838
666,English,97,3.4854
667,English,87,3.5555
668,Science,84,3.2475
669,History,66,2.3040
670,Science,87,3.0776
671,Math,79,2.9591
672,Science,68,3.4973
673,Math,81,3.6705
674,History,65,2.9435
675,History,77,3.2118
676,Math,73,2.3264
677,Math,87,3.4367
678,Math,93,3.2543
679,Math,89,3.7325
680,Science,61,2.6237
681,Math,72,2.6198
682,History,60,2.7967
683,History,82,3.8754
684,Science,76,3.8901
685,Math,69,3.5785
686,Math,76,2.0221
687,English,84,2.4099
688,History,100,3.2009
689,History,90,2.3031
690,English,94,3.5119
691,Math,68,3.1636
692,Science,97,3.4751
693,Science,98,3.5368
694,Science,73,3.6293
695,History,63,3.6160
696,Science,62,2.5510
697,English,100,2.5507
698,History,70,2.8957
699,History,67,2.2444
700,English,93,2.6392
701,Math,61,3.4390
702,Science,69,2.5289
703,Math,83,2.8817
704,History,98,3.8479
705,History,63,3.6929
706,Math,62,2.7808
707,History,62,2.3795
708,Science,63,2.1074
709,History,60,3.8638
710,Math,70,2.7906
711,Science,78,3.9110
712,English,94,3.6783
713,English,62,3.3569
714,Science,64,2.6589
715,Science,89,3.2624
716,English,88,2.7034
717,English,93,3.9431
718,Science,82,3.4132
719,Science,89,2.4774
720,English,81,3.7544
721,Math,79,3.2252
722,History,76,2.3833
723,English,100,3.1335
724,English,71,3.5224
725,English,95,3.3359
726,English,95,3.1524
727,English,76,2.4389
728,English,74,2.4530
729,History,97,3.3653
730,History,81,2.3274
731,English,87,3.2156
732,English,98,3.6162
733,English,96,3.5508
734,English,78,2.5341
735,English,73,2.4320
736,Science,62,2.1470
737,Science,80,2.6820
738,Math,71,3.1598
739,English,61,2.3608
740,Math,92,3.7156
741,Science,72,2.1261
742,Math,81,3.9306
743,Science,70,3.0313
744,Math,62,3.3194
745,Math,70,3.9612
746,Math,64,2.0434
747,Math,74,2.8291
748,History,82,2.7030
749,English,82,3.0439
750,Science,98,3.1738
751,Math,87,2.0119
752,Math,94,2.6286
753,Science,98,3.2101
754,History,87,2.1357
755,Math,63,3.4327
756,History,83,2.7479
757,Science,72,2.3835
758,Science,72,2.9229
759,History,63,3.0105
760,History,76,3.1427
761,History,66,3.7627
762,English,69,2.7672
763,English,61,2.1836
764,Math,74,3.8818
765,Science,64,3.2877
766,English,67,3.4383
767,English,70,3.2765
768,Science,63,2.4414
769,English,85,3.0950
770,History,100,2.7625
771,Math,68,3.1723
772,English,80,3.1017
773,Science,79,3.7913
774,History,71,2.7445
775,English,97,3.5115
776,Math,65,2.7358
777,Math,75,2.2638
778,Science,67,3.3352
779,English,95,2.6838
780,Math,71,2.7506
781,Science,99,2.1988
782,Math,93,2.9988
783,History,60,3.5606
784,Math,72,3.8469
785,English,72,2.4035
786,History,96,3.1657
787,Science,82,3.3302
788,History,83,3.3047
789,English,94,2.4918
790,History,62,3.9535
791,English,79,3.8782
792,Science,97,2.1678
793,English,74,3.6395
794,English,64,3.9588
795,Science,88,2.6318
796,Science,86,2.4731
797,English,80,2.8739
798,Science,75,3.8844
799,Math,61,2.4900
800,English,76,3.1127
801,Math,68,3.4919
802,History,67,3.1906
803,Math,67,2.7351
804,History,70,3.1156
805,History,94,3.3497
806,English,76,3.6981
807,English,64,3.2833
808,Math,100,2.0024
809,Math,97,3.9499
810,Science,74,3.4100
811,English,88,3.9226
812,Science,64,2.7540
813,History,69,2.3304
814,Science,74,3.1179
815,History,81,3.8134
816,History,84,3.2261
817,History,88,3.1174
818,English,83,3.6232
819,Math,100,3.6272
820,Math,98,3.0127
821,English,74,2.2749
822,English,78,2.5451
823,History,65,2.3773
824,Math,96,3.6347
825,English,76,3.5229
826,History,80,2.7020
827,Science,87,2.3003
828,History,95,2.5860
829,Math,68,2.1493
830,Math,85,3.9129
831,Science,92,3.7151
832,English,95,2.0023
833,Math,71,2.2781
834,Science,70,2.6435
835,Science,94,2.2691
836,Math,78,3.7174
837,English,74,3.4588
838,Science,100,2.4765
839,Science,71,3.2978
840,English,71,2.3498
841,Math,75,2.6927
842,History,86,3.1312
843,Math,89,2.6685
844,Science,97,2.0003
845,History,85,2.9101
846,Math,76,2.1991
847,Science,85,2.2132
848,History,81,3.1769
849,Science,68,3.9132
850,English,96,3.0601
851,Science,94,2.2944
852,Math,77,2.6399
853,History,79,2.1519
854,History,82,3.5400
855,Math,74,2.8829
856,English,64,2.9427
857,Math,94,2.6708
858,Math,93,2.7429
859,English,60,2.6799
860,Math,99,3.7166
861,Math,89,2.9470
862,Math,97,2.0800
863,Science,83,2.9272
864,History,87,3.9557
865,Math,62,3.9410
866,Math,68,3.7280
867,Science,89,3.5434
868,English,82,3.1359
869,History,63,3.5016
870,Science,83,2.3653
871,Math,78,3.7946
872,Math,89,3.1953
873,History,60,3.0972
874,Science,88,3.7102
875,English,84,2.7287
876,English,94,2.7411
877,History,74,2.4303
878,Science,80,2.9073
879,English,64,2.3831
880,English,83,2.5656
881,Math,77,3.6309
882,Science,73,3.8606
883,Math,65,3.2281
884,English,77,3.3306
885,Science,87,2.3747
886,History,92,3.2569
887,English,79,3.2331
888,History,98,3.6452
889,English,92,3.0477
890,Science,88,3.9593
891,English,83,2.1413
892,Math,91,3.5303
893,History,79,3.6639
894,Science,72,3.0097
895,Math,66,3.6406
896,Math,76,2.6999
897,Science,87,3.9321
898,English,63,2.5141
899,Math,96,2.9531
900,History,92,3.7048
901,English,60,2.0928
902,English,80,3.8203
903,Science,88,2.9076
904,English,93,3.9354
905,Math,85,2.8316
906,Math,95,2.3403
907,History,88,2.5296
908,Math,78,3.2380
909,English,88,2.1117
910,Science,78,2.1523
911,Math,69,2.6907
912,History,88,2.1194
913,Math,98,3.1136
914,English,69,3.1538
915,English,63,3.6630
916,History,68,3.7528
917,English,65,3.6640
918,Science,71,2.2931
919,Science,78,2.6178
920,Science,97,2.6739
921,English,89,2.7776
922,Math,71,3.4261
923,Science,84,2.6397
924,Math,94,2.5249
925,History,75,2.6930
926,English,93,3.6709
927,Science,82,3.9320
928,English,60,3.5244
929,History,88,3.2092
930,English,90,2.6199
931,English,77,3.7439
932,Math,73,2.8783
933,Math,60,2.6528
934,Math,75,3.3163
935,English,66,3.1691
936,Math,72,3.2973
937,Science,75,2.4610
938,Science,70,3.8980
939,Math,79,2.6321
940,Math,89,2.7048
941,History,98,2.5761
942,History,100,2.9627
943,Math,71,3.4801
944,Math,93,2.3272
945,Science,88,2.9939
946,Science,66,3.1416
947,History,74,3.1350
948,History,62,2.2116
949,Math,65,2.0921
950,History,72,2.3385
951,History,80,2.4305
952,Science,86,2.4200
953,History,71,3.0345
954,Math,73,3.0229
955,English,97,2.7045
956,Science,84,3.4312
957,Science,77,3.0696
958,English,84,2.6012
959,English,65,3.2125
960,English,61,2.3905
961,English,78,3.7098
962,History,85,2.0208
963,History,95,2.2388
964,History,72,2.9639
965,Math,83,2.4253
966,Math,92,3.9264
967,Science,93,2.1322
968,Math,64,3.9062
969,History,82,3.2883
970,English,80,3.0982
971,Science,81,2.7961
972,English,98,3.2528
973,Science,95,3.9707
974,Science,78,2.9910
975,History,99,3.4037
976,English,91,2.4823
977,Science,91,3.6256
978,Math,80,3.2044
979,Math,61,2.0636
980,Science,96,2.7197
981,History,78,3.0127
982,History,84,2.8591
983,Math,83,2.0786
984,Math,96,2.6799
985,History,87,2.0871
986,Math,77,2.5662
987,English,77,3.8226
988,History,80,3.2976
989,History,62,3.1640
990,History,75,2.6071
991,Science,73,2.5909
992,History,80,3.0411
993,English,97,2.2249
994,Science,94,2.1494
995,History,86,3.1895
996,English,65,2.1260
997,Science,65,3.7504
998,English,83,2.1295
999,Math,92,3.2625
