No	Start time	End time	Duration
452	14	4	14
453	12	4	16
454	15	4	13
455	12	12	24
456	16	9	17
457	21	1	4
458	18	1	7
459	20	7	11
460	12	5	17
461	14	1	11
462	21	6	9
463	12	11	23
464	18	4	10
465	21	12	15
466	18	7	13
467	20	2	6
468	20	4	8
469	17	8	15
470	19	11	16
471	18	4	10
472	23	10	11
473	16	12	20
474	13	1	12
475	15	12	21
476	20	4	8
477	12	3	15
478	13	5	16
479	19	6	11
480	20	11	15
481	12	5	17
482	21	3	6
483	13	11	22
484	22	12	14
485	16	1	9
486	18	3	9
487	12	12	24
488	18	9	15
489	22	2	4
490	17	6	13
491	17	8	15
492	19	9	14
493	16	3	11
494	22	3	5
495	13	7	18
496	13	12	23
497	19	11	16
498	12	2	14
499	20	4	8
500	21	6	9
501	13	2	13
502	12	5	17
503	12	9	21
504	17	7	14
505	22	1	3
506	18	2	8
507	20	5	9
508	19	3	8
509	18	3	9
510	17	2	9
511	19	1	6
512	17	5	12
513	12	11	23
514	15	1	10
515	18	7	13
516	22	2	4
517	16	1	9
518	21	1	4
