No,Faculty#1,Faculty#2,Faculty#3,Faculty#4,Faculty#5,Faculty#6
107,5,2,12,12,10,16
108,17,19,19,10,1,20
109,19,12,6,20,5,9
110,20,20,13,9,2,1
111,18,1,15,5,15,1
112,15,4,16,17,4,10
113,18,19,20,8,6,2
114,8,11,9,2,9,8
115,12,5,19,17,15,5
116,2,12,12,18,7,14
117,2,7,16,14,10,12
118,2,17,12,13,10,12
119,12,8,2,2,1,7
120,19,9,20,10,8,11
121,3,13,17,19,19,1
122,19,19,4,13,20,16
123,13,1,11,18,20,10
124,12,4,3,10,5,8
125,18,15,12,20,15,13
126,5,2,8,8,5,20
127,18,19,20,16,1,6
128,5,13,16,3,10,15
129,14,9,4,8,8,8
130,14,12,4,13,8,7
131,2,20,11,19,18,6
132,11,11,14,19,11,17
133,7,5,7,15,8,16
134,13,13,16,18,6,3
135,5,15,2,14,15,17
136,9,19,11,10,2,14
137,17,4,13,16,2,1
138,8,9,6,18,19,9
139,11,13,12,13,9,13
140,5,16,12,16,13,13
141,16,5,16,4,9,3
142,15,9,5,4,14,16
143,11,7,19,3,13,3
144,1,16,19,1,9,8
145,5,6,12,12,11,15
146,5,12,4,2,1,10
147,9,14,4,14,8,18
148,19,2,17,7,13,16
149,8,11,1,7,1,15
150,9,9,12,18,17,7
151,4,15,13,5,19,6
152,8,7,5,20,9,14
153,17,20,12,17,4,20
154,3,8,7,4,17,1
155,6,3,9,10,19,19
156,8,15,18,3,19,5
157,16,15,2,12,14,17
158,2,16,8,4,7,6
159,15,9,10,2,17,14
160,20,19,1,8,11,6
161,11,2,20,11,17,2
162,6,5,12,3,5,9
163,4,13,19,6,9,6
164,20,5,3,19,10,12
165,19,11,1,20,2,4
166,13,19,13,15,6,3
167,7,20,18,3,19,17
168,9,12,6,3,6,13
169,12,7,15,11,13,19
170,9,20,8,10,11,5
171,19,3,12,9,3,17
172,1,4,10,2,17,7
173,17,9,20,6,10,15
174,3,1,19,17,7,9
175,20,9,3,16,1,5
176,20,16,5,16,14,10
177,16,15,19,5,20,6
178,19,5,10,8,15,6
179,5,2,12,14,1,6
180,3,3,18,20,2,13
181,17,2,13,13,2,19
182,20,17,13,8,8,16
183,13,17,7,16,2,6
184,18,7,4,2,12,14
185,17,1,5,3,20,14
186,8,15,8,20,5,5
187,12,9,19,6,11,12
188,16,10,3,6,4,13
189,7,13,20,1,16,3
190,20,2,7,13,20,12
191,4,1,3,7,5,7
192,8,19,16,14,13,3
193,19,15,17,17,15,1
194,8,17,17,7,17,1
195,6,5,15,6,4,12
196,2,16,4,13,2,18
197,5,3,17,2,5,3
198,10,15,20,7,17,12
199,7,13,7,16,12,1
200,8,2,2,10,6,20
201,9,2,3,15,15,12
202,18,15,13,5,15,15
203,19,14,5,17,12,12
204,7,11,10,19,14,2
205,5,15,14,12,5,1
206,14,7,4,10,16,7
207,16,14,3,4,19,15
208,16,4,12,13,19,8
209,15,14,11,2,2,9
210,3,3,10,10,5,16
211,1,11,16,8,1,20
212,18,17,11,12,12,14
213,4,13,9,8,13,15
214,5,12,11,17,4,12
215,6,4,2,2,8,9
216,4,6,2,10,8,19
217,7,8,1,12,5,13
218,4,5,11,17,1,18
219,4,19,18,14,8,17
220,3,20,13,12,5,1
221,18,13,15,18,15,13
222,20,14,20,9,15,17
223,13,8,14,1,9,5
224,16,8,1,17,17,14
225,16,20,3,12,14,3
226,3,17,13,1,20,13
227,16,14,19,18,2,3
228,16,14,4,8,12,1
229,10,2,2,14,3,1
230,11,5,9,17,12,12
231,19,14,14,13,1,16
232,4,10,6,18,14,12
233,6,1,4,18,18,11
234,11,15,16,9,8,12
235,20,20,9,5,15,14
236,2,19,17,15,9,16
237,9,15,9,18,2,17
238,10,3,8,11,12,15
239,2,2,17,4,2,19
240,18,5,7,8,3,5
241,6,4,20,19,19,15
242,5,11,10,1,5,9
243,18,16,9,1,11,18
244,10,14,9,15,14,19
245,9,17,13,1,1,15
246,2,13,9,14,17,1
247,1,6,11,5,5,4
248,14,12,3,15,9,19
249,14,4,20,10,20,3
250,13,17,17,13,16,4
251,2,7,9,3,6,19
252,3,19,20,15,5,13
253,6,7,17,14,15,2
254,4,19,9,14,5,2
255,19,8,18,7,8,11
256,11,18,15,6,6,11
257,11,15,18,4,14,8
258,14,8,13,9,12,4
259,16,17,16,6,11,11
260,12,6,14,18,5,5
261,8,14,9,20,19,13
262,12,3,14,19,11,7
263,17,17,5,3,16,8
264,1,15,18,11,4,18
265,1,8,15,9,3,10
266,15,15,18,18,17,11
267,7,3,16,20,13,14
268,2,10,7,9,14,16
269,2,2,19,1,5,1
270,1,9,11,14,6,19
271,13,12,16,6,7,10
272,3,3,14,15,5,2
273,8,14,7,4,13,17
274,4,20,11,18,5,7
275,19,14,10,11,13,4
276,3,20,1,19,20,6
277,10,20,14,18,12,16
278,20,7,3,11,4,19
279,18,13,4,19,9,20
280,16,12,19,5,16,14
281,6,3,8,6,17,20
282,15,17,9,20,7,16
283,20,2,17,19,9,5
284,6,7,1,10,13,15
285,19,19,5,2,13,4
286,13,12,3,10,8,13
287,16,5,2,20,4,1
288,13,13,10,4,13,3
289,4,2,11,13,15,16
290,16,19,9,2,15,3
291,5,13,12,15,4,13
292,8,1,5,18,6,8
293,14,4,16,13,16,18
294,13,2,4,12,3,17
295,7,16,4,17,2,8
296,19,8,17,3,20,18
297,20,4,11,15,4,15
298,12,13,5,1,16,11
299,6,20,10,13,6,20
300,11,10,16,12,11,13
301,16,4,4,14,16,10
302,17,8,3,3,13,10
303,17,6,9,8,16,19
304,13,12,4,8,17,1
305,4,20,7,6,18,4
306,8,16,17,16,8,20
307,16,9,4,10,1,9
308,4,5,6,15,15,12
309,3,20,9,10,2,7
310,18,14,19,20,14,20
311,14,2,3,1,14,17
312,15,8,15,14,4,11
313,5,12,17,6,20,14
314,19,20,3,7,14,8
315,20,19,17,20,18,1
316,9,13,1,4,18,10
317,4,20,11,7,1,19
318,1,19,10,1,7,13
319,20,13,17,18,18,8
320,6,8,9,20,18,14
321,12,15,3,14,12,5
322,19,14,1,2,12,11
323,6,18,20,9,10,1
324,7,20,4,7,6,8
325,12,13,8,20,19,19
326,20,1,1,3,10,6
327,11,17,4,9,4,13
328,5,10,7,12,20,4
329,14,17,16,14,18,11
330,3,13,12,5,8,18
331,5,19,20,1,20,5
332,2,13,20,8,3,4
333,12,19,10,3,6,16
334,9,3,7,13,15,2
335,4,16,9,14,14,19
336,12,1,8,3,7,2
337,19,1,17,9,6,8
338,13,10,7,7,12,9
339,2,16,7,11,11,3
340,9,9,6,6,8,7
341,20,12,4,15,14,2
342,20,18,15,16,8,3
343,9,14,17,18,11,12
344,11,17,2,2,20,9
345,11,15,8,17,18,16
346,9,7,18,14,17,3
347,6,8,19,20,16,7
348,20,13,3,7,15,14
349,10,5,3,20,17,11
350,11,11,18,4,20,16
351,17,10,10,12,10,7
352,12,14,9,20,3,2
353,15,5,16,5,13,17
354,13,10,7,4,17,6
355,2,10,8,18,12,6
356,10,8,13,18,8,5
357,18,18,5,1,5,18
358,20,1,6,18,18,8
359,11,17,11,20,5,4
360,8,9,14,8,12,9
361,19,7,8,12,12,14
362,20,18,15,2,20,19
363,14,1,1,6,8,7
364,7,18,11,10,7,20
365,7,16,19,17,14,19
366,5,6,3,3,3,11
367,17,6,14,20,5,14
368,16,20,2,2,3,20
369,15,8,19,13,7,20
370,8,17,10,13,9,8
371,12,18,15,17,17,3
372,14,4,10,11,1,14
373,15,6,9,7,20,9
374,7,19,2,8,2,4
375,5,9,11,19,20,17
376,12,16,9,17,16,3
377,18,13,19,4,5,19
378,3,15,2,16,7,19
379,16,9,11,20,15,9
380,8,7,13,15,5,12
381,16,13,7,9,10,12
382,8,19,11,20,3,10
383,1,19,4,18,8,11
384,10,5,10,3,3,1
385,19,9,11,2,15,19
386,8,2,20,14,9,12
387,7,19,8,3,11,19
388,3,9,5,18,10,17
389,14,19,5,3,3,18
390,4,2,8,9,14,20
391,18,11,5,11,4,18
392,5,5,9,3,9,4
393,10,10,7,14,16,1
394,10,9,12,2,18,11
395,1,3,6,16,16,15
396,9,13,14,13,13,20
397,8,15,3,4,5,8
398,17,10,10,3,7,15
399,12,15,16,13,20,1
400,8,16,13,20,5,2
401,3,20,7,15,10,4
402,7,6,20,2,15,17
403,11,5,10,3,4,1
404,10,11,6,17,16,5
405,11,5,3,13,4,7
406,6,13,17,12,3,17
407,16,3,16,7,20,1
408,2,12,17,5,12,16
409,14,9,12,1,18,5
410,10,20,8,20,10,14
411,1,11,10,2,6,2
412,17,10,20,2,19,15
413,5,19,16,10,8,18
414,1,12,20,12,2,2
415,13,9,18,3,12,5
416,10,14,19,19,19,18
417,19,2,20,2,11,19
418,20,20,11,16,17,4
419,6,17,5,13,9,6
420,7,1,5,18,6,7
421,2,13,20,3,4,10
422,13,15,15,9,19,7
423,20,12,14,5,3,16
424,9,11,3,14,4,11
425,12,19,4,1,1,2
426,12,1,4,13,13,10
427,6,16,16,1,8,14
428,14,19,10,4,10,18
429,10,5,18,4,4,14
430,11,19,15,14,18,11
431,9,16,3,3,12,20
432,9,5,17,18,18,15
433,4,20,12,6,10,16
434,5,15,19,12,6,11
435,10,2,10,14,19,20
436,7,14,5,18,4,6
437,11,1,8,2,18,9
438,19,2,18,9,14,19
439,19,12,12,11,18,18
440,19,7,3,13,12,20
441,18,5,18,19,5,16
442,9,6,10,16,13,13
443,14,7,16,14,5,11
444,20,20,7,18,19,20
445,20,9,6,14,7,3
446,1,7,3,19,8,3
447,16,8,16,19,18,15
448,19,9,17,1,18,12
449,17,14,16,6,1,10
450,11,16,15,10,20,14
451,8,13,7,14,1,1
452,17,11,5,9,18,19
453,14,3,13,3,13,14
454,8,13,19,5,16,14
455,20,18,10,7,18,20
456,5,11,13,10,15,17
457,5,18,2,14,20,8
458,15,9,1,11,2,5
459,10,10,10,20,19,16
460,5,11,9,4,17,14
461,6,7,2,19,12,4
462,19,7,17,10,7,2
463,1,7,7,6,17,4
464,2,20,15,4,14,3
465,18,3,15,7,12,15
466,5,2,4,15,3,8
467,5,10,1,12,17,12
468,7,1,13,3,8,11
469,9,16,7,2,10,18
470,15,5,15,13,19,3
471,2,13,15,8,6,13
472,9,8,6,7,18,3
473,5,4,5,8,16,18
474,14,4,16,5,1,4
475,7,1,9,20,3,18
476,12,2,9,7,11,18
477,19,4,9,4,19,6
478,9,16,11,9,14,13
479,6,8,18,6,1,5
480,4,20,17,9,17,11
481,9,9,8,7,4,8
482,19,12,4,6,15,3
483,6,6,3,11,4,13
484,18,7,12,12,13,3
485,20,5,20,19,14,6
486,20,1,8,6,15,15
487,20,17,4,8,14,16
488,1,15,12,7,10,19
489,18,16,2,9,7,3
490,3,10,12,17,1,6
491,13,19,3,14,12,7
492,5,9,12,15,14,3
493,12,11,5,15,15,18
494,5,12,5,14,4,5
495,1,6,12,11,8,17
496,2,10,10,9,3,16
497,4,7,10,1,16,20
498,13,10,11,16,5,13
499,8,8,12,11,1,5
500,20,7,17,13,6,15
