Year,State,Income($),Percent_Total,Num_Households
174,California,71649.33,23.12%,813795
175,California,8975.91,93.27%,800422
176,California,73474.01,89.33%,561957
177,California,75906.90,42.10%,137661
178,California,58565.07,85.07%,228277
179,California,76743.91,23.63%,204423
180,California,102491.52,65.01%,787583
181,California,8715.63,7.75%,298954
182,California,84852.63,42.09%,360733
183,California,5402.66,75.38%,582952
184,California,111149.95,11.50%,421771
185,California,33570.66,49.78%,92793
186,California,87726.78,93.99%,247433
187,California,77727.98,28.37%,601121
188,California,46235.08,16.37%,768420
189,California,9695.04,24.88%,952755
190,California,24823.62,47.75%,714126
191,California,56477.02,85.21%,504429
192,California,58601.20,25.63%,397949
193,California,113331.49,34.86%,577211
194,California,65649.99,19.67%,491613
195,California,5377.83,95.40%,371759
196,California,65632.27,47.78%,665028
197,California,26008.92,71.68%,928858
198,California,74501.41,47.72%,573966
199,California,80626.70,51.90%,13164
200,California,76070.60,58.65%,482077
201,California,103990.02,68.91%,85647
202,California,26987.32,63.96%,836698
203,California,57428.34,3.58%,265817
204,California,119121.89,61.53%,307567
205,California,9471.01,61.98%,568451
206,California,79562.00,29.98%,83458
207,California,111813.48,31.69%,127467
208,California,108741.69,34.20%,705806
209,California,29768.97,59.06%,300977
210,California,118195.74,15.15%,756628
211,California,107757.63,37.35%,916391
212,California,763.67,61.33%,696201
213,California,29539.14,0.48%,729668
214,California,92436.59,90.33%,462212
215,California,63555.85,88.46%,460264
216,California,59527.60,75.44%,381713
217,California,121571.69,29.49%,704502
218,California,26483.38,21.27%,348978
219,California,16599.83,69.71%,477625
220,California,10364.59,52.69%,180867
221,California,6285.26,54.86%,704904
222,California,19332.17,80.10%,92233
223,California,100899.90,86.40%,54215
224,California,98692.00,47.07%,686702
225,California,45936.65,6.81%,943456
226,California,1017.02,59.48%,197494
227,California,96891.80,13.54%,736044
228,California,98221.52,77.22%,583732
229,California,30704.17,89.03%,203751
230,California,58900.53,75.01%,113900
231,California,99038.54,77.51%,283896
232,California,69830.62,71.09%,187614
233,California,32753.68,51.04%,316257
234,California,98947.79,6.81%,291651
235,California,60851.42,11.24%,948346
236,California,105712.07,70.11%,532777
237,California,21044.59,43.78%,802150
238,California,55329.16,21.71%,10012
239,California,65998.96,94.32%,781749
240,California,103936.11,91.46%,180718
241,California,88503.56,28.51%,889141
242,California,40930.97,81.72%,822568
243,California,48385.63,65.20%,463148
244,California,109752.01,40.82%,658622
245,California,112661.09,64.96%,701084
246,California,116053.83,14.89%,600180
247,California,104338.58,20.28%,909602
248,California,5500.76,5.26%,252065
249,California,13286.21,39.06%,830957
250,California,25208.69,39.44%,15795
251,California,112262.30,74.03%,276116
252,California,93415.25,62.57%,27952
253,California,45023.80,71.79%,732892
254,California,31652.46,13.33%,364216
255,California,117338.87,89.75%,519223
256,California,82712.52,58.82%,388460
257,California,214.58,63.28%,160180
258,California,117563.79,39.05%,737765
259,California,78236.76,60.17%,560129
260,California,57892.30,2.99%,705062
261,California,116014.83,85.87%,916800
262,California,24005.83,5.31%,250475
263,California,97343.63,73.75%,877146
264,California,41517.19,13.80%,848909
265,California,35414.88,28.03%,453504
266,California,32454.67,76.73%,604055
267,California,80618.57,63.57%,166287
268,California,11655.34,43.15%,179854
269,California,46850.86,98.39%,953198
270,California,67341.79,44.18%,87179
271,California,672.06,20.42%,884959
272,California,61468.66,63.40%,842023
273,California,24899.27,78.87%,757023
274,California,781.22,43.99%,425200
275,California,59502.48,74.25%,765607
276,California,62260.01,84.38%,423103
277,California,16531.88,52.84%,699565
278,California,11489.47,15.31%,581063
279,California,50651.57,74.57%,502112
280,California,92053.04,98.91%,114888
281,California,52988.20,20.13%,815977
282,California,9828.39,89.16%,248959
283,California,22601.58,10.88%,604095
284,California,40628.17,62.48%,210900
285,California,67906.89,7.57%,56050
286,California,81617.97,77.98%,590405
287,California,71067.80,13.67%,745446
288,California,10531.27,93.17%,625547
289,California,56952.83,83.04%,569085
290,California,1981.11,35.17%,590855
291,California,79717.73,37.49%,169738
292,California,121877.50,55.04%,576502
293,California,2400.90,30.38%,568938
294,California,87277.91,65.35%,683080
295,California,43023.51,89.19%,938392
296,California,89877.99,19.60%,946707
297,California,24904.40,27.99%,299542
298,California,60332.59,2.74%,264929
299,California,10084.65,9.64%,965837
300,California,30789.98,3.81%,965173
301,California,81292.49,64.17%,374634
302,California,20231.38,2.19%,162047
303,California,121583.31,72.73%,360417
304,California,9467.37,51.59%,438464
305,California,49516.41,15.94%,206593
306,California,108318.71,50.07%,94539
307,California,95386.56,42.43%,558423
308,California,80583.35,18.14%,96546
309,California,41894.95,91.00%,800537
310,California,14165.75,14.21%,796323
311,California,104995.41,64.37%,28462
312,California,70374.62,55.90%,778180
313,California,78008.61,23.64%,193966
314,California,112298.81,68.41%,858824
315,California,29280.13,50.62%,853650
316,California,97866.65,6.08%,199404
317,California,72501.37,49.29%,187340
318,California,51656.08,2.32%,975647
319,California,85868.64,63.71%,373166
320,California,55962.64,99.35%,449236
321,California,47499.89,86.70%,697630
322,California,87375.19,92.78%,512767
323,California,96660.19,7.95%,535990
324,California,99364.32,37.09%,319237
325,California,53620.40,25.50%,179244
326,California,106856.83,88.46%,433429
327,California,97792.52,82.03%,697139
328,California,60935.66,19.47%,978687
329,California,109696.59,20.79%,537327
330,California,36721.60,59.44%,749855
331,California,17541.86,73.94%,38976
332,California,5597.69,88.95%,910862
333,California,7245.72,0.24%,545996
334,California,10090.60,81.13%,976339
335,California,51114.50,41.75%,257029
336,California,22762.78,47.83%,301237
337,California,119139.06,2.42%,199617
338,California,58617.22,93.17%,574197
339,California,44004.65,36.46%,462068
340,California,830.82,41.96%,795848
341,California,19292.38,28.81%,780804
342,California,117131.08,90.70%,831648
343,California,79370.26,70.44%,581091
344,California,6750.27,9.45%,565188
345,California,98563.04,90.02%,352422
346,California,16107.12,97.62%,808055
347,California,36378.29,13.98%,731361
348,California,23520.33,91.31%,627544
349,California,104286.80,0.55%,824222
350,California,18986.50,48.52%,322462
351,California,79573.87,25.01%,421568
352,California,10387.25,90.39%,831314
353,California,20947.35,56.94%,882405
354,California,2598.04,42.33%,464493
355,California,122334.27,26.69%,675863
356,California,105701.20,42.90%,240833
357,California,12633.50,69.86%,325177
358,California,101679.08,53.66%,994847
359,California,29043.13,71.76%,753831
360,California,80805.09,62.35%,451390
361,California,106877.86,48.23%,506736
362,California,16055.59,70.12%,722617
363,California,71901.02,22.52%,621830
364,California,6071.57,75.49%,777943
365,California,98239.61,33.51%,434004
366,California,25358.00,95.04%,670331
367,California,90768.25,53.80%,856861
368,California,14398.94,52.13%,53721
369,California,115217.57,64.15%,362516
370,California,121815.52,70.89%,145519
371,California,62402.72,76.53%,851480
372,California,48794.23,10.27%,297964
373,California,28734.53,10.81%,562004
374,California,88781.36,87.04%,21940
375,California,91034.65,94.82%,514497
376,California,107109.48,49.31%,405157
377,California,19033.88,46.10%,755528
378,California,48965.01,89.41%,182877
379,California,28778.02,59.49%,332730
380,California,2556.02,14.86%,966115
381,California,20711.12,47.26%,182537
382,California,111878.91,69.09%,453114
383,California,74947.90,84.55%,81613
384,California,117697.91,60.37%,675999
385,California,119914.43,85.57%,603570
386,California,54695.49,47.06%,349705
387,California,119777.19,23.94%,8380
388,California,21779.01,33.64%,320747
389,California,35564.26,0.51%,994716
390,California,80601.44,5.46%,46011
391,California,81722.61,5.51%,40919
392,California,110434.62,11.71%,137461
393,California,82751.46,66.76%,305472
394,California,21707.60,56.93%,327341
395,California,76449.11,51.42%,680365
396,California,97560.90,27.26%,800607
397,California,38687.30,42.38%,861938
398,California,63177.50,77.29%,112096
399,California,21557.15,33.11%,119952
400,California,119745.57,38.42%,693437
401,California,12943.86,41.96%,561690
402,California,40892.00,69.53%,790741
403,California,52164.35,56.16%,401920
404,California,19057.07,10.44%,588552
405,California,43034.57,26.90%,824897
406,California,103445.16,96.70%,924801
407,California,62332.02,53.83%,757886
408,California,57786.88,44.10%,81751
409,California,76464.43,57.67%,12214
410,California,82620.40,43.19%,234461
411,California,57223.36,62.11%,272080
412,California,114680.81,30.09%,488968
413,California,88174.26,82.36%,390117
414,California,68952.68,91.02%,542419
415,California,102348.88,15.99%,48482
416,California,36849.20,50.90%,320196
417,California,50481.33,49.61%,380906
418,California,45874.46,7.12%,571183
419,California,19694.33,36.84%,434455
420,California,105920.31,82.60%,335051
421,California,93500.64,3.86%,552373
422,California,9556.82,97.59%,482777
423,California,24224.95,54.58%,737140
424,California,59231.61,88.72%,9921
425,California,65222.77,86.84%,143659
426,California,61358.10,31.90%,69698
427,California,104799.78,69.44%,92787
428,California,66578.78,79.41%,253483
429,California,123524.65,44.64%,751422
430,California,116374.66,2.72%,163491
431,California,21756.69,84.77%,344800
432,California,50024.56,54.70%,117797
433,California,86830.97,21.73%,44469
434,California,102798.15,88.13%,134724
435,California,80986.62,16.89%,886251
436,California,46900.54,40.75%,298687
437,California,30457.43,91.17%,257927
438,California,95166.36,52.98%,857970
439,California,39246.63,48.14%,294721
440,California,87905.52,13.93%,243482
441,California,17172.29,55.27%,513790
442,California,45916.51,6.89%,248974
443,California,112346.29,30.48%,543165
444,California,89274.85,23.04%,213590
445,California,115257.63,64.55%,625145
446,California,43045.90,35.29%,927654
447,California,12453.16,15.17%,331676
448,California,115347.52,91.27%,249611
449,California,109858.28,86.30%,452621
450,California,60456.86,98.28%,721980
451,California,64084.77,99.99%,923675
452,California,16481.21,97.03%,751293
453,California,94650.90,95.42%,442992
454,California,28671.44,80.33%,568069
455,California,9032.34,87.30%,567401
456,California,10394.22,74.16%,353781
457,California,26366.53,62.55%,965891
458,California,57084.34,2.21%,145031
459,California,111673.60,62.40%,891588
460,California,101481.59,82.68%,398260
461,California,18269.24,91.42%,939551
462,California,22543.68,87.60%,825259
463,California,82797.93,52.91%,142051
464,California,100828.74,67.31%,319724
465,California,45277.47,6.59%,955931
466,California,914.56,39.36%,556708
467,California,53089.52,45.90%,394719
468,California,110070.54,77.59%,204626
469,California,15479.11,91.85%,588875
470,California,33162.15,5.79%,918255
471,California,3731.62,76.92%,838762
472,California,232.00,33.50%,471570
473,California,65114.70,67.53%,261748
474,California,10342.69,4.31%,283043
475,California,116755.65,57.76%,551550
476,California,50730.65,45.71%,651525
477,California,101776.25,82.17%,479203
478,California,20395.96,85.22%,71920
479,California,67609.03,35.69%,400654
480,California,90497.07,59.48%,227571
481,California,32769.60,5.70%,616321
482,California,76409.66,24.18%,389988
483,California,112871.42,82.22%,426042
484,California,41650.03,61.10%,683041
485,California,65225.57,47.97%,772478
486,California,35838.98,98.55%,217017
487,California,95.85,8.55%,126958
488,California,122684.06,48.90%,60758
489,California,113152.71,16.12%,720137
490,California,57332.10,30.64%,187543
491,California,87441.42,26.69%,145759
492,California,30990.16,10.28%,871355
493,California,4098.44,12.72%,576450
494,California,108393.90,48.06%,970282
495,California,80397.92,40.37%,925605
496,California,66999.76,21.04%,566209
497,California,94901.79,13.48%,828217
498,California,119650.90,7.28%,486625
499,California,32254.20,69.76%,62036
500,California,28952.17,96.46%,112129
501,California,38497.39,15.89%,889804
502,California,123518.60,12.14%,607614
503,California,82208.19,44.49%,874768
504,California,5632.81,3.53%,249881
505,California,30065.32,21.95%,316366
506,California,47780.44,74.49%,528480
507,California,1042.51,48.45%,570705
508,California,85630.07,67.76%,883805
509,California,24995.65,72.89%,134539
510,California,42231.58,11.91%,360825
511,California,99242.14,60.71%,301195
512,California,61180.66,90.67%,704029
513,California,7189.19,17.61%,523799
514,California,39377.34,65.66%,850739
515,California,31797.10,38.31%,670115
516,California,91554.55,48.31%,499739
517,California,120367.33,59.51%,928649
518,California,32586.31,43.81%,257276
519,California,18041.51,3.96%,488911
520,California,100322.98,74.01%,57752
521,California,29223.98,47.13%,443056
522,California,114923.63,88.14%,974124
523,California,38842.44,30.22%,454679
524,California,51230.91,22.05%,119930
525,California,23275.31,61.57%,271812
526,California,78809.50,30.94%,716087
527,California,1480.09,76.04%,245919
528,California,77000.72,15.82%,742380
529,California,16879.29,20.05%,257425
530,California,23805.59,29.42%,388443
531,California,11593.10,13.51%,648879
532,California,80756.88,58.30%,753598
533,California,100292.35,47.59%,668973
534,California,39477.49,34.95%,505739
535,California,17827.78,54.62%,341418
536,California,109161.81,1.43%,874615
537,California,95771.10,52.82%,564220
538,California,18207.56,35.36%,874500
539,California,13067.49,89.67%,713262
540,California,34270.35,33.67%,208570
541,California,79768.19,79.01%,40123
542,California,39402.30,67.79%,523207
543,California,32759.23,62.04%,35412
544,California,5697.70,84.72%,976383
545,California,55769.19,72.26%,901285
546,California,27177.38,34.28%,401259
547,California,26696.40,14.71%,633058
548,California,109103.75,84.54%,346800
549,California,116819.02,81.47%,14694
550,California,25840.09,58.22%,941115
551,California,75083.64,93.37%,334690
552,California,77003.01,7.68%,894053
553,California,58910.69,45.75%,532642
554,California,76180.77,0.78%,554300
555,California,31007.23,6.61%,214163
556,California,33348.74,50.92%,146159
557,California,119303.57,83.82%,927632
558,California,70409.37,30.26%,696219
559,California,42248.02,11.96%,429040
560,California,75600.66,97.53%,920133
561,California,120348.84,84.32%,301248
562,California,72859.96,59.34%,88477
563,California,46382.75,8.49%,366704
564,California,112600.02,51.45%,848896
565,California,114553.05,89.66%,470220
566,California,45732.08,68.68%,505866
567,California,85852.70,5.23%,593232
568,California,108541.35,30.53%,158118
569,California,111792.61,31.83%,972042
570,California,9073.05,43.99%,333753
571,California,83646.43,51.76%,275730
572,California,119154.25,35.41%,469411
573,California,100917.29,93.91%,736798
574,California,19347.70,22.16%,502302
575,California,64178.42,58.70%,88155
576,California,105666.33,75.85%,528344
577,California,1583.12,42.72%,747452
578,California,44472.04,68.34%,95217
579,California,104962.65,9.32%,782570
580,California,45911.96,98.57%,851974
581,California,122197.76,38.98%,497136
582,California,12706.82,45.25%,605513
583,California,99522.99,88.51%,272807
584,California,6242.00,19.17%,698333
585,California,115042.84,95.65%,360766
586,California,104811.77,11.09%,810228
587,California,12592.29,48.45%,303263
588,California,106828.01,95.74%,904488
589,California,34363.01,92.82%,814455
590,California,83544.81,65.18%,93473
591,California,112860.43,57.87%,390243
592,California,76465.93,85.47%,682461
593,California,105719.60,87.45%,609471
594,California,68822.75,33.91%,735634
595,California,100340.54,48.79%,805155
596,California,122861.11,56.53%,907728
597,California,45957.86,86.34%,151886
598,California,34576.25,97.26%,110235
599,California,22953.92,42.61%,464327
600,California,31678.35,61.64%,256943
601,California,80545.24,19.59%,564220
602,California,14107.83,10.70%,769449
603,California,92404.69,52.78%,193869
604,California,98244.55,49.00%,441170
605,California,72561.31,6.82%,354953
606,California,111616.27,90.71%,764441
607,California,106171.08,97.95%,148611
608,California,1552.06,44.93%,109316
609,California,51325.09,54.85%,493822
610,California,1831.49,25.40%,311620
611,California,92796.24,14.19%,421481
612,California,72117.38,9.84%,636190
613,California,113763.49,48.50%,682944
614,California,85671.83,41.73%,538504
615,California,49801.07,27.04%,281227
616,California,1334.69,12.23%,495198
617,California,43735.57,25.69%,370156
618,California,90591.03,11.57%,387658
619,California,59865.40,79.49%,720607
620,California,86928.05,66.46%,570722
621,California,70695.11,99.68%,728181
622,California,45517.31,5.35%,982402
623,California,50739.61,21.99%,229844
624,California,35653.41,79.25%,586589
625,California,63370.96,21.17%,645179
626,California,78128.51,89.63%,432104
627,California,55770.91,83.31%,850492
628,California,71669.30,97.48%,711351
629,California,53104.97,59.63%,235088
630,California,79367.26,24.99%,800419
631,California,99832.10,69.39%,83211
632,California,97615.06,52.22%,413693
633,California,91973.66,40.65%,416316
634,California,88565.66,0.85%,69114
635,California,8338.09,81.11%,612940
636,California,45952.91,32.23%,163982
637,California,2161.26,15.71%,96396
638,California,84890.43,5.40%,156794
639,California,27245.47,74.28%,462978
640,California,85485.98,48.63%,988875
641,California,65157.88,14.37%,709906
642,California,93597.50,94.72%,636385
643,California,91823.35,30.87%,344793
644,California,29935.76,53.85%,162272
645,California,44799.54,51.36%,364776
646,California,36819.13,89.90%,251047
647,California,18714.85,50.81%,995622
648,California,2696.75,16.70%,432384
649,California,50697.12,80.61%,182856
650,California,50659.35,96.15%,278378
651,California,97962.78,49.28%,152342
652,California,87176.56,48.27%,590330
653,California,59800.65,25.20%,259985
654,California,88401.37,74.17%,461796
655,California,42361.14,7.84%,954793
656,California,81039.35,80.68%,632393
657,California,91874.60,89.86%,921144
658,California,91264.78,40.28%,868479
659,California,104821.31,69.82%,231496
660,California,3382.13,0.02%,237657
661,California,35984.26,15.09%,130615
662,California,79132.25,15.73%,726542
663,California,72612.54,46.03%,13287
664,California,52917.71,32.60%,540543
665,California,1156.41,66.19%,850131
666,California,1036.74,21.16%,68374
667,California,56082.25,10.60%,29311
668,California,92694.51,72.48%,135152
669,California,110008.16,99.05%,575678
670,California,122255.72,31.01%,903328
671,California,119949.72,67.96%,169318
672,California,76384.77,56.02%,815520
673,California,44472.29,13.24%,926815
674,California,85046.30,68.15%,274386
675,California,79084.48,7.02%,838641
676,California,49407.64,34.60%,973255
677,California,42866.73,58.67%,542160
678,California,33845.60,9.26%,96659
679,California,44721.28,77.94%,941124
680,California,63940.38,32.95%,604299
681,California,43506.05,22.28%,438360
682,California,60987.46,71.14%,91720
683,California,98520.96,61.00%,77702
684,California,32540.58,82.82%,260219
685,California,114044.83,62.34%,352571
686,California,45431.91,16.91%,968025
687,California,39310.00,51.67%,425428
688,California,74894.69,89.94%,976796
689,California,55663.62,41.30%,383720
690,California,60805.62,77.56%,313135
691,California,44879.03,58.79%,865074
692,California,3498.31,51.25%,945379
693,California,84789.27,51.11%,943597
694,California,23032.78,70.94%,330219
695,California,9740.26,11.26%,557063
696,California,54326.25,43.88%,42273
697,California,9426.57,67.56%,378506
698,California,26693.73,98.07%,881516
699,California,87476.78,70.89%,670656
700,California,47192.12,25.28%,971415
701,California,75364.78,25.28%,94229
702,California,70652.83,43.49%,147339
703,California,67623.32,39.55%,671609
704,California,63907.20,76.62%,395831
705,California,72376.56,30.45%,257028
706,California,44865.25,64.65%,775943
707,California,34944.57,86.17%,162100
708,California,2680.09,97.81%,233753
709,California,24112.84,78.65%,507881
710,California,97042.43,22.17%,838453
711,California,85039.28,79.48%,249670
712,California,92838.15,82.54%,522696
713,California,10397.33,43.57%,738694
714,California,40674.49,45.66%,998743
715,California,40717.42,1.53%,547968
716,California,54790.36,65.92%,634943
717,California,45540.27,32.14%,484788
718,California,68302.35,70.05%,795609
719,California,14346.65,75.33%,750465
720,California,95740.84,36.61%,227172
721,California,119295.79,68.49%,313526
722,California,77541.75,28.87%,175094
723,California,38692.19,81.38%,741414
724,California,27611.57,81.44%,455857
725,California,20809.36,71.38%,941332
726,California,32489.19,99.77%,114978
727,California,71794.72,8.36%,658929
728,California,3053.48,78.80%,268411
729,California,27449.41,8.49%,707979
730,California,76734.98,22.93%,589994
731,California,63025.21,60.82%,815934
732,California,101615.05,42.37%,700462
733,California,25574.55,39.71%,80271
734,California,8026.17,72.12%,61890
735,California,99779.93,55.42%,340228
736,California,97220.76,44.62%,895747
737,California,84561.07,26.78%,496895
738,California,2247.13,6.59%,405132
739,California,84142.72,11.40%,974100
740,California,53108.79,77.55%,91902
741,California,67045.44,11.78%,1526
742,California,104612.51,34.26%,8254
743,California,68577.59,30.53%,223504
744,California,21935.27,74.95%,940538
745,California,108598.88,30.68%,262742
746,California,868.72,37.70%,336264
747,California,36410.08,28.96%,33275
748,California,20653.05,59.69%,835046
749,California,109365.84,92.04%,385948
750,California,91416.67,99.72%,902761
751,California,115673.67,5.54%,649338
752,California,21772.39,21.90%,831521
753,California,84797.01,87.75%,822763
754,California,103627.06,47.93%,634336
755,California,88595.65,18.79%,634118
756,California,57990.72,82.38%,275464
757,California,10494.96,66.57%,101982
758,California,101319.19,99.79%,849349
759,California,32160.70,74.61%,384373
760,California,82657.26,26.79%,654036
761,California,19011.93,17.27%,22533
762,California,46603.60,30.81%,317473
763,California,102339.59,63.86%,577912
764,California,82045.05,11.29%,640981
765,California,19366.51,24.12%,754147
766,California,105315.26,29.02%,326730
767,California,115426.69,10.79%,629054
768,California,70066.64,11.39%,795122
769,California,99293.45,37.08%,957082
770,California,85107.33,69.05%,217230
771,California,119889.38,65.59%,538242
772,California,94190.17,60.83%,924631
773,California,102666.01,14.30%,901728
774,California,111949.15,36.72%,210774
775,California,52652.87,27.78%,266921
776,California,76300.05,28.68%,32424
777,California,20040.82,12.67%,425079
778,California,38572.55,65.16%,690027
779,California,98755.17,37.39%,410519
780,California,47696.76,32.01%,5139
781,California,12703.34,51.67%,926050
782,California,94356.29,98.52%,81255
783,California,8410.48,9.24%,41225
784,California,3204.16,11.62%,596557
785,California,84194.17,41.34%,278185
786,California,83791.79,29.77%,37871
787,California,69639.07,3.34%,30752
788,California,98797.73,96.01%,381442
789,California,114280.81,31.49%,869432
790,California,1518.77,4.88%,916070
791,California,54753.92,19.56%,267803
792,California,80032.24,65.46%,671817
793,California,58696.50,87.28%,438115
794,California,28423.56,8.00%,299170
795,California,71412.22,56.38%,971267
796,California,26467.21,38.51%,456027
797,California,80892.70,7.90%,969456
798,California,24149.97,99.61%,541193
799,California,51797.99,41.50%,823669
800,California,37317.46,41.54%,403930
801,California,81473.96,6.46%,145549
802,California,33109.50,78.41%,212858
803,California,43591.27,25.89%,762715
804,California,119881.28,14.65%,461127
805,California,99354.81,35.72%,658372
806,California,74152.49,31.16%,355865
807,California,69191.17,15.19%,335130
808,California,62923.47,18.83%,755358
809,California,51537.77,26.01%,14479
810,California,45899.48,56.41%,99424
811,California,84817.77,49.64%,614076
812,California,79388.51,60.92%,495918
813,California,92487.30,14.19%,339305
814,California,63751.35,36.18%,814347
815,California,119900.79,58.09%,231922
816,California,95409.97,45.31%,279524
817,California,32074.49,17.07%,71285
818,California,71000.01,84.98%,79903
819,California,12084.05,10.62%,145213
820,California,83135.49,75.74%,333385
