day,month,expense($),income($),net income($)
172,6,217.922,234.439,46.317
173,6,10.120,156.854,96.029
174,6,235.539,85.465,212.638
175,6,111.735,250.240,204.772
176,6,265.098,104.270,297.789
177,6,67.130,248.340,292.424
178,6,155.845,165.260,120.047
179,6,57.218,9.724,48.380
180,6,178.680,293.168,50.764
181,7,266.586,237.424,264.108
182,7,234.924,169.315,201.468
183,7,121.570,74.642,5.254
184,7,57.289,120.865,240.787
185,7,120.957,25.042,176.830
186,7,155.341,234.875,133.445
187,7,266.756,216.957,110.877
188,7,202.505,111.410,187.710
189,7,160.601,190.448,146.664
190,7,183.263,270.670,4.667
191,7,108.416,61.329,98.033
192,7,35.042,82.170,198.202
193,7,268.515,180.240,143.855
194,7,180.763,2.957,.322
195,7,175.925,150.654,92.310
196,7,78.182,78.630,204.789
197,7,241.641,153.101,108.096
198,7,115.669,1.898,176.902
199,7,252.771,148.984,117.033
200,7,248.165,276.079,181.061
201,7,225.104,167.519,53.319
202,7,2.468,112.149,196.414
203,7,119.285,188.585,138.583
204,7,207.568,262.013,46.609
205,7,253.234,68.636,55.879
206,7,15.688,33.717,276.655
207,7,58.364,112.436,97.714
208,7,196.841,86.159,191.609
209,7,74.422,200.765,10.901
210,7,275.109,149.027,188.843
211,8,107.696,23.652,118.702
212,8,212.279,90.220,233.707
213,8,234.532,200.193,201.676
214,8,270.468,244.510,262.726
215,8,261.375,269.964,18.355
216,8,15.623,123.241,255.730
217,8,77.852,152.717,268.526
218,8,200.433,181.514,35.520
219,8,141.417,131.179,191.717
220,8,144.348,82.233,14.967
221,8,75.384,127.385,168.488
222,8,232.222,10.547,232.962
223,8,222.436,9.916,37.134
224,8,69.221,212.720,102.247
225,8,54.651,274.576,278.311
226,8,20.150,220.162,22.115
227,8,206.225,259.206,173.119
228,8,9.540,134.971,234.309
229,8,287.893,54.354,192.747
230,8,192.350,272.291,49.430
231,8,232.515,191.302,130.039
232,8,187.088,5.444,93.169
233,8,260.642,254.979,263.417
234,8,127.301,47.486,278.722
235,8,65.089,60.625,125.554
236,8,11.764,234.548,142.224
237,8,15.509,201.983,4.892
238,8,205.014,213.372,164.909
239,8,48.886,138.765,30.994
240,8,113.665,185.341,201.660
241,9,65.865,208.070,219.700
242,9,129.426,8.887,215.384
243,9,255.740,259.644,56.998
244,9,277.060,64.857,208.609
245,9,207.406,1.957,246.247
246,9,32.640,113.842,62.963
247,9,143.710,222.315,279.176
248,9,191.977,65.827,182.733
249,9,204.695,265.627,2.777
250,9,185.479,45.708,246.621
251,9,108.499,269.313,194.565
252,9,117.841,187.238,144.494
253,9,10.932,17.747,171.614
254,9,126.972,39.929,75.961
255,9,175.183,149.279,41.850
256,9,239.318,55.253,75.869
257,9,240.559,34.757,245.374
258,9,252.126,263.468,16.691
259,9,225.515,174.534,241.890
260,9,93.343,123.789,34.458
261,9,90.701,55.049,195.186
262,9,292.794,136.553,33.839
263,9,57.923,30.799,72.626
264,9,229.661,261.543,175.677
265,9,243.511,68.984,136.220
266,9,195.031,31.032,151.823
267,9,234.299,232.947,195.087
268,9,2.669,274.854,272.422
269,9,22.040,65.347,156.466
270,9,183.205,83.455,232.314
271,10,266.842,155.372,238.695
272,10,254.534,25.771,187.875
273,10,137.472,138.551,18.779
274,10,215.283,185.165,61.213
275,10,138.439,.604,172.388
276,10,226.885,180.306,269.306
277,10,214.631,274.123,26.683
278,10,156.843,186.640,101.686
279,10,37.812,131.220,57.876
280,10,160.246,36.871,208.368
281,10,198.766,68.466,160.456
282,10,158.572,162.260,139.337
283,10,233.862,56.379,123.147
284,10,196.419,157.179,40.311
285,10,252.912,19.079,244.148
286,10,83.419,251.070,213.779
287,10,109.631,22.282,153.916
288,10,186.222,63.505,239.150
289,10,299.849,197.859,217.584
290,10,89.232,15.132,40.576
291,10,92.118,223.620,244.108
292,10,152.171,146.784,38.590
293,10,101.846,147.204,102.063
294,10,281.654,212.623,46.420
295,10,128.270,18.595,167.049
296,10,72.424,137.805,214.178
297,10,174.866,81.141,273.798
298,10,207.348,103.344,55.409
299,10,78.558,82.621,281.345
300,10,135.593,120.841,274.381
301,11,15.225,86.453,117.881
302,11,38.194,231.094,247.187
303,11,36.044,174.931,49.814
304,11,34.772,172.600,34.379
305,11,75.850,192.014,255.164
306,11,97.507,160.350,31.789
307,11,61.290,119.524,70.552
308,11,204.014,14.636,125.002
309,11,272.273,137.221,117.919
310,11,253.291,92.154,27.336
311,11,151.733,254.032,261.441
312,11,7.967,208.458,48.129
313,11,4.776,272.347,211.462
314,11,280.317,169.834,131.884
315,11,46.322,273.010,291.856
316,11,3.224,261.898,144.333
317,11,282.029,67.853,79.618
318,11,271.438,158.997,115.250
319,11,153.763,23.849,126.118
320,11,63.656,264.302,293.444
321,11,18.841,260.143,137.248
322,11,230.914,4.684,283.937
323,11,88.318,298.505,3.117
324,11,288.443,126.867,294.738
325,11,191.930,258.973,291.301
326,11,185.380,81.568,112.765
327,11,6.962,239.014,129.605
328,11,50.374,62.035,280.421
329,11,56.277,283.372,68.551
330,11,51.997,45.457,220.919
331,12,42.608,135.009,66.677
332,12,20.931,290.038,143.290
333,12,278.427,208.047,287.618
334,12,209.713,197.544,198.149
335,12,126.984,36.951,75.675
336,12,291.028,230.984,106.425
337,12,33.780,28.200,261.013
338,12,204.491,42.799,153.680
339,12,130.506,78.599,252.478
340,12,89.399,281.565,39.288
341,12,212.434,9.797,213.913
342,12,28.607,148.957,184.292
343,12,291.679,160.435,246.735
344,12,18.624,140.260,69.982
345,12,217.270,75.459,8.991
346,12,273.066,45.783,225.331
347,12,110.198,263.021,201.851
348,12,105.056,2.132,139.033
349,12,170.580,84.547,170.496
350,12,122.788,34.398,164.341
351,12,192.367,138.837,221.293
352,12,77.710,146.128,173.819
353,12,241.819,126.199,174.552
354,12,113.376,190.993,10.209
355,12,175.518,281.805,141.858
356,12,286.959,17.196,51.750
357,12,216.786,249.128,174.338
358,12,103.956,67.867,166.127
359,12,97.555,236.337,130.356
360,12,5.400,206.334,32.855
