date,visitors,bounce_rate,session_duration
9/12/2022,195.1546,0.7726,192.4945
9/13/2022,505.4218,0.7380,182.5672
9/14/2022,758.4440,0.7476,191.6176
9/15/2022,997.7948,0.5948,181.5134
9/16/2022,504.4383,0.7400,172.1301
9/17/2022,476.8691,0.7080,204.0801
9/18/2022,212.5194,0.5091,153.8175
9/19/2022,124.0903,0.7239,117.6966
9/20/2022,771.4290,0.7923,188.0901
9/21/2022,347.1917,0.5135,189.2821
9/22/2022,507.9314,0.5543,146.8502
9/23/2022,259.2637,0.7278,203.8915
9/24/2022,961.6905,0.7712,171.0712
9/25/2022,648.1221,0.7863,186.4068
9/26/2022,178.4364,0.6969,128.7028
9/27/2022,208.2773,0.5259,147.9846
9/28/2022,777.7891,0.5505,166.9692
9/29/2022,927.9689,0.6386,182.6979
9/30/2022,385.2138,0.7044,215.7283
10/1/2022,492.6002,0.6197,185.5583
10/2/2022,710.3367,0.6431,162.3600
10/3/2022,369.2147,0.6431,187.7664
10/4/2022,957.5624,0.5448,149.4778
10/5/2022,407.6875,0.6340,162.6167
10/6/2022,474.3526,0.5996,226.0507
10/7/2022,804.1703,0.7730,223.4669
10/8/2022,968.0323,0.5242,217.1255
10/9/2022,392.6861,0.7690,178.6986
10/10/2022,674.4969,0.5571,193.3175
10/11/2022,443.5854,0.7334,217.8590
10/12/2022,783.1816,0.7419,185.8282
10/13/2022,211.8722,0.6928,161.2726
10/14/2022,529.9250,0.5172,165.9810
10/15/2022,972.1601,0.7339,155.5097
10/16/2022,625.7290,0.7608,202.6620
10/17/2022,510.5325,0.5277,149.4776
10/18/2022,999.2212,0.7529,202.5363
10/19/2022,309.6172,0.5983,176.2211
10/20/2022,326.2251,0.6920,219.5295
10/21/2022,806.8142,0.7810,128.1612
10/22/2022,776.0651,0.5867,153.8479
10/23/2022,363.3148,0.5597,233.6641
10/24/2022,678.7076,0.7165,204.7579
10/25/2022,681.3606,0.6514,206.9999
10/26/2022,411.5644,0.5749,189.9431
10/27/2022,266.8270,0.7217,114.9251
10/28/2022,569.5062,0.7994,185.8695
10/29/2022,565.4684,0.5988,168.3520
10/30/2022,184.4160,0.6861,165.3944
10/31/2022,263.1892,0.6096,220.6105
11/1/2022,510.9821,0.7124,135.5275
11/2/2022,986.4444,0.5330,199.8336
11/3/2022,629.2393,0.5253,114.0665
11/4/2022,309.2721,0.5570,163.6190
11/5/2022,513.0911,0.7394,125.9474
11/6/2022,935.7588,0.5821,153.0769
11/7/2022,929.9845,0.5288,198.3272
11/8/2022,537.4305,0.7455,253.4441
11/9/2022,794.8071,0.5649,202.8587
11/10/2022,774.7519,0.5753,204.0538
11/11/2022,615.2491,0.7285,203.4372
11/12/2022,632.1339,0.6771,228.1824
11/13/2022,385.8489,0.6909,186.8074
11/14/2022,989.2993,0.6119,193.4683
11/15/2022,466.6277,0.5454,153.6401
11/16/2022,144.2755,0.6197,186.8468
11/17/2022,865.4667,0.7090,166.8007
11/18/2022,546.1910,0.5214,159.0936
11/19/2022,812.2394,0.5062,199.4219
11/20/2022,521.0313,0.7461,186.1639
11/21/2022,385.2368,0.7660,219.1271
11/22/2022,557.5248,0.5000,190.9297
11/23/2022,170.6442,0.5711,195.2542
11/24/2022,955.1756,0.7982,218.8663
11/25/2022,807.6414,0.6931,187.4764
11/26/2022,444.8561,0.5078,178.3878
11/27/2022,472.2217,0.7648,273.9189
11/28/2022,561.2847,0.5268,179.1824
11/29/2022,562.3078,0.6121,192.3607
11/30/2022,421.3236,0.6815,202.1304
12/1/2022,377.5040,0.5174,212.3878
12/2/2022,366.6055,0.6811,161.8626
12/3/2022,281.0823,0.7246,127.1226
12/4/2022,309.4804,0.6077,213.9391
12/5/2022,845.1726,0.7331,121.0240
12/6/2022,810.0666,0.5881,174.8334
12/7/2022,802.5213,0.6175,249.3544
12/8/2022,972.4760,0.5454,214.5091
12/9/2022,173.7193,0.5906,156.0364
12/10/2022,230.7666,0.6707,149.3724
12/11/2022,317.2512,0.5876,163.4515
12/12/2022,986.6415,0.6331,218.0362
12/13/2022,733.8109,0.6905,178.4519
12/14/2022,958.5132,0.5395,215.4948
12/15/2022,411.5175,0.5863,182.7927
12/16/2022,899.2354,0.7561,138.4645
12/17/2022,880.4171,0.7113,208.8945
12/18/2022,766.5866,0.6890,153.9876
12/19/2022,644.5988,0.6044,205.5100
12/20/2022,800.6431,0.7106,173.5848
12/21/2022,959.3987,0.6476,239.9142
12/22/2022,669.3161,0.5460,158.0680
12/23/2022,715.7412,0.5411,183.5013
12/24/2022,411.2294,0.6332,196.2581
12/25/2022,951.3513,0.5951,187.5218
12/26/2022,816.3871,0.6180,204.4800
12/27/2022,562.5770,0.7321,240.0925
12/28/2022,819.4179,0.7505,156.5844
12/29/2022,727.7672,0.7607,180.9337
12/30/2022,628.0706,0.5885,225.0118
12/31/2022,860.3340,0.6566,179.5084
