Week,Category,Price
45,Bakery,40.802574715516286
45,Dairy,5.026308900304405
45,Produce,11.88949531871945
45,Snacks,48.922199294466004
46,Bakery,18.34489685795813
46,Canned Goods,10.411345071143227
46,Meat,20.77443440173096
46,Produce,39.63540326398451
46,Snacks,39.99567609920548
47,Bakery,54.782247198085756
47,Canned Goods,28.64785969626707
47,Dairy,10.946854655716022
47,Meat,33.6039734444691
47,Snacks,7.11013266845012
48,Bakery,28.680788232950306
48,Canned Goods,15.671614297475926
48,Dairy,13.88571621602953
48,Meat,18.872077527831618
48,Produce,25.233540160417665
49,Bakery,6.337031413849412
49,Canned Goods,9.987855995155623
49,Meat,34.179081367815755
49,Produce,24.509737457878312
49,Snacks,51.970597687211374
50,Canned Goods,31.655171282473766
50,Dairy,13.1185532252045
50,Meat,24.582735239384274
50,Snacks,3.2836498630902744
51,Bakery,22.740284468457965
51,Canned Goods,10.892265234884528
51,Dairy,34.89990081396045
51,Meat,28.376771172383094
52,Bakery,37.67126763945183
52,Canned Goods,3.2930158561710776
52,Dairy,33.6201152659542
52,Meat,17.804575080123282
52,Snacks,7.465282227993059
53,Dairy,20.80839696390506
53,Meat,35.98900302132067
53,Snacks,29.23962086875553
