year,ip_address,region,migration,age ,population
1552,86.73278187,4,TRUE,20,1226
1553,111.1958923,4,TRUE,38,6575
1554,186.6206753,2,FALSE,44,9242
1555,113.418125,4,TRUE,26,525
1556,245.1183507,1,TRUE,36,6690
1557,165.7106115,4,FALSE,53,3982
1558,117.2674769,1,TRUE,22,6595
1559,154.5186278,2,FALSE,66,332
1560,213.7382511,4,FALSE,30,8843
1561,35.09825651,2,FALSE,39,4276
1562,136.5225732,1,TRUE,27,18
1563,246.6484112,2,FALSE,38,5697
1564,222.2107259,2,FALSE,69,4258
1565,52.32794341,2,FALSE,81,8691
1566,132.3164376,1,TRUE,26,1823
1567,190.2346603,2,FALSE,65,4305
1568,215.714032,2,FALSE,35,87
1569,161.7648342,3,TRUE,61,1733
1570,210.4463666,4,TRUE,44,4621
1571,25.47556284,3,FALSE,62,5516
1572,64.73828381,4,TRUE,51,339
1573,109.1086199,3,TRUE,49,9995
1574,44.28213854,2,FALSE,78,8062
1575,11.9813364,1,TRUE,40,6428
1576,240.4997617,2,FALSE,30,4491
1577,53.73357416,3,TRUE,38,3859
1578,136.0574016,2,FALSE,29,6390
1579,149.0863357,4,TRUE,44,8566
1580,184.8194985,2,FALSE,47,1764
1581,231.2004206,4,TRUE,41,2934
1582,47.43772268,4,FALSE,59,8743
1583,50.74544433,3,TRUE,42,42
1584,198.9102127,1,TRUE,26,1336
1585,6.987059894,4,TRUE,28,5921
1586,21.33687916,1,TRUE,45,3500
1587,25.04821633,3,TRUE,53,5260
1588,154.0069902,4,FALSE,20,2976
1589,209.5305795,2,FALSE,34,7527
1590,254.4288058,4,FALSE,24,6024
1591,21.18785304,1,TRUE,53,6779
1592,115.7844704,1,TRUE,44,8564
1593,23.72548813,1,TRUE,55,5160
1594,182.8132943,1,TRUE,67,3755
1595,151.7041216,2,FALSE,58,3544
1596,0.376404973,1,TRUE,19,5164
1597,231.3675652,2,FALSE,80,8399
1598,209.0264657,2,FALSE,58,3456
1599,83.99050316,2,FALSE,73,3972
1600,90.6064613,1,TRUE,38,381
1601,0.990192726,4,FALSE,62,9934
1602,15.00622779,1,TRUE,67,4481
1603,200.3402907,4,TRUE,31,6490
1604,71.64221005,3,TRUE,36,3611
1605,177.7516476,2,FALSE,48,2861
1606,107.0024516,4,TRUE,26,8779
1607,10.5038221,2,FALSE,32,9655
1608,20.56678469,4,TRUE,28,4218
1609,243.6712594,2,FALSE,42,5972
1610,206.5527521,3,TRUE,25,6682
1611,96.78162445,4,FALSE,54,9896
1612,35.64394625,3,TRUE,74,5823
1613,108.868902,2,FALSE,65,1489
1614,163.5932098,4,FALSE,49,1707
1615,125.2254657,3,TRUE,52,1276
1616,55.2075723,4,FALSE,30,6240
1617,35.82385434,1,TRUE,32,1510
1618,229.8850419,1,TRUE,48,2587
1619,34.0438492,3,TRUE,34,254
1620,185.8142998,2,FALSE,69,1830
1621,196.0965392,3,FALSE,44,6430
1622,118.2653477,2,FALSE,45,3069
1623,120.842707,1,TRUE,36,7751
1624,74.54256557,1,TRUE,26,2827
1625,67.31442795,2,FALSE,54,3601
1626,147.8069964,2,FALSE,57,7603
1627,165.0323146,2,FALSE,50,7522
1628,223.3317467,3,TRUE,34,5038
1629,104.8799653,4,TRUE,22,6807
1630,237.5556009,2,FALSE,30,9355
1631,231.8763472,3,TRUE,70,5573
1632,60.01482127,4,FALSE,39,8397
1633,127.8572562,4,FALSE,26,9708
1634,23.4749162,1,TRUE,70,5655
1635,80.16901926,2,FALSE,45,9975
1636,123.8936501,2,FALSE,43,1971
1637,25.49574776,3,TRUE,41,1211
1638,97.55776753,1,TRUE,51,7587
1639,153.7834957,1,TRUE,46,1324
1640,68.49906006,1,TRUE,56,6948
1641,153.3300108,1,TRUE,40,4649
1642,178.9275207,4,FALSE,33,6792
1643,182.9659729,4,TRUE,27,3274
1644,163.8626855,1,TRUE,26,9029
1645,139.4440397,4,TRUE,36,4702
1646,168.299682,2,FALSE,60,1513
1647,244.6220579,1,TRUE,26,6309
1648,10.1785035,2,FALSE,69,563
1649,15.29232014,4,TRUE,49,4385
1650,219.3156216,1,TRUE,38,1066
1651,193.9515478,3,TRUE,66,452
1652,161.816699,4,TRUE,27,5133
1653,152.2081249,4,FALSE,34,4095
1654,81.9954302,2,FALSE,73,5422
1655,67.96837865,2,FALSE,41,9213
1656,245.9748116,1,TRUE,24,452
1657,180.8566847,3,FALSE,25,1675
1658,5.573072199,1,TRUE,54,5952
1659,58.57856268,3,TRUE,70,3623
1660,39.53013057,2,FALSE,61,1388
1661,193.7372972,2,FALSE,61,6558
1662,58.01189006,3,TRUE,33,5063
1663,55.39570286,3,TRUE,64,276
1664,145.6336571,1,TRUE,26,2854
1665,179.0613993,1,TRUE,71,2277
1666,145.42597,4,TRUE,32,285
1667,134.7443809,2,FALSE,71,4934
1668,34.32018266,3,TRUE,47,3966
1669,229.6623345,4,TRUE,29,6679
1670,44.76720745,4,TRUE,55,1203
1671,21.92886077,4,FALSE,63,3687
1672,194.6798712,4,TRUE,45,7999
1673,126.8538903,2,FALSE,84,6598
1674,144.6498078,3,FALSE,49,3347
1675,109.3543864,1,TRUE,49,4588
1676,73.79342645,4,TRUE,36,8824
1677,225.0906179,4,TRUE,35,2897
1678,157.7734609,1,TRUE,26,5136
1679,59.51083233,1,TRUE,46,9933
1680,8.216196464,2,FALSE,72,4321
1681,60.92039491,4,FALSE,49,8233
1682,59.52084941,2,FALSE,83,7902
1683,76.41718361,3,TRUE,27,1660
1684,190.0607183,3,TRUE,73,7624
1685,208.3498653,2,FALSE,51,6362
1686,74.08701181,1,TRUE,42,1996
1687,188.9925786,2,FALSE,79,7549
1688,182.3789728,2,FALSE,59,3382
1689,189.8008185,2,FALSE,70,2250
1690,187.5324587,2,FALSE,58,2817
1691,107.9509585,4,TRUE,37,7294
1692,189.2001586,3,TRUE,54,1157
1693,159.055968,3,FALSE,18,4630
1694,31.71568515,1,TRUE,43,74
1695,169.1846836,1,TRUE,28,3236
1696,34.05229395,4,TRUE,23,7951
1697,152.2276161,2,FALSE,47,1278
1698,244.7447791,3,TRUE,58,4316
1699,80.53568545,2,FALSE,64,4624
1700,246.4970092,1,TRUE,40,5687
1701,84.34183619,3,TRUE,69,1939
1702,233.9582537,1,TRUE,56,2812
1703,239.4001898,1,TRUE,65,857
1704,43.86695106,2,FALSE,30,8998
1705,253.9847866,2,FALSE,37,1336
1706,2.535803301,4,FALSE,19,2045
1707,80.68172304,3,FALSE,56,8174
1708,214.7866584,4,FALSE,35,5323
1709,219.9924445,4,FALSE,32,2730
1710,190.9038493,3,TRUE,37,2066
1711,183.7702069,3,TRUE,31,5161
1712,117.6391077,2,FALSE,53,8816
1713,238.8841118,2,FALSE,69,2793
1714,143.7154112,3,TRUE,38,9558
1715,26.60409627,4,TRUE,20,2986
1716,7.870045963,1,TRUE,28,3346
1717,114.5649922,2,FALSE,30,9148
1718,138.3915737,3,TRUE,44,4342
1719,220.7055673,4,FALSE,36,6957
1720,7.40182183,3,TRUE,33,2636
1721,159.6717966,2,FALSE,56,2174
1722,50.63258092,4,TRUE,44,2285
1723,245.9370136,2,FALSE,84,9152
1724,116.8055308,3,FALSE,28,563
1725,92.47667135,3,TRUE,65,6237
1726,175.30026,2,FALSE,58,9577
1727,145.990254,3,TRUE,57,1045
1728,152.8407859,4,FALSE,32,8687
1729,183.538746,4,TRUE,40,5339
1730,107.1295919,4,TRUE,36,2262
1731,205.254025,3,TRUE,36,9060
1732,51.2641393,3,FALSE,19,2486
1733,0.481557887,4,TRUE,20,9196
1734,251.0627024,2,FALSE,81,8595
1735,48.42615996,4,FALSE,48,8488
1736,104.2950791,2,FALSE,61,202
1737,58.13451544,1,TRUE,48,9252
1738,252.5486821,2,FALSE,44,3418
1739,0.477143024,4,FALSE,20,1321
1740,107.9492291,3,FALSE,57,4049
1741,105.540093,1,TRUE,24,6317
1742,246.9713493,4,FALSE,34,95
1743,0.445516289,4,FALSE,31,1628
1744,162.8345214,4,FALSE,41,2368
1745,161.4071473,2,FALSE,38,1300
1746,208.6689074,2,FALSE,36,5241
1747,207.4546317,1,TRUE,25,9351
1748,251.8127472,2,FALSE,69,4823
1749,103.5676165,4,TRUE,46,307
1750,147.5010453,2,FALSE,29,4480
1751,110.0599516,1,TRUE,68,3564
1752,93.46516086,4,FALSE,47,9989
1753,155.1454726,4,TRUE,53,4750
1754,252.9407201,3,FALSE,36,9636
1755,176.7161094,1,TRUE,69,1188
1756,236.6050672,4,TRUE,50,6100
1757,225.112818,3,FALSE,53,8638
1758,34.27044082,3,TRUE,64,6782
1759,124.8789428,1,TRUE,48,2638
1760,197.3586387,3,FALSE,57,9012
1761,173.1027068,2,FALSE,50,637
1762,254.0932705,3,FALSE,43,3541
1763,167.8149163,4,TRUE,54,9323
1764,230.0151371,3,TRUE,70,8965
1765,6.872304281,4,FALSE,18,761
1766,19.56541344,4,FALSE,35,9582
1767,234.5615253,4,TRUE,21,7860
1768,245.1834698,1,TRUE,68,2518
1769,246.9258695,4,TRUE,28,8925
1770,234.1614652,1,TRUE,42,565
1771,190.0000955,1,TRUE,49,4798
1772,5.65035514,4,TRUE,26,1645
1773,112.9149967,4,FALSE,48,994
1774,125.1587207,4,FALSE,31,3749
1775,191.4147358,3,TRUE,73,5892
1776,114.7035082,4,FALSE,48,2701
1777,220.0608044,1,TRUE,54,9837
1778,176.5654366,4,TRUE,20,6474
1779,112.586639,4,TRUE,28,9341
1780,211.9991551,1,TRUE,37,5237
1781,125.9290385,2,FALSE,71,4047
1782,231.3046934,4,FALSE,62,9366
1783,226.4762983,4,TRUE,27,3620
1784,250.1444652,2,FALSE,33,4752
1785,83.46943829,4,FALSE,23,6612
1786,102.8648395,2,FALSE,28,3282
1787,41.90943353,1,TRUE,73,112
1788,245.5058219,2,FALSE,41,4933
1789,188.1286876,4,TRUE,25,9247
1790,98.2684543,4,TRUE,45,3178
1791,186.9054152,4,TRUE,31,9368
1792,249.8509311,4,TRUE,39,455
1793,180.6415559,2,FALSE,38,6670
1794,140.1331272,2,FALSE,65,432
1795,135.7485228,1,TRUE,33,2649
1796,245.0328637,2,FALSE,79,3051
1797,15.43586671,4,TRUE,37,1948
1798,150.2704113,1,TRUE,45,4747
1799,223.3679844,1,TRUE,62,8010
1800,171.9796824,4,TRUE,44,7953
1801,198.1492761,4,TRUE,52,1122
1802,162.8060554,3,FALSE,51,9551
1803,64.5974873,2,FALSE,56,2324
1804,156.6271725,3,TRUE,47,7777
1805,158.0156484,1,TRUE,42,5525
1806,67.59385177,2,FALSE,83,4303
1807,131.870382,3,TRUE,42,6727
1808,110.5672413,4,TRUE,44,2786
1809,190.1614973,4,FALSE,44,6894
1810,166.4755441,4,TRUE,27,2479
1811,252.3738444,1,TRUE,44,584
1812,235.2463517,4,FALSE,48,3203
1813,177.6939139,4,FALSE,60,2047
1814,166.4119625,4,TRUE,35,9572
1815,27.91713059,2,FALSE,53,7384
1816,119.92643,2,FALSE,39,5788
1817,146.3560052,3,TRUE,36,6371
1818,50.32979802,4,TRUE,45,5099
1819,109.8441489,4,TRUE,37,1964
1820,151.8032549,4,TRUE,32,9814
1821,1.647152643,1,TRUE,54,880
1822,156.9483381,2,FALSE,41,1642
1823,10.27845896,4,FALSE,31,8326
1824,178.2250435,3,TRUE,70,9292
1825,145.6438662,1,TRUE,65,927
1826,143.2467821,2,FALSE,44,9663
1827,226.4147017,1,TRUE,41,973
1828,210.4658299,1,TRUE,56,498
1829,185.4350013,1,TRUE,21,1858
1830,153.5474424,2,FALSE,56,834
1831,237.1504159,1,TRUE,25,4614
1832,3.446576472,1,TRUE,70,9213
1833,229.3331767,4,TRUE,25,6203
1834,132.2618896,4,TRUE,52,7915
1835,207.894533,3,TRUE,49,1366
1836,61.17460042,2,FALSE,55,4948
1837,158.3556785,4,TRUE,44,367
1838,169.3576956,2,FALSE,39,3577
1839,144.8639931,3,TRUE,56,2705
1840,83.76906832,4,TRUE,44,2059
1841,93.18695609,3,FALSE,62,3380
1842,43.57228782,3,TRUE,73,2273
1843,62.61151972,1,TRUE,43,9786
1844,98.83585226,4,TRUE,32,9324
1845,223.7738076,4,FALSE,24,407
1846,211.9338809,4,TRUE,38,8309
1847,239.2756755,3,FALSE,37,5122
1848,138.1848655,2,FALSE,69,655
1849,22.39185017,2,FALSE,62,5869
1850,238.2738595,2,FALSE,47,6431
1851,144.4053342,3,TRUE,54,6045
1852,96.28408792,2,FALSE,38,6995
1853,76.73653275,1,TRUE,37,9782
1854,156.1167714,2,FALSE,75,1758
1855,162.239725,3,TRUE,70,6994
1856,42.34747322,3,TRUE,72,9950
1857,165.759884,3,TRUE,34,7017
1858,31.91665567,4,TRUE,28,5127
1859,155.8486838,3,TRUE,57,4068
1860,44.98639492,1,TRUE,44,1131
1861,186.5432243,4,FALSE,23,4815
1862,179.7410981,4,FALSE,35,5033
1863,230.5094259,1,TRUE,24,874
1864,189.0012642,2,FALSE,70,7197
1865,241.9576777,2,FALSE,55,5798
1866,64.84033916,2,FALSE,31,5635
1867,118.5535994,1,TRUE,27,7667
1868,46.611207,1,TRUE,71,1468
1869,110.3860179,2,FALSE,61,471
1870,244.2428455,1,TRUE,48,6455
1871,100.1074794,2,FALSE,67,147
1872,244.9079442,4,FALSE,59,3516
1873,244.996749,4,FALSE,28,2186
1874,137.3315981,3,TRUE,39,3018
1875,207.8439512,2,FALSE,79,8455
1876,154.0469599,4,TRUE,48,9036
1877,56.48746988,3,TRUE,29,9115
1878,87.15283,4,TRUE,25,8137
1879,240.2921367,4,FALSE,31,589
1880,89.54593226,4,FALSE,19,8124
1881,249.4533101,2,FALSE,66,3227
1882,167.682404,2,FALSE,78,7316
1883,227.8279588,1,TRUE,64,2128
1884,118.1126056,1,TRUE,44,4543
1885,167.9649391,1,TRUE,21,5528
1886,27.70138897,2,FALSE,79,6124
1887,177.9121524,2,FALSE,75,1972
1888,188.5003504,4,TRUE,49,7340
1889,169.0695205,1,TRUE,62,6794
1890,30.05437074,4,FALSE,61,6948
1891,60.13817867,2,FALSE,85,9734
1892,156.4001803,2,FALSE,42,1910
1893,64.47515156,3,TRUE,56,8282
1894,240.8660145,2,FALSE,84,4078
1895,14.36417605,3,TRUE,63,2868
1896,112.9138551,1,TRUE,45,7160
1897,8.298957199,3,FALSE,51,4723
1898,153.0999829,4,TRUE,46,5536
1899,185.2429541,1,TRUE,34,6832
1900,179.3863845,4,FALSE,59,6525
1901,247.5885153,2,FALSE,51,417
1902,40.76387195,4,TRUE,31,6884
1903,157.5294475,2,FALSE,58,8851
1904,1.996231236,2,FALSE,64,2437
1905,56.44443879,4,TRUE,24,579
1906,193.4017515,1,TRUE,41,9765
1907,187.9436227,3,FALSE,40,1312
1908,84.95866521,2,FALSE,72,418
1909,42.02000975,3,FALSE,59,1795
1910,148.8371071,4,TRUE,27,2390
1911,143.2132151,4,FALSE,61,9192
1912,134.5491465,2,FALSE,63,6877
1913,254.9861148,4,TRUE,40,6418
1914,6.974032482,2,FALSE,56,8970
1915,175.6637031,2,FALSE,36,8540
1916,228.3388645,4,TRUE,39,2056
1917,210.9245319,1,TRUE,45,5486
1918,204.5694249,2,FALSE,56,3834
1919,246.0496939,3,FALSE,40,3893
1920,205.0182606,1,TRUE,27,1532
1921,17.42754019,3,FALSE,38,1388
1922,81.45128173,4,FALSE,21,2500
1923,143.9807497,3,FALSE,61,8226
1924,46.18939665,4,TRUE,55,5616
1925,107.3367906,2,FALSE,47,1447
1926,157.8896304,3,TRUE,53,8779
1927,189.5449202,1,TRUE,49,739
1928,41.83932619,2,FALSE,68,8242
1929,124.2199724,4,TRUE,20,7649
1930,101.199451,4,TRUE,30,9837
1931,116.720479,4,TRUE,53,3885
1932,199.4819811,2,FALSE,63,7605
1933,110.5662431,1,TRUE,27,453
1934,28.85318858,4,TRUE,31,7564
1935,172.6953323,2,FALSE,72,5126
1936,98.25377659,2,FALSE,40,2736
1937,83.50185711,4,FALSE,31,7298
1938,102.7897534,4,FALSE,61,1627
1939,220.2265852,2,FALSE,51,2882
1940,139.1661849,2,FALSE,55,3252
1941,19.444421,3,TRUE,52,437
1942,121.7904908,3,TRUE,60,9413
1943,81.99591755,1,TRUE,53,4661
1944,88.59654076,1,TRUE,22,1781
1945,165.7252011,3,TRUE,32,1010
1946,93.32274635,4,FALSE,52,4029
1947,93.9547344,3,FALSE,30,1893
1948,94.70816093,4,FALSE,56,2467
1949,131.1627898,1,TRUE,53,325
1950,145.5485764,3,FALSE,30,4581
1951,194.9721695,4,TRUE,47,309
1952,94.8207609,1,TRUE,35,9839
1953,64.9131636,4,TRUE,39,5826
1954,112.3077928,1,TRUE,55,8849
1955,214.9220015,3,FALSE,30,4665
1956,191.832944,4,TRUE,27,5891
1957,40.26881041,2,FALSE,36,1127
1958,198.0966811,4,FALSE,55,6215
1959,176.4193393,1,TRUE,59,7575
1960,171.8558004,4,FALSE,22,9701
1961,242.2568189,4,FALSE,33,9968
1962,48.01355112,2,FALSE,55,2628
1963,50.19712106,4,TRUE,28,8914
1964,170.5165424,4,FALSE,20,8547
1965,20.7822468,2,FALSE,76,2093
1966,30.23661081,4,FALSE,19,5268
1967,173.2381123,2,FALSE,50,4120
1968,37.20449804,4,FALSE,40,7744
1969,207.0934769,4,TRUE,27,9502
1970,238.0358248,2,FALSE,76,5131
1971,29.57327325,2,FALSE,69,4938
1972,167.5176509,4,TRUE,47,3085
1973,95.4117585,1,TRUE,33,8673
1974,150.6191992,2,FALSE,37,5409
1975,163.8639063,2,FALSE,48,6214
1976,243.1402616,3,TRUE,45,6354
1977,205.8049374,4,FALSE,62,3917
1978,143.5275748,2,FALSE,50,6830
1979,250.7010317,4,FALSE,18,2853
1980,1.96326183,3,FALSE,52,6511
1981,40.21407577,3,FALSE,32,3779
1982,42.78228575,4,TRUE,33,1401
1983,70.67242799,1,TRUE,52,4894
1984,7.488585732,2,FALSE,32,3659
1985,189.4699245,3,FALSE,61,2276
1986,101.8540469,4,TRUE,33,6132
1987,57.63748798,4,TRUE,28,7540
1988,163.4450238,2,FALSE,44,2584
1989,56.06007209,1,TRUE,37,7768
1990,155.4782438,1,TRUE,24,2890
1991,193.1491694,2,FALSE,69,6331
1992,137.3081988,1,TRUE,42,9226
1993,40.15613813,4,TRUE,52,3485
1994,121.6847705,3,TRUE,25,445
1995,193.4659427,4,FALSE,41,7763
1996,153.8997421,1,TRUE,39,5127
1997,103.1558911,3,FALSE,44,1689
1998,70.35322805,1,TRUE,35,3913
1999,37.42412664,4,TRUE,41,5944
2000,8.847086923,2,FALSE,84,2394
2001,201.0142611,2,FALSE,57,535
2002,111.9195736,4,FALSE,35,1749
2003,10.80006357,4,FALSE,50,767
2004,105.0550595,1,TRUE,26,4954
2005,81.67395865,1,TRUE,48,8668
2006,229.5972955,4,TRUE,28,4592
2007,102.7581809,4,FALSE,38,7105
2008,75.74147127,4,TRUE,24,726
2009,206.3601524,1,TRUE,54,3798
2010,141.3822889,1,TRUE,30,336
2011,86.2690404,1,TRUE,36,2870
2012,50.16978256,2,FALSE,49,3901
2013,17.06504667,1,TRUE,54,4570
2014,60.91827137,3,TRUE,49,908
2015,102.6715314,4,TRUE,30,892
2016,127.0348005,4,FALSE,60,2794
2017,218.8460498,1,TRUE,71,1968
2018,33.32635629,1,TRUE,55,4390
2019,29.74108239,4,TRUE,53,1597
2020,1.565376677,4,FALSE,32,7674
2021,135.8035696,4,FALSE,61,4222
2022,191.43121,2,FALSE,42,4806
